,name,count,pos
35,work,52,NOUN
28,get,51,NOUN
10,management,41,NOUN
30,hours,31,NOUN
98,time,27,NOUN
4,managers,24,NOUN
219,people,21,NOUN
44,employees,20,NOUN
282,food,19,NOUN
83,restaurant,18,NOUN
157,servers,17,NOUN
265,shifts,17,NOUN
52,times,16,NOUN
332,lot,16,NOUN
86,pay,15,NOUN
100,customers,15,NOUN
50,guests,14,NOUN
274,working,14,NOUN
275,money,13,NOUN
123,job,13,NOUN
192,manager,12,NOUN
68,need,12,NOUN
120,leave,12,NOUN
19,schedule,11,NOUN
112,things,11,NOUN
53,training,11,NOUN
889,table,10,NOUN
5,staff,10,NOUN
732,service,10,NOUN
173,life,10,NOUN
38,tips,9,NOUN
351,kitchen,9,NOUN
302,server,9,NOUN
506,day,9,NOUN
669,menu,9,NOUN
124,scheduling,8,NOUN
197,team,8,NOUN
135,location,8,NOUN
178,items,8,NOUN
210,shift,8,NOUN
97,know,8,NOUN
142,lack,7,NOUN
78,lots,7,NOUN
616,bj,7,NOUN
225,week,7,NOUN
1292,shirt,7,NOUN
658,tip,7,NOUN
565,move,7,NOUN
598,tables,7,NOUN
697,plates,6,NOUN
401,bussers,6,NOUN
518,guest,6,NOUN
108,gratuity,6,NOUN
353,workers,6,NOUN
310,anything,6,NOUN
431,orders,5,NOUN
32,way,5,NOUN
361,ticket,5,NOUN
488,changes,5,NOUN
22,rate,5,NOUN
196,nothing,5,NOUN
445,months,5,NOUN
541,years,5,NOUN
43,stress,5,NOUN
322,care,5,NOUN
131,hour,5,NOUN
252,environment,5,NOUN
344,problems,5,NOUN
838,shirts,5,NOUN
241,person,4,NOUN
375,balance,4,NOUN
364,place,4,NOUN
420,turn,4,NOUN
552,restaurants,4,NOUN
323,numbers,4,NOUN
748,offer,4,NOUN
244,labor,4,NOUN
740,pick,4,NOUN
360,weekends,4,NOUN
194,something,4,NOUN
380,expectations,4,NOUN
728,everyone,4,NOUN
786,night,4,NOUN
632,wage,4,NOUN
115,home,4,NOUN
625,year,4,NOUN
439,income,4,NOUN
784,end,4,NOUN
668,amount,4,NOUN
777,expect,4,NOUN
143,communication,4,NOUN
813,company,4,NOUN
186,part,4,NOUN
492,cons,4,NOUN
465,follow,4,NOUN
517,side,3,NOUN
532,quality,3,NOUN
312,anyone,3,NOUN
840,parties,3,NOUN
314,experience,3,NOUN
822,locations,3,NOUN
446,hostess,3,NOUN
645,fun,3,NOUN
769,co,3,NOUN
761,terms,3,NOUN
529,handle,3,NOUN
1269,button,3,NOUN
477,organization,3,NOUN
455,focus,3,NOUN
347,issues,3,NOUN
307,check,3,NOUN
674,matter,3,NOUN
48,crappy,3,NOUN
359,nights,3,NOUN
1092,shopper,3,NOUN
827,meet,3,NOUN
390,control,3,NOUN
971,steps,3,NOUN
102,deal,3,NOUN
442,position,3,NOUN
287,shoppers,3,NOUN
185,benefits,3,NOUN
209,lunch,3,NOUN
1000,start,3,NOUN
725,customer,3,NOUN
169,rules,3,NOUN
223,idea,3,NOUN
717,days,3,NOUN
407,clientele,3,NOUN
1289,spill,3,NOUN
152,hires,3,NOUN
151,train,3,NOUN
247,thing,3,NOUN
428,floor,3,NOUN
1006,script,3,NOUN
987,hosts,3,NOUN
404,runners,3,NOUN
557,couple,3,NOUN
262,coworkers,3,NOUN
887,section,3,NOUN
268,turnover,3,NOUN
272,weeks,3,NOUN
118,employee,3,NOUN
550,host,3,NOUN
188,favoritism,3,NOUN
1219,frustration,2,NOUN
1218,background,2,NOUN
1213,micros,2,NOUN
776,breaks,2,NOUN
780,advance,2,NOUN
1021,stack,2,NOUN
504,needs,2,NOUN
511,places,2,NOUN
684,season,2,NOUN
1,attitude,2,NOUN
1090,score,2,NOUN
1089,order,2,NOUN
653,body,2,NOUN
698,lifting,2,NOUN
702,hands,2,NOUN
707,walking,2,NOUN
639,looking,2,NOUN
635,school,2,NOUN
633,consistency,2,NOUN
1141,mystery,2,NOUN
721,process,2,NOUN
594,knowledge,2,NOUN
1158,points,2,NOUN
727,situation,2,NOUN
737,standards,2,NOUN
789,weekend,2,NOUN
739,atmosphere,2,NOUN
578,everybody,2,NOUN
753,menus,2,NOUN
756,drink,2,NOUN
1064,culture,2,NOUN
1232,bev,2,NOUN
682,industry,2,NOUN
468,product,2,NOUN
184,health,2,NOUN
326,issue,2,NOUN
1272,dining,2,NOUN
914,reason,2,NOUN
1019,everything,2,NOUN
1016,bar,2,NOUN
64,run,2,NOUN
1008,mention,2,NOUN
84,downfalls,2,NOUN
70,teamwork,2,NOUN
855,roll,2,NOUN
856,outs,2,NOUN
171,depending,2,NOUN
76,favorites,2,NOUN
229,schedules,2,NOUN
175,silverware,2,NOUN
870,blame,2,NOUN
214,dinner,2,NOUN
863,members,2,NOUN
965,programs,2,NOUN
201,change,2,NOUN
1003,help,2,NOUN
1271,fine,2,NOUN
335,advancement,2,NOUN
875,program,2,NOUN
1022,dishes,2,NOUN
1238,recombine,2,NOUN
1049,minutes,2,NOUN
806,attention,2,NOUN
12,page,2,NOUN
1041,performance,2,NOUN
1248,tea,2,NOUN
435,ways,2,NOUN
1040,self,2,NOUN
411,someone,2,NOUN
1252,soup,2,NOUN
99,positions,2,NOUN
15,refuse,2,NOUN
23,jobs,2,NOUN
378,public,2,NOUN
1344,timing,2,NOUN
373,mistakes,2,NOUN
1026,others,2,NOUN
835,feels,2,NOUN
366,overtime,2,NOUN
865,business,2,NOUN
978,sweat,1,NOUN
977,volume,1,NOUN
954,addition,1,NOUN
1088,shops,1,NOUN
962,stick,1,NOUN
960,demands,1,NOUN
958,feedback,1,NOUN
1087,market,1,NOUN
953,km,1,NOUN
952,areas,1,NOUN
1096,monitor,1,NOUN
982,states,1,NOUN
1004,understanding,1,NOUN
990,isprices,1,NOUN
1083,expansion,1,NOUN
1045,expectation,1,NOUN
1054,music,1,NOUN
1027,seat,1,NOUN
1056,kinks,1,NOUN
1058,regulars,1,NOUN
1059,bartender,1,NOUN
1104,pace,1,NOUN
1020,cups,1,NOUN
1065,mediocrity,1,NOUN
1014,group,1,NOUN
1067,levels,1,NOUN
1070,reimbursement,1,NOUN
1071,uniform,1,NOUN
1072,expenses,1,NOUN
1073,slip,1,NOUN
1051,safety,1,NOUN
1074,shoes,1,NOUN
996,priority,1,NOUN
994,heck,1,NOUN
1078,rush,1,NOUN
1079,sidework,1,NOUN
0,gm,1,NOUN
1229,tricks,1,NOUN
1106,goals,1,NOUN
1293,contest,1,NOUN
1285,spots,1,NOUN
1284,haul,1,NOUN
1282,belly,1,NOUN
1280,consolidation,1,NOUN
1279,trips,1,NOUN
1278,number,1,NOUN
1277,slob,1,NOUN
1274,brewhouse,1,NOUN
1273,sports,1,NOUN
1266,crash,1,NOUN
1264,runner,1,NOUN
1262,exceptions,1,NOUN
1260,anch,1,NOUN
1256,drop,1,NOUN
1254,bowl,1,NOUN
1253,spoon,1,NOUN
1251,tortilla,1,NOUN
1250,sweetener,1,NOUN
1249,splenda,1,NOUN
1246,ketchup,1,NOUN
1245,fries,1,NOUN
1290,instand,1,NOUN
1294,girls,1,NOUN
1108,touch,1,NOUN
1297,color,1,NOUN
1346,plans,1,NOUN
1343,pm,1,NOUN
1338,uniforms,1,NOUN
1337,drama,1,NOUN
1336,coworker,1,NOUN
1333,timessome,1,NOUN
1329,cover,1,NOUN
1321,birthday,1,NOUN
1320,nobody,1,NOUN
1319,esteem,1,NOUN
1318,rejection,1,NOUN
1317,depression,1,NOUN
1316,eeyore,1,NOUN
1315,channel,1,NOUN
1314,hope,1,NOUN
1310,date,1,NOUN
1307,bucks,1,NOUN
1305,women,1,NOUN
1303,boy,1,NOUN
1300,wrinkle,1,NOUN
1299,sillies,1,NOUN
1242,option,1,NOUN
1240,prevent,1,NOUN
1234,needy,1,NOUN
1233,payment,1,NOUN
1167,box,1,NOUN
1164,bites,1,NOUN
1162,dessert,1,NOUN
1161,appetizer,1,NOUN
1157,judgment,1,NOUN
1156,beverage,1,NOUN
1154,rootbeer,1,NOUN
1152,hand,1,NOUN
1150,selections,1,NOUN
1143,review,1,NOUN
1136,substitution,1,NOUN
1135,calorie,1,NOUN
1133,benefitsi,1,NOUN
1130,gss,1,NOUN
1122,policies,1,NOUN
1121,list,1,NOUN
1118,growers,1,NOUN
1117,sales,1,NOUN
1115,meeting,1,NOUN
1114,consideration,1,NOUN
1109,woth,1,NOUN
1171,periods,1,NOUN
1176,mom,1,NOUN
1177,support,1,NOUN
1203,vacation,1,NOUN
944,edge,1,NOUN
1224,reprint,1,NOUN
1223,ups,1,NOUN
1222,hang,1,NOUN
1216,specific,1,NOUN
1215,software,1,NOUN
1212,system,1,NOUN
1211,posi,1,NOUN
1206,hr,1,NOUN
1197,promotions,1,NOUN
1178,daughter,1,NOUN
1196,directions,1,NOUN
1193,relationship,1,NOUN
1191,relocation,1,NOUN
1190,peak,1,NOUN
1185,supervisor,1,NOUN
1184,duties,1,NOUN
1182,pressure,1,NOUN
1181,unapproachable,1,NOUN
1180,rent,1,NOUN
949,store,1,NOUN
690,disappointment,1,NOUN
943,dollars,1,NOUN
449,ill,1,NOUN
473,par,1,NOUN
472,sub,1,NOUN
469,managment,1,NOUN
466,values,1,NOUN
463,stores,1,NOUN
461,mangers,1,NOUN
457,hurts,1,NOUN
453,challenge,1,NOUN
448,trash,1,NOUN
340,departments,1,NOUN
427,problem,1,NOUN
418,world,1,NOUN
402,bartenders,1,NOUN
398,cooks,1,NOUN
389,environments,1,NOUN
374,kitchenwork,1,NOUN
372,hourslong,1,NOUN
367,replacement,1,NOUN
475,thousands,1,NOUN
476,bjspoor,1,NOUN
479,managementtips,1,NOUN
481,foods,1,NOUN
568,waitress,1,NOUN
567,waiter,1,NOUN
563,deposit,1,NOUN
560,card,1,NOUN
558,paychecks,1,NOUN
542,timemanagement,1,NOUN
538,crowd,1,NOUN
535,appreciation,1,NOUN
533,dogs,1,NOUN
502,respect,1,NOUN
501,pthe,1,NOUN
499,restaurantnot,1,NOUN
498,energy,1,NOUN
491,peoples,1,NOUN
487,undergoing,1,NOUN
486,folks,1,NOUN
483,sums,1,NOUN
342,meetings,1,NOUN
339,cross,1,NOUN
929,feelings,1,NOUN
91,load,1,NOUN
154,payfood,1,NOUN
134,timesdepends,1,NOUN
130,power,1,NOUN
129,periodworking,1,NOUN
128,rest,1,NOUN
122,liking,1,NOUN
107,clients,1,NOUN
92,micromanagement,1,NOUN
81,house,1,NOUN
336,advertise,1,NOUN
79,fights,1,NOUN
