,name,count,pos
26,start around,2,
0,bad manager,1,
49,pm timing,1,
55,day seems,1,
54,plans day,1,
53,making plans,1,
52,stops making,1,
51,shifts stops,1,
50,timing shifts,1,
48,four pm,1,
57,though sitting,1,
47,around four,1,
46,annoying start,1,
45,get annoying,1,
44,shifts get,1,
43,night shifts,1,
42,forward night,1,
41,look forward,1,
56,seems though,1,
58,sitting around,1,
39,day night,1,
68,free time,1,
75,days scheduled,1,
74,things days,1,
73,able things,1,
72,complaining able,1,
71,hence complaining,1,
70,scarce hence,1,
69,time scarce,1,
67,student free,1,
59,around waiting,1,
66,time student,1,
65,full time,1,
64,timing full,1,
63,picky timing,1,
62,really picky,1,
61,shift really,1,
60,waiting shift,1,
40,night look,1,
38,get day,1,
1,manager stressful,1,
18,awfulthe hours,1,
16,drama uniforms,1,
15,coworker drama,1,
14,hours coworker,1,
13,enough hours,1,
12,ensure enough,1,
11,always ensure,1,
10,management always,1,
9,issues management,1,
8,minor issues,1,
7,timessome minor,1,
6,understaffed timessome,1,
5,paced understaffed,1,
4,fast paced,1,
3,environment fast,1,
2,stressful environment,1,
17,uniforms awfulthe,1,
19,hours get,1,
37,time get,1,
20,get somewhat,1,
36,shift time,1,
35,done shift,1,
34,much done,1,
33,get much,1,
32,enough get,1,
31,late enough,1,
30,also late,1,
29,early also,1,
28,eleven early,1,
27,around eleven,1,
25,usually start,1,
24,shifts usually,1,
23,day shifts,1,
22,annoying day,1,
21,somewhat annoying,1,
76,scheduled work,1,
