,name,count,pos
380,work life balance,3,
233,things get control,2,
2519,white button shirts,2,
2443,table go get,2,
2617,spill food shirt,2,
2185,got points taken,2,
1661,follow script talking,2,
2357,background prepare frustration,2,
1025,lazy co workers,2,
115,food running shifts,2,
56,two weeks working,2,
1847,still getting kinks,1,
1841,staffed music loud,1,
1853,crappy regulars lot,1,
1852,restaurant crappy regulars,1,
1851,corporate restaurant crappy,1,
1850,outsuper corporate restaurant,1,
1840,sometimes staffed music,1,
1849,kinks outsuper corporate,1,
1848,getting kinks outsuper,1,
1846,new still getting,1,
1842,music loud hot,1,
1843,loud hot restaurant,1,
1844,hot restaurant new,1,
1839,rules sometimes staffed,1,
1845,restaurant new still,1,
0,management time sucked,1,
1838,many rules sometimes,1,
1855,lot work bartender,1,
1837,sometimes many rules,1,
1820,cleaning setting tables,1,
1821,setting tables within,1,
1822,tables within two,1,
1823,within two minutes,1,
1824,two minutes regard,1,
1825,minutes regard safety,1,
1826,regard safety terms,1,
1827,safety terms reducing,1,
1828,terms reducing stress,1,
1829,reducing stress body,1,
1830,stress body busser,1,
1831,body busser lazy,1,
1832,busser lazy coworkers,1,
1833,lazy coworkers long,1,
1834,coworkers long hours,1,
1835,long hours sometimes,1,
1836,hours sometimes many,1,
1854,regulars lot work,1,
1857,bartender money put,1,
1856,work bartender money,1,
1888,co workers always,1,
1880,within service staffkitchen,1,
1881,service staffkitchen gets,1,
1882,staffkitchen gets crazy,1,
1883,gets crazy many,1,
1884,crazy many menu,1,
1885,many menu items,1,
1886,menu items lazy,1,
1887,items lazy co,1,
1889,workers always running,1,
1878,culture mediocrity within,1,
1890,always running things,1,
1891,running things gets,1,
1892,things gets busy,1,
1893,gets busy things,1,
1894,busy things get,1,
1895,get control high,1,
1896,control high stress,1,
1897,high stress levels,1,
1879,mediocrity within service,1,
1877,general culture mediocrity,1,
1818,unrealistic expectation cleaning,1,
1866,rarely page anything,1,
1858,money put incompetent,1,
1859,put incompetent people,1,
1860,incompetent people helm,1,
1861,people helm times,1,
1862,helm times management,1,
1863,times management staff,1,
1864,management staff rarely,1,
