,name,count,pos
630,work life balance,3,
1275,lazy co workers,2,
2693,table go get,2,
306,two weeks working,2,
1911,follow script talking,2,
365,food running shifts,2,
2435,got points taken,2,
2769,white button shirts,2,
2607,background prepare frustration,2,
483,things get control,2,
2867,spill food shirt,2,
2019,hard work training,1,
2008,getting triple sat,1,
2023,implemented well locations,1,
2022,programs implemented well,1,
2009,triple sat common,1,
2010,sat common thing,1,
2011,common thing also,1,
2012,thing also restaurant,1,
2021,training programs implemented,1,
2018,busy hard work,1,
2020,work training programs,1,
2013,also restaurant always,1,
2014,restaurant always super,1,
2007,open getting triple,1,
2016,super hot busy,1,
2017,hot busy hard,1,
2015,always super hot,1,
2004,tables whenever become,1,
2006,become open getting,1,
1994,asks others things,1,
1985,us pick everyone,1,
1986,pick everyone really,1,
1987,everyone really lazy,1,
1988,really lazy never,1,
1989,lazy never helps,1,
1990,never helps anyone,1,
1991,helps anyone always,1,
1992,anyone always asks,1,
1993,always asks others,1,
1995,others things help,1,
2005,whenever become open,1,
1996,things help hosts,1,
1997,help hosts know,1,
1998,hosts know seat,1,
1999,know seat people,1,
2000,seat people fill,1,
2001,people fill empty,1,
2002,fill empty tables,1,
2003,empty tables whenever,1,
2025,locations well others,1,
2024,well locations well,1,
0,hourly rate jobs,1,
2026,well others implemented,1,
2059,performance act like,1,
2050,long hours affect,1,
2051,hours affect whole,1,
2052,affect whole team,1,
2053,whole team bussers,1,
2054,team bussers team,1,
2055,bussers team relied,1,
2056,team relied self,1,
2057,relied self performance,1,
2058,self performance act,1,
2060,act like team,1,
2027,others implemented well,1,
2061,like team bussers,1,
2062,team bussers servers,1,
2063,bussers servers sketchy,1,
2064,servers sketchy paying,1,
2065,sketchy paying tips,1,
2066,paying tips unrealistic,1,
2067,tips unrealistic expectation,1,
2068,unrealistic expectation cleaning,1,
2069,expectation cleaning setting,1,
2049,due long hours,1,
2048,tired due long,1,
2047,stress tired due,1,
2046,lot stress tired,1,
1983,wiping table us,1,
2028,implemented well great,1,
2029,well great training,1,
2030,great training program,1,
2031,training program however,1,
2032,program however servers,1,
2033,however servers required,1,
2034,servers required meet,1,
2035,required meet quite,1,
2036,meet quite steps,1,
2037,quite steps service,1,
2038,steps service table,1,
2039,service table stressful,1,
2040,table stressful busy,1,
2041,stressful busy environment,1,
2042,busy environment managers,1,
2043,environment managers frequently,1,
2044,managers frequently lot,1,
2045,frequently lot stress,1,
1984,table us pick,1,
1980,leave stack dishes,1,
1982,dishes wiping table,1,
1923,matter good service,1,
1914,customers extremely annoying,1,
1915,extremely annoying mention,1,
1916,annoying mention get,1,
1917,mention get irritated,1,
1918,get irritated times,1,
1919,irritated times clientele,1,
1920,times clientele awful,1,
1921,clientele awful matter,1,
1922,awful matter good,1,
1924,good service provide,1,
1935,would always leave,1,
1925,service provide customers,1,
1926,provide customers still,1,
1927,customers still get,1,
1928,still get awful,1,
1929,get awful tips,1,
1930,awful tips last,1,
1931,tips last restaurant,1,
1932,last restaurant worked,1,
1933,restaurant worked would,1,
1913,talking customers extremely,1,
1912,script talking customers,1,
1910,favoritism follow script,1,
1909,show favoritism follow,1,
1890,1 priority expect,1,
1891,priority expect memorize,1,
1892,expect memorize entire,1,
1893,memorize entire menu,1,
1894,entire menu soon,1,
1895,menu soon start,1,
1896,soon start one,1,
1897,start one biggest,1,
1898,one biggest menus,1,
1899,biggest menus ever,1,
1900,menus ever managers,1,
1901,ever managers never,1,
1902,managers never really,1,
1903,never really help,1,
1904,really help need,1,
1905,help need understanding,1,
1906,need understanding definitely,1,
1907,understanding definitely show,1,
1908,definitely show favoritism,1,
