,name,count,pos
275,long hours,3,
771,fast paced,3,
367,add gratuity,2,
850,points taken,2,
334,follow script,2,
502,lazy coworkers,2,
753,day shifts,2,
1016,prepare frustration,2,
1015,background prepare,2,
1100,table go,2,
1101,go get,2,
1267,spill food,2,
1268,food shirt,2,
1179,fine dining,2,
849,got points,2,
557,co workers,2,
1177,look like,2,
1173,button shirts,2,
1172,white button,2,
243,every single,2,
432,triple sat,2,
474,team bussers,2,
445,implemented well,2,
1301,getting stuck,2,
809,mystery shopper,2,
462,stressful busy,2,
459,steps service,2,
335,script talking,2,
1361,start around,2,
201,hard work,2,
741,serving job,2,
707,issues management,2,
186,side work,2,
699,people work,2,
387,food runners,2,
523,lot work,2,
946,delivered fast,1,
950,hours staffed,1,
949,peak hours,1,
948,stressful peak,1,
947,paced stressful,1,
945,always delivered,1,
952,high management,1,
944,not always,1,
943,can not,1,
904,weeks cons,1,
905,cons many,1,
906,many management,1,
951,staffed high,1,
954,relocation hard,1,
953,management relocation,1,
960,lot slack,1,
899,going pay,1,
963,multiple managers,1,
962,pick multiple,1,
900,pay daycare,1,
901,daycare rent,1,
961,slack pick,1,
902,rent couple,1,
941,high expectations,1,
959,coworkers lot,1,
958,relationship lazy,1,
957,strong relationship,1,
903,couple weeks,1,
956,develop strong,1,
955,hard develop,1,
942,expectations can,1,
919,pressure left,1,
940,extremely high,1,
925,giving duties,1,
929,supervisor blamed,1,
914,customers angry,1,
928,paid supervisor,1,
927,got paid,1,
926,duties got,1,
915,angry become,1,
924,kept giving,1,
931,mistakes fellow,1,
916,become manager,1,
923,staffed kept,1,
922,short staffed,1,
917,manager handle,1,
918,handle pressure,1,
921,always short,1,
930,blamed mistakes,1,
932,fellow co,1,
920,left always,1,
936,position organization,1,
939,weekends extremely,1,
907,management horrible,1,
908,horrible unapproachable,1,
938,awful weekends,1,
937,organization awful,1,
909,unapproachable stressed,1,
910,stressed know,1,
933,workers higher,1,
911,know going,1,
912,going deal,1,
913,deal customers,1,
935,lower position,1,
934,higher lower,1,
965,giving conflicting,1,
964,managers giving,1,
972,hard keep,1,
966,conflicting directions,1,
1022,little tricky,1,
1030,reprint send,1,
1029,like reprint,1,
1028,ups like,1,
1027,hang ups,1,
1026,common hang,1,
1025,around common,1,
1024,ways around,1,
1023,tricky ways,1,
1021,luckily little,1,
1009,based software,1,
1020,frustration luckily,1,
1019,micros background,1,
1018,coming micros,1,
1017,frustration coming,1,
1014,aloha background,1,
1013,coming aloha,1,
1012,bj coming,1,
1011,specific bj,1,
1031,send orders,1,
1032,orders check,1,
1033,check separated,1,
1034,separated find,1,
1051,ticket bev,1,
1050,extra ticket,1,
1049,separate extra,1,
1048,answer separate,1,
1047,need answer,1,
1046,going need,1,
1045,dinner going,1,
1044,lunch dinner,1,
1043,one lunch,1,
1042,tables one,1,
