,name,count,pos
476,hard work,4,
545,long hours,4,
528,fast paced,4,
116,2 years,3,
617,co workers,3,
568,per week,3,
386,work life,3,
104,work hard,3,
169,stressful busy,3,
2060,look like,2,
794,large parties,2,
536,menu items,2,
675,constantly changing,2,
1095,side work,2,
789,white shirts,2,
138,short shifts,2,
378,secret shoppers,2,
1240,script talking,2,
1239,follow script,2,
140,host get,2,
2062,fine dining,2,
141,get tipped,2,
228,stressful times,2,
826,roll outs,2,
371,huge menu,2,
549,enough hours,2,
1599,issues management,2,
400,slow season,2,
2150,food shirt,2,
365,hours hard,2,
487,hard move,2,
1404,lazy coworkers,2,
133,low pay,2,
1292,food runners,2,
1376,team bussers,2,
809,high expectations,2,
1633,serving job,2,
2056,button shirts,2,
2055,white button,2,
1901,prepare frustration,2,
1900,background prepare,2,
690,food running,2,
130,sometimes many,2,
84,job also,2,
131,many employees,2,
387,life balance,2,
1272,add gratuity,2,
255,hard get,2,
256,get close,2,
2149,spill food,2,
2183,getting stuck,2,
1645,day shifts,2,
1424,lot work,2,
1337,triple sat,2,
782,feels like,2,
616,lazy co,2,
1150,every single,2,
310,enough get,2,
1740,got points,2,
1362,steps service,2,
1741,points taken,2,
1349,implemented well,2,
1700,mystery shopper,2,
754,high stress,2,
453,heavy lifting,2,
621,management team,2,
897,cut early,2,
846,team members,2,
187,work training,2,
450,heavy plates,2,
448,poor training,2,
288,minimum wage,2,
836,short staffed,2,
2239,start around,2,
870,training program,2,
154,can not,2,
1592,people work,2,
1985,table go,2,
1986,go get,2,
587,stressful environment,2,
1567,sometimes come,1,
1537,single table,1,
1566,food sometimes,1,
1568,come wrong,1,
1536,script every,1,
1538,table often,1,
1535,entire script,1,
1534,say entire,1,
1569,wrong timely,1,
1565,pushy food,1,
1564,redundant pushy,1,
1539,often results,1,
1563,people redundant,1,
1552,another way,1,
1533,must say,1,
1548,employees jobs,1,
1546,idea monitor,1,
1545,etc idea,1,
1549,jobs good,1,
1544,customers etc,1,
1550,good executed,1,
1543,irritated customers,1,
1551,executed another,1,
1542,communication irritated,1,
1553,way also,1,
1562,like people,1,
1554,also multiple,1,
1555,multiple things,1,
1556,things hosts,1,
1557,hosts servers,1,
1558,servers need,1,
1541,awkward communication,1,
1540,results awkward,1,
1559,need sell,1,
1560,sell customer,1,
1561,customer feels,1,
1547,monitor employees,1,
0,tips arent,1,
1532,shopper must,1,
1482,6 depending,1,
1496,get sidework,1,
1495,rush get,1,
1494,labor rush,1,
1493,strict labor,1,
1492,day strict,1,
1491,hours day,1,
1490,7 hours,1,
1489,week 7,1,
1488,shifts per,1,
1487,5 shifts,1,
1486,work 5,1,
1485,could work,1,
1484,section could,1,
1483,depending section,1,
1481,5 6,1,
1498,done stressful,1,
1480,tip 5,1,
1479,high tip,1,
1478,servers high,1,
1477,quickly servers,1,
1476,run quickly,1,
1475,wear run,1,
1474,shoes wear,1,
1473,slip shoes,1,
1472,non slip,1,
1471,expenses non,1,
1470,uniform expenses,1,
1469,reimbursement uniform,1,
1468,liudly reimbursement,1,
1467,yell liudly,1,
1497,sidework done,1,
1499,busy nights,1,
1531,secret shopper,1,
1516,move management,1,
1530,know secret,1,
1529,never know,1,
1528,unnatural never,1,
1527,scripted unnatural,1,
1526,experience scripted,1,
1525,entire experience,1,
1524,score entire,1,
1523,100 score,1,
1522,score 100,1,
1521,order score,1,
1520,shops order,1,
1570,timely matter,1,
1518,bj secret,1,
1517,management bj,1,
1515,market hard,1,
1500,nights aloneconstantly,1,
1514,developing market,1,
1513,unless developing,1,
1512,position unless,1,
1511,serving position,1,
1510,easy serving,1,
1509,wanting easy,1,
1508,excite wanting,1,
1507,may excite,1,
1506,expansion may,1,
1505,rapid expansion,1,
1504,due rapid,1,
1503,company due,1,
1502,evolving company,1,
1501,aloneconstantly evolving,1,
1519,secret shops,1,
1587,goals cooperate,1,
1571,matter upsets,1,
1669,service little,1,
1663,paced naturally,1,
1664,naturally problems,1,
1665,problems kitchen,1,
1666,kitchen guests,1,
1667,guests control,1,
1668,control steps,1,
1670,little tedious,1,
1678,guests difficult,1,
1671,tedious gss,1,
1672,gss annoying,1,
1673,annoying corporate,1,
1674,corporate rules,1,
1675,rules make,1,
1676,make serving,1,
1662,extremely fast,1,
1661,employees extremely,1,
1660,blame employees,1,
1659,quick blame,1,
1658,management quick,1,
1657,unpredictable management,1,
1656,pay unpredictable,1,
1655,bad pay,1,
1654,hours bad,1,
1653,job hours,1,
1652,working serving,1,
1651,hard working,1,
1650,uneducated hard,1,
1649,work uneducated,1,
1648,lots people,1,
1647,terrible lots,1,
1646,shifts terrible,1,
1677,serving guests,1,
1679,difficult times,1,
1572,upsets customers,1,
1705,believe get,1,
1698,guest turned,1,
1699,turned mystery,1,
1701,shopper turn,1,
1702,turn lied,1,
1703,lied review,1,
1704,review believe,1,
1706,get back,1,
1680,times always,1,
1707,back thinking,1,
1708,thinking would,1,
1709,would get,1,
1710,get written,1,
1711,written something,1,
1712,something got,1,
1697,insulted guest,1,
1696,accidently insulted,1,
1695,dishes accidently,1,
1694,enlightened dishes,1,
1693,made enlightened,1,
1692,substitution made,1,
1691,changes substitution,1,
1690,calorie changes,1,
1689,guest calorie,1,
1688,inform guest,1,
1687,trained inform,1,
1686,benefitsi trained,1,
1685,good benefitsi,1,
1684,something good,1,
1683,shopped something,1,
1682,afraid shopped,1,
1681,always afraid,1,
1644,average day,1,
1643,money average,1,
1642,hectic money,1,
1597,wage person,1,
1590,woth realitysome,1,
1591,realitysome people,1,
1593,work nice,1,
1594,nice pay,1,
1595,pay bad,1,
1596,bad minimum,1,
1598,person issues,1,
1641,managers hectic,1,
1600,management already,1,
1601,already loves,1,
1602,loves anything,1,
1603,anything rude,1,
1604,rude reason,1,
1605,reason people,1,
1589,touch woth,1,
1588,cooperate touch,1,
1465,levels expect,1,
1586,ridiculous goals,1,
1585,customers ridiculous,1,
1584,management customers,1,
1583,day management,1,
1582,night day,1,
1581,busy night,1,
1580,stressed busy,1,
1579,feel stressed,1,
1578,l feel,1,
1577,job l,1,
1576,demanding job,1,
1575,pace demanding,1,
1574,fast pace,1,
1573,customers fast,1,
1606,people always,1,
1607,always job,1,
1608,job lazyabsolutely,1,
1625,corporate forced,1,
1640,rude managers,1,
1639,negative rude,1,
1638,thats negative,1,
1637,say thats,1,
