,name,count,pos
86,hard work,6,
182,work life,6,
272,long hours,5,
480,life balance,4,
1171,fast paced,4,
229,can not,3,
32,hours sometimes,3,
1258,co workers,3,
216,management team,3,
472,low pay,3,
22,hard get,3,
757,work hard,3,
336,secret shoppers,3,
769,2 years,3,
515,food runners,3,
820,stressful busy,3,
379,food running,3,
1209,per week,3,
79,pay unpredictable,2,
2040,lazy coworkers,2,
1257,lazy co,2,
596,serving position,2,
1179,menu items,2,
614,focus focus,2,
1909,add gratuity,2,
92,management know,2,
1314,constantly changing,2,
1431,large parties,2,
1426,white shirts,2,
936,minimum wage,2,
1732,side work,2,
2264,serving job,2,
837,work training,2,
1419,feels like,2,
279,times management,2,
1045,slow season,2,
2329,mystery shopper,2,
1787,every single,2,
2777,spill food,2,
2778,food shirt,2,
155,new hires,2,
2059,lot work,2,
904,get close,2,
1019,huge menu,2,
636,become manager,2,
134,difficult get,2,
1228,stressful environment,2,
2614,go get,2,
2613,table go,2,
321,two weeks,2,
877,stressful times,2,
322,weeks working,2,
1013,hours hard,2,
495,get control,2,
494,things get,2,
2276,day shifts,2,
332,food items,2,
333,items corporate,2,
1190,enough hours,2,
2811,getting stuck,2,
1391,high stress,2,
2230,issues management,2,
1973,triple sat,2,
1097,heavy lifting,2,
1985,implemented well,2,
1507,training program,2,
227,even though,2,
2688,look like,2,
1877,script talking,2,
790,short shifts,2,
1092,poor training,2,
39,sometimes get,2,
1876,follow script,2,
1473,short staffed,2,
1094,heavy plates,2,
2683,white button,2,
2684,button shirts,2,
792,host get,2,
451,ticket times,2,
1463,roll outs,2,
793,get tipped,2,
958,enough get,2,
1130,hard move,2,
431,problems kitchen,2,
2369,got points,2,
2370,points taken,2,
1534,cut early,2,
737,job also,2,
48,training done,2,
1446,high expectations,2,
238,5 work,2,
2528,background prepare,2,
2223,people work,2,
2529,prepare frustration,2,
1998,steps service,2,
380,running shifts,2,
783,sometimes many,2,
2867,start around,2,
381,shifts managers,2,
784,many employees,2,
1483,team members,2,
2012,team bussers,2,
2690,fine dining,2,
1990,well great,1,
1951,everyone really,1,
1955,helps anyone,1,
1989,others implemented,1,
1991,great training,1,
1954,never helps,1,
1953,lazy never,1,
1946,dishes wiping,1,
1948,table us,1,
1947,wiping table,1,
1993,however servers,1,
1950,pick everyone,1,
1992,program however,1,
1949,us pick,1,
1952,really lazy,1,
1956,anyone always,1,
1979,always super,1,
1957,always asks,1,
1970,become open,1,
1980,super hot,1,
1981,hot busy,1,
1982,busy hard,1,
1978,restaurant always,1,
1977,also restaurant,1,
1976,thing also,1,
1975,common thing,1,
1974,sat common,1,
1944,leave stack,1,
1972,getting triple,1,
1971,open getting,1,
1983,training programs,1,
1984,programs implemented,1,
1969,whenever become,1,
1958,asks others,1,
1968,tables whenever,1,
1967,empty tables,1,
1986,well locations,1,
1966,fill empty,1,
1987,locations well,1,
1965,people fill,1,
1964,seat people,1,
1963,know seat,1,
1962,hosts know,1,
1961,help hosts,1,
1960,things help,1,
1988,well others,1,
1959,others things,1,
1945,stack dishes,1,
0,gm attitude,1,
1943,even leave,1,
1890,service provide,1,
1882,mention get,1,
1883,get irritated,1,
1884,irritated times,1,
1885,times clientele,1,
1886,clientele awful,1,
1887,awful matter,1,
1888,matter good,1,
1889,good service,1,
1891,provide customers,1,
1942,bussers even,1,
1892,customers still,1,
1893,still get,1,
1894,get awful,1,
1895,awful tips,1,
1896,tips last,1,
1897,last restaurant,1,
1898,restaurant worked,1,
1899,worked would,1,
1881,annoying mention,1,
1880,extremely annoying,1,
1879,customers extremely,1,
1878,talking customers,1,
1859,entire menu,1,
1860,menu soon,1,
1861,soon start,1,
1862,start one,1,
1863,one biggest,1,
1864,biggest menus,1,
1865,menus ever,1,
1866,ever managers,1,
1867,managers never,1,
1868,never really,1,
1869,really help,1,
1870,help need,1,
1871,need understanding,1,
1872,understanding definitely,1,
1873,definitely show,1,
1874,show favoritism,1,
1875,favoritism follow,1,
1900,would always,1,
1901,always leave,1,
1902,leave 20,1,
1923,mention tip,1,
1925,awful absolutely,1,
1926,absolutely awful,1,
1927,awful tip,1,
1928,tip food,1,
1929,runners bussers,1,
1930,bussers bar,1,
1931,bar bussers,1,
1932,bussers literally,1,
1933,literally nothing,1,
1934,nothing servers,1,
1935,servers job,1,
1936,job clean,1,
1937,clean everything,1,
1938,everything tables,1,
1939,tables leave,1,
1940,leave cups,1,
1941,cups bussers,1,
1924,tip awful,1,
1995,required meet,1,
1903,20 tips,1,
1922,table mention,1,
1904,tips leave,1,
1905,leave around,1,
1906,around 10,1,
1907,10 bj,1,
1908,bj add,1,
1910,gratuity huge,1,
1911,huge parties,1,
1912,parties even,1,
1913,even group,1,
1914,group 20,1,
1915,20 people,1,
1916,people could,1,
1917,could possibly,1,
1918,possibly get,1,
1919,get nothing,1,
1920,nothing serving,1,
1921,serving table,1,
1994,servers required,1,
2017,performance act,1,
1996,meet quite,1,
2134,evolving company,1,
2114,6 depending,1,
2115,depending section,1,
2116,section could,1,
2117,could work,1,
2118,work 5,1,
2119,5 shifts,1,
2120,shifts per,1,
2121,week 7,1,
2122,7 hours,1,
2123,hours day,1,
2124,day strict,1,
2125,strict labor,1,
2126,labor rush,1,
2127,rush get,1,
2128,get sidework,1,
2129,sidework done,1,
2130,done stressful,1,
2131,busy nights,1,
2132,nights aloneconstantly,1,
2113,5 6,1,
2112,tip 5,1,
2111,high tip,1,
2100,liudly reimbursement,1,
2092,things gets,1,
2093,gets busy,1,
2094,busy things,1,
2095,control high,1,
2096,stress levels,1,
2097,levels expect,1,
2098,expect yell,1,
2099,yell liudly,1,
2101,reimbursement uniform,1,
2110,servers high,1,
2102,uniform expenses,1,
2103,expenses non,1,
2104,non slip,1,
2105,slip shoes,1,
2106,shoes wear,1,
2107,wear run,1,
2108,run quickly,1,
2109,quickly servers,1,
2133,aloneconstantly evolving,1,
2135,company due,1,
2090,always running,1,
2136,due rapid,1,
2159,unnatural never,1,
2160,never know,1,
2161,know secret,1,
2162,secret shopper,1,
2163,shopper must,1,
2164,must say,1,
2165,say entire,1,
2166,entire script,1,
2167,script every,1,
2168,single table,1,
2169,table often,1,
2170,often results,1,
2171,results awkward,1,
2172,awkward communication,1,
2173,communication irritated,1,
2174,irritated customers,1,
2175,customers etc,1,
2176,etc idea,1,
2177,idea monitor,1,
2158,scripted unnatural,1,
2157,experience scripted,1,
2156,entire experience,1,
2145,developing market,1,
2137,rapid expansion,1,
2138,expansion may,1,
2139,may excite,1,
2140,excite wanting,1,
2141,wanting easy,1,
2142,easy serving,1,
2143,position unless,1,
2144,unless developing,1,
2146,market hard,1,
2155,score entire,1,
2147,move management,1,
2148,management bj,1,
2149,bj secret,1,
2150,secret shops,1,
2151,shops order,1,
2152,order score,1,
2153,score 100,1,
2154,100 score,1,
2091,running things,1,
2089,workers always,1,
1997,quite steps,1,
2043,rules sometimes,1,
2022,sketchy paying,1,
2023,paying tips,1,
2024,tips unrealistic,1,
2025,unrealistic expectation,1,
2026,expectation cleaning,1,
2027,cleaning setting,1,
2028,setting tables,1,
2029,tables within,1,
2030,within two,1,
2031,two minutes,1,
2032,minutes regard,1,
2033,regard safety,1,
2034,safety terms,1,
2035,terms reducing,1,
2036,reducing stress,1,
2037,stress body,1,
2038,body busser,1,
2039,busser lazy,1,
2041,coworkers long,1,
2021,servers sketchy,1,
2020,bussers servers,1,
2019,like team,1,
2007,tired due,1,
1999,service table,1,
2000,table stressful,1,
2001,busy environment,1,
2002,environment managers,1,
2003,managers frequently,1,
2004,frequently lot,1,
2005,lot stress,1,
2006,stress tired,1,
2008,due long,1,
2018,act like,1,
2009,hours affect,1,
2010,affect whole,1,
2011,whole team,1,
2013,bussers team,1,
2014,team relied,1,
2015,relied self,1,
2016,self performance,1,
1857,expect memorize,1,
2042,many rules,1,
2044,sometimes staffed,1,
2088,items lazy,1,
2045,staffed music,1,
2069,rarely page,1,
2070,page anything,1,
2071,anything poor,1,
2072,training new,1,
2073,new employees,1,
2074,employees poor,1,
2075,poor performance,1,
2076,performance never,1,
2077,never reprimanded,1,
2078,reprimanded general,1,
2079,general culture,1,
2080,culture mediocrity,1,
2081,mediocrity within,1,
2082,within service,1,
2083,service staffkitchen,1,
2084,staffkitchen gets,1,
2085,gets crazy,1,
2086,crazy many,1,
2087,many menu,1,
2068,staff rarely,1,
2067,management staff,1,
2066,helm times,1,
2054,outsuper corporate,1,
2046,music loud,1,
2047,loud hot,1,
2048,hot restaurant,1,
2049,restaurant new,1,
2050,new still,1,
2051,still getting,1,
2052,getting kinks,1,
2053,kinks outsuper,1,
2055,corporate restaurant,1,
2065,people helm,1,
2056,restaurant crappy,1,
2057,crappy regulars,1,
2058,regulars lot,1,
2060,work bartender,1,
2061,bartender money,1,
2062,money put,1,
2063,put incompetent,1,
2064,incompetent people,1,
1858,memorize entire,1,
1831,long hard,1,
1856,priority expect,1,
1630,timesvery corporate,1,
1610,location wanted,1,
1611,wanted move,1,
1612,move several,1,
1613,several times,1,
1614,times ignored,1,
1615,ignored upsetting,1,
1616,upsetting worked,1,
1617,worked head,1,
1618,head hostess,1,
1619,hostess year,1,
1620,year many,1,
1621,employees individualized,1,
1622,individualized attention,1,
1623,attention hard,1,
1624,hard come,1,
1625,come bylower,1,
1626,bylower income,1,
1627,income guests,1,
1628,guests tip,1,
1609,former location,1,
1608,went former,1,
1607,reason went,1,
1596,locations moved,1,
1588,fair employees,1,
1589,employees working,1,
1590,working bj,1,
1591,bj year,1,
1592,year half,1,
1593,half wanted,1,
1594,wanted switch,1,
1595,switch locations,1,
1597,moved instead,1,
1606,good reason,1,
1598,instead handling,1,
1599,handling situation,1,
1600,situation professional,1,
1601,professional manner,1,
1602,manner management,1,
1603,management approve,1,
1604,approve give,1,
1605,give good,1,
1629,tip timesvery,1,
1631,corporate overall,1,
1586,reported harassment,1,
1632,overall feeling,1,
1655,people complain,1,
1656,complain service,1,
1657,service somewhat,1,
1658,somewhat unsteady,1,
1659,unsteady shifts,1,
1660,shifts angry,1,
1661,angry guests,1,
1662,guests first,1,
1663,first three,1,
1664,three years,1,
1665,years went,1,
1666,went four,1,
1667,four general,1,
1668,general managers,1,
1669,managers alone,1,
1670,alone corporate,1,
1671,corporate brought,1,
1672,brought manager,1,
1673,manager outside,1,
1654,explains people,1,
1653,unfortunately explains,1,
1652,people unfortunately,1,
1641,coming overall,1,
1633,feeling replaceable,1,
1634,replaceable important,1,
1635,important management,1,
1636,management worked,1,
1637,worked seems,1,
1638,seems frustrated,1,
1639,frustrated polices,1,
1640,polices coming,1,
1642,overall feelings,1,
1651,brightest people,1,
1643,feelings stressful,1,
1644,stressful fun,1,
1645,fun lot,1,
1646,lot things,1,
1647,things remember,1,
1648,remember corporate,1,
1649,corporate hire,1,
1650,hire brightest,1,
1587,harassment fair,1,
1585,could reported,1,
1855,1 priority,1,
1540,2 table,1,
1519,get longer,1,
1520,longer shifts,1,
1521,shifts take,1,
1522,take months,1,
1523,months restaurant,1,
1524,restaurant neither,1,
