,name,count,pos,norm
86,hard work,6,,1.0000000000000002
182,work life,6,,1.0000000000000002
272,long hours,5,,0.8
480,life balance,4,,0.6000000000000001
229,can not,3,,0.4000000000000001
336,secret shoppers,3,,0.4000000000000001
379,food running,3,,0.4000000000000001
1171,fast paced,3,,0.4000000000000001
32,hours sometimes,3,,0.4000000000000001
472,low pay,3,,0.4000000000000001
22,hard get,3,,0.4000000000000001
515,food runners,3,,0.4000000000000001
1209,per week,3,,0.4000000000000001
769,2 years,3,,0.4000000000000001
1258,co workers,3,,0.4000000000000001
757,work hard,3,,0.4000000000000001
820,stressful busy,3,,0.4000000000000001
216,management team,3,,0.4000000000000001
2059,lot work,2,,0.2
1876,follow script,2,,0.2
134,difficult get,2,,0.2
451,ticket times,2,,0.2
79,pay unpredictable,2,,0.2
1732,side work,2,,0.2
1013,hours hard,2,,0.2
1877,script talking,2,,0.2
2040,lazy coworkers,2,,0.2
2223,people work,2,,0.2
321,two weeks,2,,0.2
333,items corporate,2,,0.2
322,weeks working,2,,0.2
1019,huge menu,2,,0.2
837,work training,2,,0.2
92,management know,2,,0.2
636,become manager,2,,0.2
332,food items,2,,0.2
1534,cut early,2,,0.2
2528,background prepare,2,,0.2
2529,prepare frustration,2,,0.2
1179,menu items,2,,0.2
1314,constantly changing,2,,0.2
494,things get,2,,0.2
2683,white button,2,,0.2
227,even though,2,,0.2
238,5 work,2,,0.2
936,minimum wage,2,,0.2
2329,mystery shopper,2,,0.2
1257,lazy co,2,,0.2
2614,go get,2,,0.2
2613,table go,2,,0.2
1973,triple sat,2,,0.2
1985,implemented well,2,,0.2
596,serving position,2,,0.2
904,get close,2,,0.2
1909,add gratuity,2,,0.2
2684,button shirts,2,,0.2
495,get control,2,,0.2
1998,steps service,2,,0.2
279,times management,2,,0.2
2688,look like,2,,0.2
2690,fine dining,2,,0.2
2264,serving job,2,,0.2
614,focus focus,2,,0.2
2369,got points,2,,0.2
2370,points taken,2,,0.2
155,new hires,2,,0.2
2778,food shirt,2,,0.2
2012,team bussers,2,,0.2
877,stressful times,2,,0.2
2777,spill food,2,,0.2
1787,every single,2,,0.2
1045,slow season,2,,0.2
783,sometimes many,2,,0.2
793,get tipped,2,,0.2
790,short shifts,2,,0.2
431,problems kitchen,2,,0.2
48,training done,2,,0.2
1097,heavy lifting,2,,0.2
737,job also,2,,0.2
1473,short staffed,2,,0.2
784,many employees,2,,0.2
1419,feels like,2,,0.2
1094,heavy plates,2,,0.2
39,sometimes get,2,,0.2
1431,large parties,2,,0.2
2811,getting stuck,2,,0.2
1391,high stress,2,,0.2
380,running shifts,2,,0.2
1426,white shirts,2,,0.2
381,shifts managers,2,,0.2
1483,team members,2,,0.2
1507,training program,2,,0.2
792,host get,2,,0.2
1130,hard move,2,,0.2
1463,roll outs,2,,0.2
1092,poor training,2,,0.2
1446,high expectations,2,,0.2
1907,10 bj,1,,0.0
1814,business slow,1,,0.0
1908,bj add,1,,0.0
1822,turn thus,1,,0.0
1940,leave cups,1,,0.0
1816,get cut,1,,0.0
1824,servers gooddepending,1,,0.0
1815,slow get,1,,0.0
1910,gratuity huge,1,,0.0
1911,huge parties,1,,0.0
1939,tables leave,1,,0.0
1912,parties even,1,,0.0
1823,thus servers,1,,0.0
1813,hosts business,1,,0.0
1821,high turn,1,,0.0
1941,cups bussers,1,,0.0
1942,bussers even,1,,0.0
1825,gooddepending manager,1,,0.0
1906,around 10,1,,0.0
1826,manager difficult,1,,0.0
1905,leave around,1,,0.0
1827,difficult isprices,1,,0.0
1943,even leave,1,,0.0
1828,isprices expensive,1,,0.0
1944,leave stack,1,,0.0
1945,stack dishes,1,,0.0
1904,tips leave,1,,0.0
1812,especially hosts,1,,0.0
1946,dishes wiping,1,,0.0
1913,even group,1,,0.0
1914,group 20,1,,0.0
1820,clientele high,1,,0.0
1935,servers job,1,,0.0
1934,nothing servers,1,,0.0
1936,job clean,1,,0.0
1933,literally nothing,1,,0.0
1932,bussers literally,1,,0.0
1931,bar bussers,1,,0.0
1930,bussers bar,1,,0.0
1929,runners bussers,1,,0.0
1928,tip food,1,,0.0
1927,awful tip,1,,0.0
1817,early long,1,,0.0
1926,absolutely awful,1,,0.0
1925,awful absolutely,1,,0.0
1924,tip awful,1,,0.0
1923,mention tip,1,,0.0
1922,table mention,1,,0.0
1921,serving table,1,,0.0
1920,nothing serving,1,,0.0
1919,get nothing,1,,0.0
1937,clean everything,1,,0.0
1902,leave 20,1,,0.0
1918,possibly get,1,,0.0
1917,could possibly,1,,0.0
1938,everything tables,1,,0.0
1916,people could,1,,0.0
1818,hours crappy,1,,0.0
1915,20 people,1,,0.0
1819,crappy clientele,1,,0.0
1903,20 tips,1,,0.0
1897,last restaurant,1,,0.0
1901,always leave,1,,0.0
1866,ever managers,1,,0.0
1846,heck time,1,,0.0
1865,menus ever,1,,0.0
1845,working heck,1,,0.0
1844,expectations working,1,,0.0
1843,unrealistic expectations,1,,0.0
1842,managers unrealistic,1,,0.0
1867,managers never,1,,0.0
1863,one biggest,1,,0.0
1841,leave managers,1,,0.0
1840,silverware leave,1,,0.0
1868,never really,1,,0.0
1869,really help,1,,0.0
1839,rolling silverware,1,,0.0
1870,help need,1,,0.0
1864,biggest menus,1,,0.0
1862,start one,1,,0.0
1872,understanding definitely,1,,0.0
1855,1 priority,1,,0.0
1850,yet managers,1,,0.0
1851,managers expect,1,,0.0
1852,expect make,1,,0.0
1853,make job,1,,0.0
1854,job 1,1,,0.0
1849,working yet,1,,0.0
1856,priority expect,1,,0.0
1861,soon start,1,,0.0
1857,expect memorize,1,,0.0
1858,memorize entire,1,,0.0
1859,entire menu,1,,0.0
1848,life working,1,,0.0
1847,time life,1,,0.0
1860,menu soon,1,,0.0
1871,need understanding,1,,0.0
1873,definitely show,1,,0.0
1829,expensive work,1,,0.0
1893,still get,1,,0.0
1888,matter good,1,,0.0
1889,good service,1,,0.0
1831,long hard,1,,0.0
1890,service provide,1,,0.0
1891,provide customers,1,,0.0
1892,customers still,1,,0.0
1894,get awful,1,,0.0
1886,clientele awful,1,,0.0
1895,awful tips,1,,0.0
1896,tips last,1,,0.0
1830,work long,1,,0.0
1898,restaurant worked,1,,0.0
1899,worked would,1,,0.0
1900,would always,1,,0.0
1887,awful matter,1,,0.0
1885,times clientele,1,,0.0
1838,work rolling,1,,0.0
1835,takes forever,1,,0.0
1874,show favoritism,1,,0.0
1837,complete side,1,,0.0
1947,wiping table,1,,0.0
1836,forever complete,1,,0.0
1878,talking customers,1,,0.0
1879,customers extremely,1,,0.0
1834,hours takes,1,,0.0
1884,irritated times,1,,0.0
1833,busy hours,1,,0.0
1880,extremely annoying,1,,0.0
1881,annoying mention,1,,0.0
1882,mention get,1,,0.0
1832,hard busy,1,,0.0
1883,get irritated,1,,0.0
1875,favoritism follow,1,,0.0
1970,become open,1,,0.0
1948,table us,1,,0.0
