,name,count,pos,norm
28,work,46,NOUN,1.0000000000000002
159,get,41,NOUN,0.8888888888888888
0,management,38,NOUN,0.8222222222222222
1,time,26,NOUN,0.5555555555555556
9,hours,25,NOUN,0.5333333333333333
107,managers,21,NOUN,0.4444444444444445
53,people,20,NOUN,0.4222222222222223
69,food,19,NOUN,0.4
48,shifts,19,NOUN,0.4
334,restaurant,18,NOUN,0.3777777777777778
263,servers,17,NOUN,0.35555555555555557
109,employees,17,NOUN,0.35555555555555557
16,times,16,NOUN,0.33333333333333337
139,lot,16,NOUN,0.33333333333333337
189,pay,15,NOUN,0.31111111111111117
59,working,14,NOUN,0.2888888888888889
83,customers,14,NOUN,0.2888888888888889
461,guests,13,NOUN,0.2666666666666667
62,money,13,NOUN,0.2666666666666667
82,tips,12,NOUN,0.24444444444444444
212,good,12,NOUN,0.24444444444444444
365,job,12,NOUN,0.24444444444444444
165,kitchen,11,NOUN,0.22222222222222224
105,leave,11,NOUN,0.22222222222222224
756,table,10,NOUN,0.2
590,service,10,NOUN,0.2
248,manager,10,NOUN,0.2
343,day,10,NOUN,0.2
520,menu,9,NOUN,0.17777777777777778
413,training,9,NOUN,0.17777777777777778
95,server,9,NOUN,0.17777777777777778
94,life,9,NOUN,0.17777777777777778
169,need,9,NOUN,0.17777777777777778
153,staff,9,NOUN,0.17777777777777778
220,tip,8,NOUN,0.15555555555555556
207,things,8,NOUN,0.15555555555555556
3,schedule,8,NOUN,0.15555555555555556
234,shift,7,NOUN,0.13333333333333333
1168,shirt,7,NOUN,0.13333333333333333
633,team,7,NOUN,0.13333333333333333
467,bj,7,NOUN,0.13333333333333333
408,move,7,NOUN,0.13333333333333333
39,location,7,NOUN,0.13333333333333333
447,tables,7,NOUN,0.13333333333333333
71,items,7,NOUN,0.13333333333333333
17,know,7,NOUN,0.13333333333333333
517,lots,6,NOUN,0.1111111111111111
170,workers,6,NOUN,0.1111111111111111
356,guest,6,NOUN,0.1111111111111111
552,plates,6,NOUN,0.1111111111111111
111,anything,6,NOUN,0.1111111111111111
222,bussers,6,NOUN,0.1111111111111111
20,scheduling,6,NOUN,0.1111111111111111
60,week,6,NOUN,0.1111111111111111
259,orders,5,NOUN,0.08888888888888889
246,rate,5,NOUN,0.08888888888888889
