name,bad,da,good,da2
food,4,NOUN,4.0,NOUN
food,4,NOUN,3.0,NOUN
food,4,NOUN,1.0,NOUN
food,4,NOUN,1.0,NOUN
food,4,NOUN,1.0,NOUN
food,4,NOUN,1.0,NOUN
service,3,NOUN,1.0,NOUN
service,3,NOUN,1.0,NOUN
service,3,NOUN,1.0,NOUN
service,3,NOUN,1.0,NOUN
wait,3,NOUN,0.0,0
food,3,NOUN,4.0,NOUN
food,3,NOUN,3.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
minutes,3,NOUN,0.0,0
food,3,NOUN,4.0,NOUN
food,3,NOUN,3.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
food,3,NOUN,1.0,NOUN
utensils,2,NOUN,0.0,0
mayo,2,NOUN,0.0,0
burgers,2,NOUN,0.0,0
course,2,NOUN,0.0,0
