,name,count,pos,norm
0,gm attitude shared,1,,0.0
1,attitude shared amongst,1,,0.0
2,shared amongst managers,1,,0.0
3,amongst managers staff,1,,0.0
4,managers staff sometimes,1,,0.0
5,staff sometimes harsh,1,,0.0
6,sometimes harsh attitudescorporate,1,,0.0
7,harsh attitudescorporate management,1,,0.0
8,attitudescorporate management page,1,,0.0
9,management page managers,1,,0.0
10,page managers condescending,1,,0.0
11,managers condescending inapropriate,1,,0.0
12,condescending inapropriate refuse,1,,0.0
13,inapropriate refuse give,1,,0.0
14,refuse give consistent,1,,0.0
15,give consistent schedule,1,,0.0
