,name,count,pos,norm
26,get,10,NOUN,1.0
32,work,9,NOUN,0.8888888888888888
28,hours,8,NOUN,0.7777777777777777
9,management,7,NOUN,0.6666666666666665
4,managers,5,NOUN,0.4444444444444445
17,schedule,5,NOUN,0.4444444444444445
83,time,4,NOUN,0.3333333333333333
123,lack,4,NOUN,0.3333333333333333
46,times,3,NOUN,0.2222222222222222
96,things,3,NOUN,0.2222222222222222
40,employees,3,NOUN,0.2222222222222222
92,gratuity,2,NOUN,0.1111111111111111
101,employee,2,NOUN,0.1111111111111111
47,training,2,NOUN,0.1111111111111111
30,way,2,NOUN,0.1111111111111111
106,scheduling,2,NOUN,0.1111111111111111
66,lots,2,NOUN,0.1111111111111111
167,manager,2,NOUN,0.1111111111111111
5,staff,2,NOUN,0.1111111111111111
153,items,1,NOUN,0.0
151,glassware,1,NOUN,0.0
152,stock,1,NOUN,0.0
159,health,1,NOUN,0.0
0,gm,1,NOUN,0.0
148,life,1,NOUN,0.0
150,silverware,1,NOUN,0.0
161,part,1,NOUN,0.0
145,rules,1,NOUN,0.0
143,structure,1,NOUN,0.0
139,disorganization,1,NOUN,0.0
136,servers,1,NOUN,0.0
133,payfood,1,NOUN,0.0
131,hires,1,NOUN,0.0
160,benefits,1,NOUN,0.0
171,nothing,1,NOUN,0.0
162,loyalty,1,NOUN,0.0
192,morning,1,NOUN,0.0
210,responsibilities,1,NOUN,0.0
207,ppl,1,NOUN,0.0
203,question,1,NOUN,0.0
201,schedules,1,NOUN,0.0
199,message,1,NOUN,0.0
197,week,1,NOUN,0.0
195,idea,1,NOUN,0.0
191,people,1,NOUN,0.0
163,favoritism,1,NOUN,0.0
186,dinner,1,NOUN,0.0
182,shift,1,NOUN,0.0
181,lunch,1,NOUN,0.0
176,availability,1,NOUN,0.0
172,team,1,NOUN,0.0
169,something,1,NOUN,0.0
165,desire,1,NOUN,0.0
124,communication,1,NOUN,0.0
104,liking,1,NOUN,0.0
116,location,1,NOUN,0.0
67,fights,1,NOUN,0.0
59,teamwork,1,NOUN,0.0
56,supplies,1,NOUN,0.0
55,run,1,NOUN,0.0
53,costs,1,NOUN,0.0
44,guests,1,NOUN,0.0
43,shiftsome,1,NOUN,0.0
39,stress,1,NOUN,0.0
36,hostesslong,1,NOUN,0.0
35,tips,1,NOUN,0.0
34,payno,1,NOUN,0.0
21,jobs,1,NOUN,0.0
20,rate,1,NOUN,0.0
14,refuse,1,NOUN,0.0
13,inapropriate,1,NOUN,0.0
11,page,1,NOUN,0.0
60,unorganized,1,NOUN,0.0
69,house,1,NOUN,0.0
115,timesdepends,1,NOUN,0.0
71,restaurant,1,NOUN,0.0
112,hour,1,NOUN,0.0
111,power,1,NOUN,0.0
110,periodworking,1,NOUN,0.0
109,rest,1,NOUN,0.0
105,job,1,NOUN,0.0
1,attitude,1,NOUN,0.0
103,leave,1,NOUN,0.0
91,clients,1,NOUN,0.0
87,deal,1,NOUN,0.0
85,customers,1,NOUN,0.0
84,positions,1,NOUN,0.0
78,micromanagement,1,NOUN,0.0
77,load,1,NOUN,0.0
74,pay,1,NOUN,0.0
72,downfalls,1,NOUN,0.0
212,person,1,NOUN,0.0
