,name,count,pos,norm
191,work life balance,6,,1.0000000000000002
2922,spill food shirt,2,,0.2
188,coworkers long hours,2,,0.2
335,two weeks working,2,,0.2
2824,white button shirts,2,,0.2
2748,table go get,2,,0.2
1965,follow script talking,2,,0.2
33,long hours sometimes,2,,0.2
516,things get control,2,,0.2
2662,background prepare frustration,2,,0.2
1323,lazy co workers,2,,0.2
2490,got points taken,2,,0.2
395,food running shifts,2,,0.2
2028,everything tables leave,1,,0.0
2049,others things help,1,,0.0
2050,things help hosts,1,,0.0
2051,help hosts know,1,,0.0
2052,hosts know seat,1,,0.0
2053,know seat people,1,,0.0
2054,seat people fill,1,,0.0
2055,people fill empty,1,,0.0
2056,fill empty tables,1,,0.0
2025,servers job clean,1,,0.0
2047,always asks others,1,,0.0
2024,nothing servers job,1,,0.0
2057,empty tables whenever,1,,0.0
2058,tables whenever become,1,,0.0
2059,whenever become open,1,,0.0
2060,become open getting,1,,0.0
2061,open getting triple,1,,0.0
2062,getting triple sat,1,,0.0
2023,literally nothing servers,1,,0.0
2048,asks others things,1,,0.0
2026,job clean everything,1,,0.0
2029,tables leave cups,1,,0.0
2038,table us pick,1,,0.0
2030,leave cups bussers,1,,0.0
2031,cups bussers even,1,,0.0
2032,bussers even leave,1,,0.0
2033,even leave stack,1,,0.0
2034,leave stack dishes,1,,0.0
2035,stack dishes wiping,1,,0.0
2036,dishes wiping table,1,,0.0
2037,wiping table us,1,,0.0
2039,us pick everyone,1,,0.0
2046,anyone always asks,1,,0.0
2040,pick everyone really,1,,0.0
2041,everyone really lazy,1,,0.0
2042,really lazy never,1,,0.0
2064,sat common thing,1,,0.0
2043,lazy never helps,1,,0.0
2044,never helps anyone,1,,0.0
2045,helps anyone always,1,,0.0
2027,clean everything tables,1,,0.0
2063,triple sat common,1,,0.0
0,gm attitude shared,1,,0.0
2065,common thing also,1,,0.0
2098,managers frequently lot,1,,0.0
2089,required meet quite,1,,0.0
2090,meet quite steps,1,,0.0
