,name,count,pos,norm
33,long hours,8,,1.0
189,work life,7,,0.8571428571428572
190,life balance,6,,0.7142857142857142
90,hard work,6,,0.7142857142857142
165,food running,4,,0.42857142857142855
500,fast paced,4,,0.42857142857142855
345,secret shoppers,3,,0.2857142857142857
238,can not,3,,0.2857142857142857
23,hard get,3,,0.2857142857142857
482,low pay,3,,0.2857142857142857
527,food runners,3,,0.2857142857142857
34,hours sometimes,3,,0.2857142857142857
784,2 years,3,,0.2857142857142857
1230,per week,3,,0.2857142857142857
772,work hard,3,,0.2857142857142857
1279,co workers,3,,0.2857142857142857
836,stressful busy,3,,0.2857142857142857
225,management team,3,,0.2857142857142857
1150,hard move,3,,0.2857142857142857
2250,people work,2,,0.14285714285714285
2066,lazy coworkers,2,,0.14285714285714285
1902,follow script,2,,0.14285714285714285
1758,side work,2,,0.14285714285714285
1903,script talking,2,,0.14285714285714285
493,dealing public,2,,0.14285714285714285
1031,hours hard,2,,0.14285714285714285
648,become manager,2,,0.14285714285714285
330,two weeks,2,,0.14285714285714285
2555,background prepare,2,,0.14285714285714285
331,weeks working,2,,0.14285714285714285
853,work training,2,,0.14285714285714285
1037,huge menu,2,,0.14285714285714285
2556,prepare frustration,2,,0.14285714285714285
341,food items,2,,0.14285714285714285
342,items corporate,2,,0.14285714285714285
1558,cut early,2,,0.14285714285714285
838,time day,2,,0.14285714285714285
96,management know,2,,0.14285714285714285
2084,lot work,2,,0.14285714285714285
460,ticket times,2,,0.14285714285714285
83,pay unpredictable,2,,0.14285714285714285
140,difficult get,2,,0.14285714285714285
893,stressful times,2,,0.14285714285714285
1336,constantly changing,2,,0.14285714285714285
2038,team bussers,2,,0.14285714285714285
952,minimum wage,2,,0.14285714285714285
247,5 work,2,,0.14285714285714285
2641,go get,2,,0.14285714285714285
2640,table go,2,,0.14285714285714285
2357,mystery shopper,2,,0.14285714285714285
1278,lazy co,2,,0.14285714285714285
1999,triple sat,2,,0.14285714285714285
920,get close,2,,0.14285714285714285
1935,add gratuity,2,,0.14285714285714285
187,coworkers long,2,,0.14285714285714285
608,serving position,2,,0.14285714285714285
2011,implemented well,2,,0.14285714285714285
2292,serving job,2,,0.14285714285714285
2710,white button,2,,0.14285714285714285
2711,button shirts,2,,0.14285714285714285
288,times management,2,,0.14285714285714285
2715,look like,2,,0.14285714285714285
2024,steps service,2,,0.14285714285714285
2717,fine dining,2,,0.14285714285714285
626,focus focus,2,,0.14285714285714285
161,new hires,2,,0.14285714285714285
2396,got points,2,,0.14285714285714285
361,work schedule,2,,0.14285714285714285
2397,points taken,2,,0.14285714285714285
1199,menu items,2,,0.14285714285714285
506,get control,2,,0.14285714285714285
505,things get,2,,0.14285714285714285
79,typical restaurant,2,,0.14285714285714285
236,even though,2,,0.14285714285714285
1414,high stress,2,,0.14285714285714285
806,short shifts,2,,0.14285714285714285
1113,heavy plates,2,,0.14285714285714285
1064,slow season,2,,0.14285714285714285
809,get tipped,2,,0.14285714285714285
1507,team members,2,,0.14285714285714285
808,host get,2,,0.14285714285714285
1111,poor training,2,,0.14285714285714285
1454,large parties,2,,0.14285714285714285
759,poor management,2,,0.14285714285714285
1486,roll outs,2,,0.14285714285714285
751,job also,2,,0.14285714285714285
440,problems kitchen,2,,0.14285714285714285
1442,feels like,2,,0.14285714285714285
51,training done,2,,0.14285714285714285
800,many employees,2,,0.14285714285714285
41,sometimes get,2,,0.14285714285714285
799,sometimes many,2,,0.14285714285714285
390,shifts managers,2,,0.14285714285714285
2805,food shirt,2,,0.14285714285714285
1449,white shirts,2,,0.14285714285714285
1469,high expectations,2,,0.14285714285714285
389,running shifts,2,,0.14285714285714285
2838,getting stuck,2,,0.14285714285714285
1116,heavy lifting,2,,0.14285714285714285
1496,short staffed,2,,0.14285714285714285
1531,training program,2,,0.14285714285714285
1813,every single,2,,0.14285714285714285
2804,spill food,2,,0.14285714285714285
1843,hours crappy,1,,0.0
1937,huge parties,1,,0.0
1842,early long,1,,0.0
1934,bj add,1,,0.0
1938,parties even,1,,0.0
1847,turn thus,1,,0.0
1939,even group,1,,0.0
1936,gratuity huge,1,,0.0
1926,would always,1,,0.0
1844,crappy clientele,1,,0.0
1924,restaurant worked,1,,0.0
1933,10 bj,1,,0.0
1932,around 10,1,,0.0
1931,leave around,1,,0.0
1930,tips leave,1,,0.0
1841,get cut,1,,0.0
1929,20 tips,1,,0.0
1928,leave 20,1,,0.0
1925,worked would,1,,0.0
1846,high turn,1,,0.0
1927,always leave,1,,0.0
1845,clientele high,1,,0.0
1871,working heck,1,,0.0
1943,could possibly,1,,0.0
1940,group 20,1,,0.0
1956,bussers bar,1,,0.0
1957,bar bussers,1,,0.0
1958,bussers literally,1,,0.0
1835,hours guaranteed,1,,0.0
1959,literally nothing,1,,0.0
1960,nothing servers,1,,0.0
1834,cutthroat hours,1,,0.0
1833,lame cutthroat,1,,0.0
1961,servers job,1,,0.0
1962,job clean,1,,0.0
1963,clean everything,1,,0.0
1964,everything tables,1,,0.0
1965,tables leave,1,,0.0
1966,leave cups,1,,0.0
1967,cups bussers,1,,0.0
1968,bussers even,1,,0.0
1836,guaranteed especially,1,,0.0
