,name,count,pos,norm
221,work life balance,5,,1.0
116,food running shifts,2,,0.25
2386,background prepare frustration,2,,0.25
2472,table go get,2,,0.25
1687,follow script talking,2,,0.25
1045,lazy co workers,2,,0.25
2646,spill food shirt,2,,0.25
2214,got points taken,2,,0.25
238,things get control,2,,0.25
56,two weeks working,2,,0.25
2548,white button shirts,2,,0.25
1862,hours sometimes many,1,,0.0
1863,sometimes many rules,1,,0.0
1864,many rules sometimes,1,,0.0
1866,sometimes staffed music,1,,0.0
1865,rules sometimes staffed,1,,0.0
1860,coworkers long hours,1,,0.0
1867,staffed music loud,1,,0.0
1868,music loud hot,1,,0.0
1869,loud hot restaurant,1,,0.0
1870,hot restaurant new,1,,0.0
1871,restaurant new still,1,,0.0
1872,new still getting,1,,0.0
1873,still getting kinks,1,,0.0
1861,long hours sometimes,1,,0.0
0,management time sucked,1,,0.0
1875,kinks super corporate,1,,0.0
1859,lazy coworkers long,1,,0.0
1840,servers sketchy paying,1,,0.0
1841,sketchy paying tips,1,,0.0
1842,paying tips unrealistic,1,,0.0
1843,tips unrealistic expectation,1,,0.0
1844,unrealistic expectation cleaning,1,,0.0
1845,expectation cleaning setting,1,,0.0
1846,cleaning setting tables,1,,0.0
1847,setting tables within,1,,0.0
1848,tables within two,1,,0.0
1849,within two minutes,1,,0.0
1850,two minutes regard,1,,0.0
1851,minutes regard safety,1,,0.0
1852,regard safety terms,1,,0.0
1853,safety terms reducing,1,,0.0
1854,terms reducing stress,1,,0.0
1855,reducing stress body,1,,0.0
1856,stress body busser,1,,0.0
1857,body busser lazy,1,,0.0
1858,busser lazy coworkers,1,,0.0
1874,getting kinks super,1,,0.0
1877,corporate restaurant crappy,1,,0.0
1876,super corporate restaurant,1,,0.0
1908,staff kitchen gets,1,,0.0
1900,performance never reprimanded,1,,0.0
1901,never reprimanded general,1,,0.0
1902,reprimanded general culture,1,,0.0
1903,general culture mediocrity,1,,0.0
1904,culture mediocrity within,1,,0.0
1905,mediocrity within service,1,,0.0
1906,within service staff,1,,0.0
1907,service staff kitchen,1,,0.0
1909,kitchen gets crazy,1,,0.0
1898,employees poor performance,1,,0.0
1910,gets crazy many,1,,0.0
1911,crazy many menu,1,,0.0
1912,many menu items,1,,0.0
1913,menu items lazy,1,,0.0
1914,items lazy co,1,,0.0
1915,co workers always,1,,0.0
1916,workers always running,1,,0.0
1917,always running things,1,,0.0
1899,poor performance never,1,,0.0
1897,new employees poor,1,,0.0
1838,team bussers servers,1,,0.0
1886,incompetent people helm,1,,0.0
1878,restaurant crappy regulars,1,,0.0
1879,crappy regulars lot,1,,0.0
1880,regulars lot work,1,,0.0
1881,lot work bartender,1,,0.0
1882,work bartender money,1,,0.0
1883,bartender money put,1,,0.0
1884,money put incompetent,1,,0.0
1885,put incompetent people,1,,0.0
1887,people helm times,1,,0.0
1896,training new employees,1,,0.0
1888,helm times management,1,,0.0
1889,times management staff,1,,0.0
1890,management staff rarely,1,,0.0
1891,staff rarely page,1,,0.0
1892,rarely page anything,1,,0.0
1893,page anything poor,1,,0.0
