,name,count,pos,norm
27,get,10,NOUN,1.0
10,management,9,NOUN,0.8888888888888888
33,work,9,NOUN,0.8888888888888888
29,hours,8,NOUN,0.7777777777777777
18,schedule,5,NOUN,0.4444444444444445
62,time,5,NOUN,0.4444444444444445
4,managers,5,NOUN,0.4444444444444445
127,lack,4,NOUN,0.3333333333333333
50,times,4,NOUN,0.3333333333333333
36,pay,3,NOUN,0.2222222222222222
99,things,3,NOUN,0.2222222222222222
43,employees,3,NOUN,0.2222222222222222
171,manager,2,NOUN,0.1111111111111111
51,training,2,NOUN,0.1111111111111111
104,employee,2,NOUN,0.1111111111111111
46,shift,2,NOUN,0.1111111111111111
74,servers,2,NOUN,0.1111111111111111
31,way,2,NOUN,0.1111111111111111
5,staff,2,NOUN,0.1111111111111111
109,scheduling,2,NOUN,0.1111111111111111
70,lots,2,NOUN,0.1111111111111111
159,people,2,NOUN,0.1111111111111111
95,gratuity,2,NOUN,0.1111111111111111
163,health,1,NOUN,0.0
157,items,1,NOUN,0.0
155,glassware,1,NOUN,0.0
156,stock,1,NOUN,0.0
153,money,1,NOUN,0.0
154,silverware,1,NOUN,0.0
165,part,1,NOUN,0.0
152,balance,1,NOUN,0.0
151,life,1,NOUN,0.0
150,coworkers,1,NOUN,0.0
148,rules,1,NOUN,0.0
146,structure,1,NOUN,0.0
164,benefits,1,NOUN,0.0
0,gm,1,NOUN,0.0
166,loyalty,1,NOUN,0.0
194,morning,1,NOUN,0.0
211,responsibilities,1,NOUN,0.0
209,ppl,1,NOUN,0.0
205,question,1,NOUN,0.0
203,schedules,1,NOUN,0.0
201,message,1,NOUN,0.0
199,week,1,NOUN,0.0
197,idea,1,NOUN,0.0
189,dinner,1,NOUN,0.0
167,favoritism,1,NOUN,0.0
185,lunch,1,NOUN,0.0
180,availability,1,NOUN,0.0
176,team,1,NOUN,0.0
175,nothing,1,NOUN,0.0
138,food,1,NOUN,0.0
173,something,1,NOUN,0.0
169,desire,1,NOUN,0.0
143,disorganization,1,NOUN,0.0
106,leave,1,NOUN,0.0
136,hires,1,NOUN,0.0
42,stress,1,NOUN,0.0
63,teamwork,1,NOUN,0.0
60,supplies,1,NOUN,0.0
59,run,1,NOUN,0.0
57,costs,1,NOUN,0.0
48,tippers,1,NOUN,0.0
47,guests,1,NOUN,0.0
37,tips,1,NOUN,0.0
71,fights,1,NOUN,0.0
22,jobs,1,NOUN,0.0
21,rate,1,NOUN,0.0
15,refuse,1,NOUN,0.0
14,inapropriate,1,NOUN,0.0
12,page,1,NOUN,0.0
8,attitudes,1,NOUN,0.0
64,unorganized,1,NOUN,0.0
73,house,1,NOUN,0.0
129,communication,1,NOUN,0.0
1,attitude,1,NOUN,0.0
120,location,1,NOUN,0.0
116,hour,1,NOUN,0.0
115,power,1,NOUN,0.0
113,period,1,NOUN,0.0
108,job,1,NOUN,0.0
107,liking,1,NOUN,0.0
94,clients,1,NOUN,0.0
76,restaurant,1,NOUN,0.0
90,deal,1,NOUN,0.0
88,customers,1,NOUN,0.0
87,positions,1,NOUN,0.0
82,micromanagement,1,NOUN,0.0
81,load,1,NOUN,0.0
77,downfalls,1,NOUN,0.0
213,person,1,NOUN,0.0
