,name,count,pos,norm
189,work life,7,,0.9999999999999999
190,life balance,6,,0.8333333333333334
33,long hours,5,,0.6666666666666666
90,hard work,4,,0.5
165,food running,3,,0.33333333333333337
482,low pay,3,,0.33333333333333337
23,hard get,3,,0.33333333333333337
772,work hard,3,,0.33333333333333337
759,poor management,2,,0.16666666666666666
34,hours sometimes,2,,0.16666666666666666
79,typical restaurant,2,,0.16666666666666666
626,focus focus,2,,0.16666666666666666
247,5 work,2,,0.16666666666666666
41,sometimes get,2,,0.16666666666666666
1150,hard move,2,,0.16666666666666666
330,two weeks,2,,0.16666666666666666
331,weeks working,2,,0.16666666666666666
1031,hours hard,2,,0.16666666666666666
1064,slow season,2,,0.16666666666666666
96,management know,2,,0.16666666666666666
1507,team members,2,,0.16666666666666666
51,training done,2,,0.16666666666666666
1037,huge menu,2,,0.16666666666666666
751,job also,2,,0.16666666666666666
460,ticket times,2,,0.16666666666666666
1230,per week,2,,0.16666666666666666
341,food items,2,,0.16666666666666666
361,work schedule,2,,0.16666666666666666
342,items corporate,2,,0.16666666666666666
345,secret shoppers,2,,0.16666666666666666
1113,heavy plates,2,,0.16666666666666666
161,new hires,2,,0.16666666666666666
920,get close,2,,0.16666666666666666
500,fast paced,2,,0.16666666666666666
236,even though,2,,0.16666666666666666
808,host get,2,,0.16666666666666666
238,can not,2,,0.16666666666666666
140,difficult get,2,,0.16666666666666666
225,management team,2,,0.16666666666666666
784,2 years,2,,0.16666666666666666
806,short shifts,2,,0.16666666666666666
893,stressful times,2,,0.16666666666666666
390,shifts managers,2,,0.16666666666666666
389,running shifts,2,,0.16666666666666666
1059,industry benefits,1,,0.0
1080,disappointment disparity,1,,0.0
1081,disparity pay,1,,0.0
1082,pay hired,1,,0.0
1068,recieved 2,1,,0.0
1057,competively vs,1,,0.0
1058,vs industry,1,,0.0
1079,biggest disappointment,1,,0.0
1056,hourly competively,1,,0.0
1083,hired location,1,,0.0
1055,employees hourly,1,,0.0
1084,location first,1,,0.0
1054,pay employees,1,,0.0
1060,benefits non,1,,0.0
1076,straight hard,1,,0.0
1078,live biggest,1,,0.0
1072,season almost,1,,0.0
1067,hours recieved,1,,0.0
1066,close hours,1,,0.0
1053,strained pay,1,,0.0
1069,2 3,1,,0.0
1070,3 shifts,1,,0.0
1071,shifts slow,1,,0.0
1065,season get,1,,0.0
1077,hard live,1,,0.0
1073,almost three,1,,0.0
1063,horrid slow,1,,0.0
1074,three months,1,,0.0
1062,management horrid,1,,0.0
1075,months straight,1,,0.0
1061,non management,1,,0.0
0,gm attitude,1,,0.0
1042,based numbers,1,,0.0
1052,balance strained,1,,0.0
