,name,count,pos,norm
34,work,22,NOUN,0.9999999999999998
11,management,17,NOUN,0.7619047619047619
28,get,14,NOUN,0.6190476190476191
30,hours,11,NOUN,0.4761904761904761
52,times,9,NOUN,0.38095238095238093
19,schedule,8,NOUN,0.3333333333333333
64,time,8,NOUN,0.3333333333333333
310,kitchen,7,NOUN,0.2857142857142857
145,food,7,NOUN,0.2857142857142857
4,managers,7,NOUN,0.2857142857142857
133,lack,5,NOUN,0.19047619047619047
158,life,5,NOUN,0.19047619047619047
38,tips,5,NOUN,0.19047619047619047
45,employees,5,NOUN,0.19047619047619047
92,customers,5,NOUN,0.19047619047619047
159,balance,4,NOUN,0.14285714285714285
103,things,4,NOUN,0.14285714285714285
5,staff,4,NOUN,0.14285714285714285
37,pay,4,NOUN,0.14285714285714285
178,manager,4,NOUN,0.14285714285714285
166,people,4,NOUN,0.14285714285714285
114,scheduling,4,NOUN,0.14285714285714285
77,servers,3,NOUN,0.09523809523809523
160,money,3,NOUN,0.09523809523809523
404,focus,3,NOUN,0.09523809523809523
142,train,3,NOUN,0.09523809523809523
48,shift,3,NOUN,0.09523809523809523
304,problems,3,NOUN,0.09523809523809523
126,location,3,NOUN,0.09523809523809523
273,anything,3,NOUN,0.09523809523809523
90,know,3,NOUN,0.09523809523809523
108,employee,2,NOUN,0.047619047619047616
99,gratuity,2,NOUN,0.047619047619047616
110,leave,2,NOUN,0.047619047619047616
370,turn,2,NOUN,0.047619047619047616
318,ticket,2,NOUN,0.047619047619047616
208,week,2,NOUN,0.047619047619047616
381,orders,2,NOUN,0.047619047619047616
122,hour,2,NOUN,0.047619047619047616
172,part,2,NOUN,0.047619047619047616
157,coworkers,2,NOUN,0.047619047619047616
296,advancement,2,NOUN,0.047619047619047616
248,weeks,2,NOUN,0.047619047619047616
241,shifts,2,NOUN,0.047619047619047616
22,rate,2,NOUN,0.047619047619047616
416,product,2,NOUN,0.047619047619047616
32,way,2,NOUN,0.047619047619047616
40,hostess,2,NOUN,0.047619047619047616
164,items,2,NOUN,0.047619047619047616
65,teamwork,2,NOUN,0.047619047619047616
50,tippers,2,NOUN,0.047619047619047616
53,training,2,NOUN,0.047619047619047616
285,care,2,NOUN,0.047619047619047616
312,workers,2,NOUN,0.047619047619047616
321,place,2,NOUN,0.047619047619047616
71,favorites,2,NOUN,0.047619047619047616
73,lots,2,NOUN,0.047619047619047616
317,weekends,1,NOUN,0.0
323,overtime,1,NOUN,0.0
324,replacement,1,NOUN,0.0
0,gm,1,NOUN,0.0
307,issues,1,NOUN,0.0
302,meetings,1,NOUN,0.0
300,departments,1,NOUN,0.0
299,cross,1,NOUN,0.0
