,name,count,pos,norm
55,work,61,NOUN,0.5825242718446602
86,food,50,NOUN,0.4757281553398058
113,money,48,NOUN,0.45631067961165045
53,people,37,NOUN,0.3495145631067961
17,get,30,NOUN,0.2815533980582524
139,schedule,26,NOUN,0.24271844660194175
90,tips,25,NOUN,0.23300970873786406
42,job,25,NOUN,0.23300970873786406
87,time,24,NOUN,0.2233009708737864
57,hours,24,NOUN,0.2233009708737864
175,shifts,23,NOUN,0.21359223300970873
32,fun,20,NOUN,0.1844660194174757
26,shift,19,NOUN,0.17475728155339804
19,restaurant,19,NOUN,0.17475728155339804
124,coworkers,18,NOUN,0.16504854368932037
137,workers,18,NOUN,0.16504854368932037
135,co,18,NOUN,0.16504854368932037
37,environment,17,NOUN,0.1553398058252427
96,place,16,NOUN,0.14563106796116504
69,company,16,NOUN,0.14563106796116504
211,managers,16,NOUN,0.14563106796116504
30,opportunity,14,NOUN,0.1262135922330097
206,pay,13,NOUN,0.11650485436893204
328,servers,12,NOUN,0.10679611650485436
221,scheduling,12,NOUN,0.10679611650485436
83,management,11,NOUN,0.0970873786407767
306,staff,10,NOUN,0.08737864077669902
503,server,10,NOUN,0.08737864077669902
317,atmosphere,10,NOUN,0.08737864077669902
256,bj,10,NOUN,0.08737864077669902
141,meals,9,NOUN,0.07766990291262135
279,beer,9,NOUN,0.07766990291262135
189,schedules,9,NOUN,0.07766990291262135
74,move,9,NOUN,0.07766990291262135
23,meal,9,NOUN,0.07766990291262135
93,employees,8,NOUN,0.06796116504854369
514,experience,8,NOUN,0.06796116504854369
640,guests,8,NOUN,0.06796116504854369
193,hotschedules,8,NOUN,0.06796116504854369
138,cash,8,NOUN,0.06796116504854369
219,friends,8,NOUN,0.06796116504854369
118,employee,8,NOUN,0.06796116504854369
250,pick,7,NOUN,0.05825242718446602
186,manager,7,NOUN,0.05825242718446602
216,benefits,7,NOUN,0.05825242718446602
123,lot,7,NOUN,0.05825242718446602
8,part,7,NOUN,0.05825242718446602
428,school,6,NOUN,0.04854368932038834
375,discount,6,NOUN,0.04854368932038834
367,lots,6,NOUN,0.04854368932038834
459,kitchen,6,NOUN,0.04854368932038834
303,locations,6,NOUN,0.04854368932038834
213,use,6,NOUN,0.04854368932038834
538,love,6,NOUN,0.04854368932038834
351,way,6,NOUN,0.04854368932038834
10,family,6,NOUN,0.04854368932038834
246,days,6,NOUN,0.04854368932038834
355,members,6,NOUN,0.04854368932038834
354,team,6,NOUN,0.04854368932038834
12,training,5,NOUN,0.038834951456310676
301,transfer,5,NOUN,0.038834951456310676
287,volume,5,NOUN,0.038834951456310676
480,pros,5,NOUN,0.038834951456310676
340,opportunities,5,NOUN,0.038834951456310676
541,go,5,NOUN,0.038834951456310676
249,system,5,NOUN,0.038834951456310676
308,advancement,5,NOUN,0.038834951456310676
48,day,5,NOUN,0.038834951456310676
66,thing,4,NOUN,0.029126213592233007
79,years,4,NOUN,0.029126213592233007
169,advance,4,NOUN,0.029126213592233007
387,year,4,NOUN,0.029126213592233007
401,ability,4,NOUN,0.029126213592233007
413,reason,4,NOUN,0.029126213592233007
395,sales,4,NOUN,0.029126213592233007
288,discounts,4,NOUN,0.029126213592233007
119,half,4,NOUN,0.029126213592233007
262,flexibility,4,NOUN,0.029126213592233007
115,non,4,NOUN,0.029126213592233007
155,location,4,NOUN,0.029126213592233007
598,customers,4,NOUN,0.029126213592233007
536,beers,4,NOUN,0.029126213592233007
143,hosts,4,NOUN,0.029126213592233007
521,customer,4,NOUN,0.029126213592233007
338,cooking,3,NOUN,0.019417475728155338
353,camaraderie,3,NOUN,0.019417475728155338
365,jobs,3,NOUN,0.019417475728155338
379,promotion,3,NOUN,0.019417475728155338
728,sense,3,NOUN,0.019417475728155338
562,tables,3,NOUN,0.019417475728155338
260,potential,3,NOUN,0.019417475728155338
258,area,3,NOUN,0.019417475728155338
235,music,3,NOUN,0.019417475728155338
324,right,3,NOUN,0.019417475728155338
464,service,3,NOUN,0.019417475728155338
173,need,3,NOUN,0.019417475728155338
131,host,3,NOUN,0.019417475728155338
149,student,3,NOUN,0.019417475728155338
151,something,3,NOUN,0.019417475728155338
98,learning,3,NOUN,0.019417475728155338
59,life,3,NOUN,0.019417475728155338
111,room,3,NOUN,0.019417475728155338
31,growth,3,NOUN,0.019417475728155338
182,closing,3,NOUN,0.019417475728155338
422,night,3,NOUN,0.019417475728155338
408,swap,3,NOUN,0.019417475728155338
505,bartender,3,NOUN,0.019417475728155338
571,menu,2,NOUN,0.009708737864077669
510,systems,2,NOUN,0.009708737864077669
513,culture,2,NOUN,0.009708737864077669
468,hostess,2,NOUN,0.009708737864077669
487,sidework,2,NOUN,0.009708737864077669
478,events,2,NOUN,0.009708737864077669
568,things,2,NOUN,0.009708737864077669
475,help,2,NOUN,0.009708737864077669
348,evening,2,NOUN,0.009708737864077669
343,restaurants,2,NOUN,0.009708737864077669
831,angeles,2,NOUN,0.009708737864077669
467,release,2,NOUN,0.009708737864077669
528,perks,2,NOUN,0.009708737864077669
741,switch,2,NOUN,0.009708737864077669
531,regulars,2,NOUN,0.009708737864077669
450,store,2,NOUN,0.009708737864077669
446,incentives,2,NOUN,0.009708737864077669
445,policy,2,NOUN,0.009708737864077669
560,week,2,NOUN,0.009708737864077669
377,bonus,2,NOUN,0.009708737864077669
576,min,2,NOUN,0.009708737864077669
534,face,2,NOUN,0.009708737864077669
816,bar,2,NOUN,0.009708737864077669
844,guy,2,NOUN,0.009708737864077669
556,everyone,2,NOUN,0.009708737864077669
747,average,2,NOUN,0.009708737864077669
444,door,2,NOUN,0.009708737864077669
483,concept,2,NOUN,0.009708737864077669
205,everything,2,NOUN,0.009708737864077669
160,hour,2,NOUN,0.009708737864077669
237,parties,2,NOUN,0.009708737864077669
234,season,2,NOUN,0.009708737864077669
233,football,2,NOUN,0.009708737864077669
215,consistency,2,NOUN,0.009708737864077669
314,bonuses,2,NOUN,0.009708737864077669
201,cover,2,NOUN,0.009708737864077669
704,ranks,2,NOUN,0.009708737864077669
163,let,2,NOUN,0.009708737864077669
162,vacation,2,NOUN,0.009708737864077669
158,san,2,NOUN,0.009708737864077669
247,online,2,NOUN,0.009708737864077669
148,someone,2,NOUN,0.009708737864077669
632,take,2,NOUN,0.009708737864077669
695,income,2,NOUN,0.009708737864077669
126,dress,2,NOUN,0.009708737864077669
104,conversation,2,NOUN,0.009708737864077669
100,execute,2,NOUN,0.009708737864077669
71,product,2,NOUN,0.009708737864077669
58,balance,2,NOUN,0.009708737864077669
47,end,2,NOUN,0.009708737864077669
240,weekends,2,NOUN,0.009708737864077669
506,hostesses,2,NOUN,0.009708737864077669
589,side,2,NOUN,0.009708737864077669
297,vision,2,NOUN,0.009708737864077669
266,ex,2,NOUN,0.009708737864077669
577,wage,2,NOUN,0.009708737864077669
299,level,2,NOUN,0.009708737864077669
591,pace,2,NOUN,0.009708737864077669
601,college,2,NOUN,0.009708737864077669
600,friendships,2,NOUN,0.009708737864077669
580,trainer,2,NOUN,0.009708737864077669
592,takeout,2,NOUN,0.009708737864077669
690,satisfaction,1,NOUN,0.0
725,register,1,NOUN,0.0
729,urgency,1,NOUN,0.0
758,coupon,1,NOUN,0.0
692,severs,1,NOUN,0.0
715,cooler,1,NOUN,0.0
689,teamwork,1,NOUN,0.0
733,alot,1,NOUN,0.0
761,fly,1,NOUN,0.0
730,toes,1,NOUN,0.0
