,name,count,pos,norm
55,work,58,NOUN,0.57
86,food,50,NOUN,0.49
113,money,47,NOUN,0.46
53,people,37,NOUN,0.36
17,get,28,NOUN,0.27
42,job,25,NOUN,0.24
138,schedule,25,NOUN,0.24
90,tips,24,NOUN,0.22999999999999998
57,hours,24,NOUN,0.22999999999999998
174,shifts,23,NOUN,0.22
87,time,22,NOUN,0.21
26,shift,19,NOUN,0.18
32,fun,19,NOUN,0.18
136,workers,18,NOUN,0.16999999999999998
134,co,18,NOUN,0.16999999999999998
37,environment,17,NOUN,0.16
19,restaurant,17,NOUN,0.16
124,coworkers,17,NOUN,0.16
210,managers,16,NOUN,0.15
96,place,15,NOUN,0.13999999999999999
69,company,15,NOUN,0.13999999999999999
30,opportunity,14,NOUN,0.13
205,pay,13,NOUN,0.12000000000000001
327,servers,12,NOUN,0.11
220,scheduling,12,NOUN,0.11
83,management,11,NOUN,0.1
255,bj,10,NOUN,0.09000000000000001
305,staff,9,NOUN,0.08
74,move,9,NOUN,0.08
278,beer,9,NOUN,0.08
501,server,9,NOUN,0.08
23,meal,9,NOUN,0.08
316,atmosphere,9,NOUN,0.08
188,schedules,9,NOUN,0.08
137,cash,8,NOUN,0.07
218,friends,8,NOUN,0.07
118,employee,8,NOUN,0.07
512,experience,8,NOUN,0.07
93,employees,8,NOUN,0.07
637,guests,8,NOUN,0.07
249,pick,7,NOUN,0.060000000000000005
185,manager,7,NOUN,0.060000000000000005
192,hotschedules,7,NOUN,0.060000000000000005
123,lot,7,NOUN,0.060000000000000005
140,meals,7,NOUN,0.060000000000000005
215,benefits,7,NOUN,0.060000000000000005
374,discount,6,NOUN,0.049999999999999996
350,way,6,NOUN,0.049999999999999996
353,team,6,NOUN,0.049999999999999996
354,members,6,NOUN,0.049999999999999996
366,lots,6,NOUN,0.049999999999999996
212,use,6,NOUN,0.049999999999999996
427,school,6,NOUN,0.049999999999999996
457,kitchen,6,NOUN,0.049999999999999996
245,days,6,NOUN,0.049999999999999996
8,part,6,NOUN,0.049999999999999996
536,love,6,NOUN,0.049999999999999996
307,advancement,5,NOUN,0.04
302,locations,5,NOUN,0.04
248,system,5,NOUN,0.04
300,transfer,5,NOUN,0.04
286,volume,5,NOUN,0.04
478,pros,5,NOUN,0.04
339,opportunities,5,NOUN,0.04
10,family,5,NOUN,0.04
12,training,5,NOUN,0.04
66,thing,4,NOUN,0.03
48,day,4,NOUN,0.03
412,reason,4,NOUN,0.03
386,year,4,NOUN,0.03
287,discounts,4,NOUN,0.03
119,half,4,NOUN,0.03
79,years,4,NOUN,0.03
154,location,4,NOUN,0.03
400,ability,4,NOUN,0.03
534,beers,4,NOUN,0.03
115,non,4,NOUN,0.03
261,flexibility,4,NOUN,0.03
168,advance,4,NOUN,0.03
519,customer,4,NOUN,0.03
407,swap,3,NOUN,0.019999999999999997
421,night,3,NOUN,0.019999999999999997
259,potential,3,NOUN,0.019999999999999997
98,learning,3,NOUN,0.019999999999999997
257,area,3,NOUN,0.019999999999999997
394,sales,3,NOUN,0.019999999999999997
378,promotion,3,NOUN,0.019999999999999997
