,name,count,pos,norm
26,paced environment,3,,1.0
25,fast paced,3,,1.0
81,free food,3,,1.0
116,good money,3,,1.0
43,flexible hours,3,,1.0
236,hot schedules,2,,0.5
41,people work,2,,0.5
121,tipped employee,2,,0.5
29,easy job,2,,0.5
120,non tipped,2,,0.5
246,friends working,2,,0.5
24,fun fast,2,,0.5
118,get free,2,,0.5
19,every shift,2,,0.5
18,meal every,2,,0.5
17,free meal,2,,0.5
89,decent food,2,,0.5
141,free meals,2,,0.5
90,food good,2,,0.5
237,schedules great,2,,0.5
267,make good,2,,0.5
139,flexible schedule,2,,0.5
244,made awesome,1,,0.0
238,great pay,1,,0.0
248,environment flexible,1,,0.0
247,working fun,1,,0.0
239,pay consistency,1,,0.0
250,scheduling nice,1,,0.0
240,consistency schedule,1,,0.0
241,schedule great,1,,0.0
245,awesome friends,1,,0.0
242,great benefits,1,,0.0
243,benefits made,1,,0.0
249,flexible scheduling,1,,0.0
0,gm great,1,,0.0
251,nice good,1,,0.0
261,work often,1,,0.0
269,football season,1,,0.0
268,money football,1,,0.0
266,around make,1,,0.0
265,cool around,1,,0.0
264,nice cool,1,,0.0
263,really nice,1,,0.0
262,often really,1,,0.0
260,pocket people,1,,0.0
252,good work,1,,0.0
259,money pocket,1,,0.0
258,leave money,1,,0.0
257,always leave,1,,0.0
256,almost always,1,,0.0
235,use hot,1,,0.0
254,serving job,1,,0.0
253,work serving,1,,0.0
255,job almost,1,,0.0
230,quick cash,1,,0.0
234,hours use,1,,0.0
211,cover shift,1,,0.0
209,find people,1,,0.0
208,place find,1,,0.0
207,app place,1,,0.0
206,also app,1,,0.0
205,hotschedules also,1,,0.0
204,called hotschedules,1,,0.0
203,site called,1,,0.0
202,hosted site,1,,0.0
201,schedules hosted,1,,0.0
200,shifts schedules,1,,0.0
199,double shifts,1,,0.0
198,work double,1,,0.0
197,though work,1,,0.0
196,manager though,1,,0.0
195,ask manager,1,,0.0
194,sometimes ask,1,,0.0
193,closing sometimes,1,,0.0
192,unless closing,1,,0.0
191,hours unless,1,,0.0
210,people cover,1,,0.0
212,shift restaurant,1,,0.0
233,cool flexible,1,,0.0
213,restaurant allowed,1,,0.0
232,managers cool,1,,0.0
231,cash managers,1,,0.0
271,awesome coworkers,1,,0.0
229,supervisors quick,1,,0.0
228,chill supervisors,1,,0.0
227,environment chill,1,,0.0
226,fun environment,1,,0.0
225,pay fun,1,,0.0
224,decent pay,1,,0.0
223,hours decent,1,,0.0
222,great hours,1,,0.0
221,everything great,1,,0.0
220,almost everything,1,,0.0
219,faces almost,1,,0.0
218,friendly faces,1,,0.0
217,environment friendly,1,,0.0
216,great environment,1,,0.0
215,food great,1,,0.0
214,allowed free,1,,0.0
270,season awesome,1,,0.0
278,good place,1,,0.0
272,coworkers good,1,,0.0
273,good food,1,,0.0
336,time ish,1,,0.0
335,flexibility time,1,,0.0
334,money flexibility,1,,0.0
333,potential make,1,,0.0
332,food potential,1,,0.0
331,family decent,1,,0.0
330,become family,1,,0.0
329,coworkers become,1,,0.0
328,great coworkers,1,,0.0
327,working great,1,,0.0
326,half working,1,,0.0
325,get half,1,,0.0
324,good get,1,,0.0
323,always good,1,,0.0
322,food always,1,,0.0
321,area food,1,,0.0
320,bj area,1,,0.0
319,fastes bj,1,,0.0
318,known fastes,1,,0.0
337,ish decent,1,,0.0
338,decent managers,1,,0.0
339,managers depending,1,,0.0
350,seniority possibly,1,,0.0
358,number people,1,,0.0
357,certain number,1,,0.0
356,allow certain,1,,0.0
355,heard allow,1,,0.0
354,ft heard,1,,0.0
353,work ft,1,,0.0
352,allowed work,1,,0.0
351,possibly allowed,1,,0.0
349,plano seniority,1,,0.0
340,depending fast,1,,0.0
348,makes plano,1,,0.0
347,allen makes,1,,0.0
346,ex allen,1,,0.0
345,location ex,1,,0.0
344,depending location,1,,0.0
343,money depending,1,,0.0
342,decent money,1,,0.0
341,fast decent,1,,0.0
317,lewisville known,1,,0.0
316,good lewisville,1,,0.0
315,fast good,1,,0.0
283,good tips,1,,0.0
291,back environment,1,,0.0
290,laid back,1,,0.0
289,weekends laid,1,,0.0
288,work weekends,1,,0.0
287,required work,1,,0.0
286,schedule required,1,,0.0
285,hours schedule,1,,0.0
284,tips flexible,1,,0.0
282,usually good,1,,0.0
293,meals hourly,1,,0.0
281,parties usually,1,,0.0
280,large parties,1,,0.0
279,place large,1,,0.0
189,4 5,1,,0.0
277,working good,1,,0.0
276,made friends,1,,0.0
275,music made,1,,0.0
274,good music,1,,0.0
292,environment free,1,,0.0
294,hourly employees,1,,0.0
314,money fast,1,,0.0
305,shift non,1,,0.0
313,shifts money,1,,0.0
312,pick shifts,1,,0.0
311,easy pick,1,,0.0
310,system easy,1,,0.0
309,scheduling system,1,,0.0
308,online scheduling,1,,0.0
307,easy online,1,,0.0
306,employee easy,1,,0.0
304,working get,1,,0.0
295,employees easy,1,,0.0
303,days working,1,,0.0
302,know days,1,,0.0
301,great know,1,,0.0
300,people hot,1,,0.0
299,new people,1,,0.0
298,meet new,1,,0.0
297,get meet,1,,0.0
296,job get,1,,0.0
190,5 hours,1,,0.0
180,holiday halloween,1,,0.0
188,short 4,1,,0.0
63,care move,1,,0.0
71,really enjoyed,1,,0.0
70,worked really,1,,0.0
69,ago worked,1,,0.0
68,years ago,1,,0.0
67,2 years,1,,0.0
66,positions 2,1,,0.0
65,key positions,1,,0.0
64,move key,1,,0.0
62,takes care,1,,0.0
52,cant think,1,,0.0
61,product takes,1,,0.0
60,good product,1,,0.0
59,company good,1,,0.0
58,corporate company,1,,0.0
57,say corporate,1,,0.0
56,thing say,1,,0.0
55,positive thing,1,,0.0
54,one positive,1,,0.0
72,enjoyed good,1,,0.0
73,good management,1,,0.0
74,management colleagues,1,,0.0
75,colleagues say,1,,0.0
95,place good,1,,0.0
94,popular place,1,,0.0
93,friendly popular,1,,0.0
92,employees friendly,1,,0.0
91,good employees,1,,0.0
88,tips decent,1,,0.0
87,difficult tips,1,,0.0
86,job difficult,1,,0.0
85,fast job,1,,0.0
84,goes fast,1,,0.0
83,time goes,1,,0.0
82,food time,1,,0.0
80,move free,1,,0.0
79,opportunity move,1,,0.0
78,great opportunity,1,,0.0
77,anymore great,1,,0.0
76,say anymore,1,,0.0
53,think one,1,,0.0
51,honestly cant,1,,0.0
187,relatively short,1,,0.0
11,trainers really,1,,0.0
22,opportunity growth,1,,0.0
21,good opportunity,1,,0.0
20,shift good,1,,0.0
16,opens free,1,,0.0
15,restaurant opens,1,,0.0
14,feet restaurant,1,,0.0
13,get feet,1,,0.0
12,really get,1,,0.0
10,training trainers,1,,0.0
50,life honestly,1,,0.0
9,detailed training,1,,0.0
8,family detailed,1,,0.0
7,part family,1,,0.0
6,like part,1,,0.0
5,feels like,1,,0.0
4,respectful feels,1,,0.0
3,firm respectful,1,,0.0
2,personable firm,1,,0.0
23,growth fun,1,,0.0
27,environment super,1,,0.0
28,super easy,1,,0.0
30,job much,1,,0.0
49,personal life,1,,0.0
