,name,count,pos,norm
274,make good money,4,,1.0
17,free meal every,4,,1.0
25,fast paced environment,4,,1.0
18,meal every shift,4,,1.0
319,get free meal,3,,0.6666666666666667
136,great co workers,3,,0.6666666666666667
122,non tipped employee,3,,0.6666666666666667
529,fast paced great,2,,0.3333333333333333
241,hot schedules great,2,,0.3333333333333333
42,work flexible hours,2,,0.3333333333333333
1620,flexible hours flexible,2,,0.3333333333333333
311,meet new people,2,,0.3333333333333333
809,good money great,2,,0.3333333333333333
294,tips flexible hours,2,,0.3333333333333333
1369,want take years,2,,0.3333333333333333
1370,take years takes,2,,0.3333333333333333
1371,years takes work,2,,0.3333333333333333
1372,takes work way,2,,0.3333333333333333
863,fun environment easy,2,,0.3333333333333333
461,food always busy,2,,0.3333333333333333
24,fun fast paced,2,,0.3333333333333333
460,free food always,2,,0.3333333333333333
984,great place work,2,,0.3333333333333333
443,co workers awesome,2,,0.3333333333333333
281,good food good,2,,0.3333333333333333
447,one free meal,2,,0.3333333333333333
448,free meal per,2,,0.3333333333333333
866,job flexible schedule,2,,0.3333333333333333
568,easy get along,2,,0.3333333333333333
1027,good environment work,2,,0.3333333333333333
1149,flexible hours free,1,,0.0
1148,company flexible hours,1,,0.0
1147,move company flexible,1,,0.0
1146,easily move company,1,,0.0
1138,love beer extensive,1,,0.0
1145,place easily move,1,,0.0
1144,bjs place easily,1,,0.0
1143,environment bjs place,1,,0.0
1140,extensive menu fast,1,,0.0
1141,menu fast paced,1,,0.0
1133,things positive energy,1,,0.0
1142,paced environment bjs,1,,0.0
1139,beer extensive menu,1,,0.0
1135,energy good money,1,,0.0
1136,good money love,1,,0.0
1137,money love beer,1,,0.0
1134,positive energy good,1,,0.0
1081,working bj make,1,,0.0
1150,hours free employee,1,,0.0
1161,good easy job,1,,0.0
1169,large group friendly,1,,0.0
1168,tips large group,1,,0.0
1167,plus tips large,1,,0.0
1166,hourly plus tips,1,,0.0
1165,wage hourly plus,1,,0.0
1164,min wage hourly,1,,0.0
1079,thing say working,1,,0.0
1163,job min wage,1,,0.0
1162,easy job min,1,,0.0
1160,money good easy,1,,0.0
1151,free employee meal,1,,0.0
1159,contests money good,1,,0.0
1158,incentives contests money,1,,0.0
1157,fun incentives contests,1,,0.0
1156,good fun incentives,1,,0.0
1131,learn new things,1,,0.0
1155,atmosphere good fun,1,,0.0
1154,fun atmosphere good,1,,0.0
1153,meal fun atmosphere,1,,0.0
1152,employee meal fun,1,,0.0
1132,new things positive,1,,0.0
1126,move company fast,1,,0.0
1130,way learn new,1,,0.0
1093,hiring 80 servers,1,,0.0
1103,serving shifts week,1,,0.0
1102,2 serving shifts,1,,0.0
1101,got 2 serving,1,,0.0
1100,lucky got 2,1,,0.0
1099,shifts lucky got,1,,0.0
1098,fighting shifts lucky,1,,0.0
1097,always fighting shifts,1,,0.0
1096,everyone always fighting,1,,0.0
1095,servers everyone always,1,,0.0
1094,80 servers everyone,1,,0.0
1080,say working bj,1,,0.0
1105,week even would,1,,0.0
1092,ended hiring 80,1,,0.0
1091,city ended hiring,1,,0.0
1090,opened city ended,1,,0.0
1089,restaurant opened city,1,,0.0
1088,new restaurant opened,1,,0.0
1087,hire new restaurant,1,,0.0
1086,completely hire new,1,,0.0
1085,friends completely hire,1,,0.0
1084,lot friends completely,1,,0.0
1083,make lot friends,1,,0.0
1104,shifts week even,1,,0.0
1106,even would get,1,,0.0
1129,great way learn,1,,0.0
1119,smaller sections best,1,,0.0
1128,paced great way,1,,0.0
1127,company fast paced,1,,0.0
1082,bj make lot,1,,0.0
1125,way move company,1,,0.0
1124,great way move,1,,0.0
1170,group friendly staff,1,,0.0
1123,cocktail great way,1,,0.0
1122,work cocktail great,1,,0.0
1121,best work cocktail,1,,0.0
1120,sections best work,1,,0.0
1118,got smaller sections,1,,0.0
1107,would get 4,1,,0.0
1117,servers got smaller,1,,0.0
1116,weaker servers got,1,,0.0
1115,servers weaker servers,1,,0.0
1114,stronger servers weaker,1,,0.0
1113,money stronger servers,1,,0.0
1112,good money stronger,1,,0.0
1111,tables good money,1,,0.0
1110,5 tables good,1,,0.0
1109,4 5 tables,1,,0.0
1108,get 4 5,1,,0.0
0,gm great personable,1,,0.0
1179,flexible schedule schooling,1,,0.0
1171,friendly staff members,1,,0.0
1235,shift hot schedules,1,,0.0
1245,pretty decent work,1,,0.0
1244,management pretty decent,1,,0.0
1243,seamless management pretty,1,,0.0
1242,shifts seamless management,1,,0.0
1241,work shifts seamless,1,,0.0
1240,dropping work shifts,1,,0.0
1239,picking dropping work,1,,0.0
1238,makes picking dropping,1,,0.0
1237,schedules makes picking,1,,0.0
1236,hot schedules makes,1,,0.0
1234,per shift hot,1,,0.0
1247,work easy flexible,1,,0.0
1233,meal per shift,1,,0.0
1232,receive one free,1,,0.0
1231,takeout receive one,1,,0.0
1230,time takeout receive,1,,0.0
1229,great time takeout,1,,0.0
1228,pace great time,1,,0.0
1227,fast pace great,1,,0.0
1226,enviroment fast pace,1,,0.0
1225,fun enviroment fast,1,,0.0
1224,cash fun enviroment,1,,0.0
1246,decent work easy,1,,0.0
1248,easy flexible hours,1,,0.0
1172,staff members staff,1,,0.0
1261,okay customers employees,1,,0.0
1271,college student good,1,,0.0
1270,pay college student,1,,0.0
1269,good pay college,1,,0.0
1268,everyone good pay,1,,0.0
1267,friendships everyone good,1,,0.0
1266,great friendships everyone,1,,0.0
1265,build great friendships,1,,0.0
1264,great build great,1,,0.0
1263,employees great build,1,,0.0
1262,customers employees great,1,,0.0
1260,tips okay customers,1,,0.0
1249,flexible hours tips,1,,0.0
