,name,count,pos,norm
139,flexible schedule,6,,1.0000000000000002
116,good money,5,,0.8
25,fast paced,4,,0.6000000000000001
81,free food,4,,0.6000000000000001
141,free meals,4,,0.6000000000000001
135,co workers,4,,0.6000000000000001
43,flexible hours,3,,0.4000000000000001
41,people work,3,,0.4000000000000001
26,paced environment,3,,0.4000000000000001
90,food good,3,,0.4000000000000001
273,good food,3,,0.4000000000000001
17,free meal,3,,0.4000000000000001
144,good hours,2,,0.2
215,food great,2,,0.2
284,tips flexible,2,,0.2
283,good tips,2,,0.2
95,place good,2,,0.2
529,fun work,2,,0.2
396,great people,2,,0.2
254,serving job,2,,0.2
411,good flexible,2,,0.2
477,pretty easy,2,,0.2
267,make good,2,,0.2
118,get free,2,,0.2
486,great food,2,,0.2
120,non tipped,2,,0.2
121,tipped employee,2,,0.2
246,friends working,2,,0.2
29,easy job,2,,0.2
89,decent food,2,,0.2
19,every shift,2,,0.2
237,schedules great,2,,0.2
238,great pay,2,,0.2
434,work place,2,,0.2
18,meal every,2,,0.2
236,hot schedules,2,,0.2
322,food always,2,,0.2
379,good people,2,,0.2
20,shift good,2,,0.2
386,always busy,2,,0.2
24,fun fast,2,,0.2
387,busy employee,1,,0.0
402,matter vision,1,,0.0
388,employee discounts,1,,0.0
389,discounts discounted,1,,0.0
385,hours always,1,,0.0
404,great director,1,,0.0
400,awesome craft,1,,0.0
401,craft matter,1,,0.0
395,met great,1,,0.0
390,discounted food,1,,0.0
391,good ppa,1,,0.0
399,statement awesome,1,,0.0
398,mission statement,1,,0.0
397,people mission,1,,0.0
392,ppa therefore,1,,0.0
393,therefore tips,1,,0.0
394,schedule met,1,,0.0
403,vision great,1,,0.0
0,gm great,1,,0.0
405,director level,1,,0.0
406,level gm,1,,0.0
426,friendly staff,1,,0.0
427,staff good,1,,0.0
428,food free,1,,0.0
429,busy food,1,,0.0
430,food beer,1,,0.0
431,beer good,1,,0.0
432,tips challenging,1,,0.0
433,challenging work,1,,0.0
435,money made,1,,0.0
436,made opportunity,1,,0.0
437,opportunity advancement,1,,0.0
438,advancement reward,1,,0.0
439,reward recognition,1,,0.0
440,recognition green,1,,0.0
441,green aprons,1,,0.0
425,schedule friendly,1,,0.0
424,shift flexible,1,,0.0
423,hour shift,1,,0.0
414,transfer locations,1,,0.0
407,gm level,1,,0.0
408,level cover,1,,0.0
409,cover look,1,,0.0
410,look good,1,,0.0
412,schedule easy,1,,0.0
384,volume good,1,,0.0
415,locations co,1,,0.0
422,8 hour,1,,0.0
416,workers awesome,1,,0.0
417,awesome employees,1,,0.0
418,employees one,1,,0.0
419,one free,1,,0.0
420,meal per,1,,0.0
421,per 8,1,,0.0
413,easy transfer,1,,0.0
376,money 50,1,,0.0
383,think volume,1,,0.0
338,decent managers,1,,0.0
332,food potential,1,,0.0
333,potential make,1,,0.0
334,money flexibility,1,,0.0
335,flexibility time,1,,0.0
336,time ish,1,,0.0
337,ish decent,1,,0.0
339,managers depending,1,,0.0
330,become family,1,,0.0
340,depending fast,1,,0.0
341,fast decent,1,,0.0
342,decent money,1,,0.0
343,money depending,1,,0.0
344,depending location,1,,0.0
345,location ex,1,,0.0
331,family decent,1,,0.0
329,coworkers become,1,,0.0
382,people think,1,,0.0
319,fastes bj,1,,0.0
313,shifts money,1,,0.0
314,money fast,1,,0.0
315,fast good,1,,0.0
316,good lewisville,1,,0.0
317,lewisville known,1,,0.0
318,known fastes,1,,0.0
320,bj area,1,,0.0
328,great coworkers,1,,0.0
321,area food,1,,0.0
323,always good,1,,0.0
324,good get,1,,0.0
325,get half,1,,0.0
326,half working,1,,0.0
327,working great,1,,0.0
346,ex allen,1,,0.0
347,allen makes,1,,0.0
348,makes plano,1,,0.0
373,like serving,1,,0.0
367,phenomenal managers,1,,0.0
368,managers cared,1,,0.0
369,cared would,1,,0.0
370,would bend,1,,0.0
371,bend backwards,1,,0.0
372,backwards like,1,,0.0
374,job easy,1,,0.0
349,plano seniority,1,,0.0
375,easy money,1,,0.0
443,pins bonuses,1,,0.0
377,50 food,1,,0.0
378,food shift,1,,0.0
380,work crazy,1,,0.0
381,crazy people,1,,0.0
366,education phenomenal,1,,0.0
365,beer education,1,,0.0
364,depth beer,1,,0.0
363,good depth,1,,0.0
362,pretty good,1,,0.0
361,money pretty,1,,0.0
360,benefits money,1,,0.0
359,people benefits,1,,0.0
358,number people,1,,0.0
357,certain number,1,,0.0
356,allow certain,1,,0.0
355,heard allow,1,,0.0
354,ft heard,1,,0.0
353,work ft,1,,0.0
352,allowed work,1,,0.0
351,possibly allowed,1,,0.0
350,seniority possibly,1,,0.0
442,aprons pins,1,,0.0
456,know e,1,,0.0
444,bonuses plus,1,,0.0
544,servers moving,1,,0.0
538,place great,1,,0.0
539,food lots,1,,0.0
540,lots opportunity,1,,0.0
541,opportunity money,1,,0.0
542,money decent,1,,0.0
543,decent servers,1,,0.0
545,moving pretty,1,,0.0
536,great teammates,1,,0.0
546,easy restaurant,1,,0.0
547,restaurant well,1,,0.0
548,well kept,1,,0.0
549,kept discount,1,,0.0
550,discount good,1,,0.0
551,flexible good,1,,0.0
537,teammates fun,1,,0.0
535,jobs great,1,,0.0
553,salary bonus,1,,0.0
525,people made,1,,0.0
519,really cool,1,,0.0
520,cool easy,1,,0.0
521,easy get,1,,0.0
522,get along,1,,0.0
523,along worked,1,,0.0
524,worked great,1,,0.0
526,made good,1,,0.0
534,qualified jobs,1,,0.0
527,money los,1,,0.0
528,los fun,1,,0.0
530,work managers,1,,0.0
531,managers servers,1,,0.0
532,servers nice,1,,0.0
533,nice qualified,1,,0.0
552,good salary,1,,0.0
554,bonus potential,1,,0.0
445,plus free,1,,0.0
580,course last,1,,0.0
574,gm heavy,1,,0.0
575,heavy accolades,1,,0.0
576,accolades driving,1,,0.0
577,driving sales,1,,0.0
578,sales profits,1,,0.0
579,profits course,1,,0.0
581,last year,1,,0.0
572,upon becoming,1,,0.0
582,year public,1,,0.0
583,public company,1,,0.0
584,company also,1,,0.0
585,also goals,1,,0.0
586,goals ability,1,,0.0
587,ability create,1,,0.0
573,becoming gm,1,,0.0
571,time upon,1,,0.0
555,potential opportunity,1,,0.0
562,oriented committed,1,,0.0
556,opportunity quick,1,,0.0
557,quick rapid,1,,0.0
558,rapid promotion,1,,0.0
559,promotion aggressive,1,,0.0
560,aggressive result,1,,0.0
561,result oriented,1,,0.0
563,committed able,1,,0.0
570,vest time,1,,0.0
564,able 50,1,,0.0
565,50 000,1,,0.0
566,000 stock,1,,0.0
567,stock 5,1,,0.0
568,5 year,1,,0.0
569,year vest,1,,0.0
518,people really,1,,0.0
517,lifestyles people,1,,0.0
516,various lifestyles,1,,0.0
