,name,count,pos,norm
375,good money,16,,1.0
189,place work,12,,0.7333333333333334
412,flexible hours,12,,0.7333333333333334
217,co workers,12,,0.7333333333333334
206,fast paced,9,,0.5333333333333333
335,great money,8,,0.4666666666666667
282,flexible schedule,8,,0.4666666666666667
719,work environment,7,,0.4
72,free food,7,,0.4
312,flexible scheduling,7,,0.4
8,team members,7,,0.4
104,good people,6,,0.33333333333333337
295,great atmosphere,6,,0.33333333333333337
874,easy get,6,,0.33333333333333337
309,good food,6,,0.33333333333333337
251,great people,6,,0.33333333333333337
242,room growth,6,,0.33333333333333337
170,hard work,6,,0.33333333333333337
190,work great,5,,0.26666666666666666
88,great management,5,,0.26666666666666666
677,make good,5,,0.26666666666666666
95,good tips,5,,0.26666666666666666
583,willing work,4,,0.2
916,great job,4,,0.2
926,great food,4,,0.2
558,work hard,4,,0.2
592,fun environment,4,,0.2
413,hours management,4,,0.2
483,management team,4,,0.2
549,good management,4,,0.2
800,managers great,4,,0.2
378,great team,4,,0.2
363,great place,4,,0.2
693,people work,4,,0.2
718,great work,4,,0.2
1217,make money,4,,0.2
1088,fun work,4,,0.2
216,great co,4,,0.2
555,good hours,4,,0.2
96,tips fun,3,,0.13333333333333336
699,schedule great,3,,0.13333333333333336
617,good training,3,,0.13333333333333336
712,customer service,3,,0.13333333333333336
723,always busy,3,,0.13333333333333336
74,easy going,3,,0.13333333333333336
798,friendly staff,3,,0.13333333333333336
1071,pay good,3,,0.13333333333333336
115,management great,3,,0.13333333333333336
308,workers good,3,,0.13333333333333336
205,fun fast,3,,0.13333333333333336
207,paced good,3,,0.13333333333333336
212,great company,3,,0.13333333333333336
246,good environment,3,,0.13333333333333336
262,growth opportunities,3,,0.13333333333333336
294,busy great,3,,0.13333333333333336
305,great tips,3,,0.13333333333333336
315,easy money,3,,0.13333333333333336
481,laid back,3,,0.13333333333333336
355,make great,3,,0.13333333333333336
362,well great,3,,0.13333333333333336
373,great culture,3,,0.13333333333333336
377,food great,3,,0.13333333333333336
429,advancement opportunities,3,,0.13333333333333336
457,get good,3,,0.13333333333333336
467,fast pace,3,,0.13333333333333336
68,money good,3,,0.13333333333333336
682,minimum wage,3,,0.13333333333333336
1052,money make,3,,0.13333333333333336
6,taking care,3,,0.13333333333333336
1026,money fun,3,,0.13333333333333336
827,money great,3,,0.13333333333333336
1089,work good,3,,0.13333333333333336
1027,fun place,3,,0.13333333333333336
56,team work,3,,0.13333333333333336
1399,pretty good,3,,0.13333333333333336
811,schedule good,3,,0.13333333333333336
1218,money flexible,3,,0.13333333333333336
1417,get along,3,,0.13333333333333336
1039,serving good,2,,0.06666666666666667
1030,working bj,2,,0.06666666666666667
341,busy location,2,,0.06666666666666667
1051,work money,2,,0.06666666666666667
346,easy sidework,2,,0.06666666666666667
352,discounts food,2,,0.06666666666666667
1261,managers understanding,2,,0.06666666666666667
799,staff managers,2,,0.06666666666666667
358,food lot,2,,0.06666666666666667
1073,hours good,2,,0.06666666666666667
361,workers well,2,,0.06666666666666667
1025,shift great,2,,0.06666666666666667
1852,job good,2,,0.06666666666666667
368,like family,2,,0.06666666666666667
1270,lots room,2,,0.06666666666666667
1303,kitchen manager,2,,0.06666666666666667
1315,every shift,2,,0.06666666666666667
1316,staff great,2,,0.06666666666666667
399,location great,2,,0.06666666666666667
402,pay great,2,,0.06666666666666667
360,love co,2,,0.06666666666666667
1220,great benefits,2,,0.06666666666666667
298,good benefits,2,,0.06666666666666667
1109,nice great,2,,0.06666666666666667
187,high energy,2,,0.06666666666666667
1153,around schedule,2,,0.06666666666666667
1152,work around,2,,0.06666666666666667
1174,great staff,2,,0.06666666666666667
1131,student flexible,2,,0.06666666666666667
1130,job college,2,,0.06666666666666667
208,good place,2,,0.06666666666666667
1177,environment management,2,,0.06666666666666667
214,people great,2,,0.06666666666666667
1183,hiring within,2,,0.06666666666666667
224,training good,2,,0.06666666666666667
297,people good,2,,0.06666666666666667
1108,managers nice,2,,0.06666666666666667
1107,time managers,2,,0.06666666666666667
1097,working restaurant,2,,0.06666666666666667
253,management good,2,,0.06666666666666667
256,family environment,2,,0.06666666666666667
1934,employees easy,2,,0.06666666666666667
1087,people fun,2,,0.06666666666666667
285,decent food,2,,0.06666666666666667
289,well managers,2,,0.06666666666666667
411,management flexible,2,,0.06666666666666667
403,great coworkers,2,,0.06666666666666667
1323,growth within,2,,0.06666666666666667
969,college student,2,,0.06666666666666667
1322,also room,2,,0.06666666666666667
1613,potential make,2,,0.06666666666666667
672,money easy,2,,0.06666666666666667
673,easy job,2,,0.06666666666666667
674,job nice,2,,0.06666666666666667
1435,opportunity move,2,,0.06666666666666667
184,management cares,2,,0.06666666666666667
840,good pay,2,,0.06666666666666667
684,work way,2,,0.06666666666666667
697,lot room,2,,0.06666666666666667
838,take care,2,,0.06666666666666667
1440,good good,2,,0.06666666666666667
716,opportunity advancement,2,,0.06666666666666667
828,environment well,2,,0.06666666666666667
721,decent salary,2,,0.06666666666666667
826,coworkers good,2,,0.06666666666666667
730,nice people,2,,0.06666666666666667
1530,scheduling system,2,,0.06666666666666667
768,work worked,2,,0.06666666666666667
1454,fun staff,2,,0.06666666666666667
778,move server,2,,0.06666666666666667
782,couple months,2,,0.06666666666666667
795,ability make,2,,0.06666666666666667
1469,pick shifts,2,,0.06666666666666667
859,new restaurant,2,,0.06666666666666667
1418,along well,2,,0.06666666666666667
603,always something,2,,0.06666666666666667
1734,menu great,2,,0.06666666666666667
801,great opportunities,2,,0.06666666666666667
437,decent pay,2,,0.06666666666666667
446,friendly customers,2,,0.06666666666666667
454,money pretty,2,,0.06666666666666667
1341,within company,2,,0.06666666666666667
915,bj great,2,,0.06666666666666667
914,people bj,2,,0.06666666666666667
1373,hours easy,2,,0.06666666666666667
907,huge growth,2,,0.06666666666666667
485,easy work,2,,0.06666666666666667
515,work company,2,,0.06666666666666667
872,food shift,2,,0.06666666666666667
