,name,count,pos,norm
85,work,81,NOUN,0.7843137254901961
76,money,45,NOUN,0.4313725490196078
29,management,39,NOUN,0.3725490196078431
33,food,35,NOUN,0.3333333333333333
6,people,29,NOUN,0.2745098039215686
108,make,27,NOUN,0.2549019607843137
151,hours,27,NOUN,0.2549019607843137
68,fun,27,NOUN,0.2549019607843137
40,managers,27,NOUN,0.2549019607843137
128,team,24,NOUN,0.22549019607843138
89,environment,24,NOUN,0.22549019607843138
155,get,21,NOUN,0.19607843137254902
211,job,21,NOUN,0.19607843137254902
186,company,21,NOUN,0.19607843137254902
129,employees,19,NOUN,0.17647058823529413
26,schedule,18,NOUN,0.16666666666666666
115,place,17,NOUN,0.1568627450980392
190,staff,17,NOUN,0.1568627450980392
143,pay,15,NOUN,0.13725490196078433
58,tips,15,NOUN,0.13725490196078433
66,scheduling,15,NOUN,0.13725490196078433
167,time,15,NOUN,0.13725490196078433
88,working,14,NOUN,0.12745098039215688
117,server,14,NOUN,0.12745098039215688
355,restaurant,13,NOUN,0.11764705882352941
47,atmosphere,13,NOUN,0.11764705882352941
65,workers,13,NOUN,0.11764705882352941
183,lots,12,NOUN,0.10784313725490197
52,shift,11,NOUN,0.09803921568627452
2,growth,11,NOUN,0.09803921568627452
218,training,11,NOUN,0.09803921568627452
121,coworkers,10,NOUN,0.08823529411764705
111,lot,10,NOUN,0.08823529411764705
113,love,10,NOUN,0.08823529411764705
32,decent,10,NOUN,0.08823529411764705
3,opportunities,10,NOUN,0.08823529411764705
147,awesome,9,NOUN,0.0784313725490196
153,servers,9,NOUN,0.0784313725490196
400,shifts,9,NOUN,0.0784313725490196
234,move,9,NOUN,0.0784313725490196
10,restaurants,9,NOUN,0.0784313725490196
343,bj,9,NOUN,0.0784313725490196
332,experience,8,NOUN,0.06862745098039216
200,opportunity,8,NOUN,0.06862745098039216
320,room,8,NOUN,0.06862745098039216
5,benefits,8,NOUN,0.06862745098039216
162,advancement,7,NOUN,0.05882352941176471
240,members,7,NOUN,0.05882352941176471
98,location,7,NOUN,0.05882352941176471
86,family,7,NOUN,0.05882352941176471
380,care,7,NOUN,0.05882352941176471
55,discounts,6,NOUN,0.049019607843137254
432,college,6,NOUN,0.049019607843137254
310,host,5,NOUN,0.0392156862745098
157,discount,5,NOUN,0.0392156862745098
182,pace,5,NOUN,0.0392156862745098
272,flexibility,5,NOUN,0.0392156862745098
172,customers,5,NOUN,0.0392156862745098
386,know,5,NOUN,0.0392156862745098
296,someone,5,NOUN,0.0392156862745098
521,guest,5,NOUN,0.0392156862745098
329,customer,5,NOUN,0.0392156862745098
159,meals,5,NOUN,0.0392156862745098
370,friends,5,NOUN,0.0392156862745098
14,support,5,NOUN,0.0392156862745098
313,minimum,5,NOUN,0.0392156862745098
506,system,5,NOUN,0.0392156862745098
434,student,5,NOUN,0.0392156862745098
226,menu,5,NOUN,0.0392156862745098
330,service,5,NOUN,0.0392156862745098
127,culture,5,NOUN,0.0392156862745098
99,potential,5,NOUN,0.0392156862745098
455,pick,5,NOUN,0.0392156862745098
417,sales,4,NOUN,0.029411764705882353
1,career,4,NOUN,0.029411764705882353
317,industry,4,NOUN,0.029411764705882353
538,understanding,4,NOUN,0.029411764705882353
367,school,4,NOUN,0.029411764705882353
314,wage,4,NOUN,0.029411764705882353
334,salary,4,NOUN,0.029411764705882353
315,way,4,NOUN,0.029411764705882353
230,amp,4,NOUN,0.029411764705882353
449,part,4,NOUN,0.029411764705882353
205,help,4,NOUN,0.029411764705882353
18,program,4,NOUN,0.029411764705882353
16,bonus,4,NOUN,0.029411764705882353
51,meal,4,NOUN,0.029411764705882353
618,schedules,4,NOUN,0.029411764705882353
78,everyone,4,NOUN,0.029411764705882353
593,amount,4,NOUN,0.029411764705882353
8,locations,4,NOUN,0.029411764705882353
358,ability,3,NOUN,0.0196078431372549
304,years,3,NOUN,0.0196078431372549
271,position,3,NOUN,0.0196078431372549
20,top,3,NOUN,0.0196078431372549
260,structure,3,NOUN,0.0196078431372549
360,months,3,NOUN,0.0196078431372549
693,silverware,3,NOUN,0.0196078431372549
177,things,3,NOUN,0.0196078431372549
467,talk,3,NOUN,0.0196078431372549
372,advance,3,NOUN,0.0196078431372549
548,line,3,NOUN,0.0196078431372549
694,tables,3,NOUN,0.0196078431372549
431,night,3,NOUN,0.0196078431372549
556,manager,3,NOUN,0.0196078431372549
555,kitchen,3,NOUN,0.0196078431372549
504,leadership,2,NOUN,0.00980392156862745
683,beer,2,NOUN,0.00980392156862745
507,hiring,2,NOUN,0.00980392156862745
484,trainer,2,NOUN,0.00980392156862745
589,beat,2,NOUN,0.00980392156862745
24,standards,2,NOUN,0.00980392156862745
