,name,count,pos,norm
209,fast paced good,2,,1.0
0,loved working easy,1,,0.0
201,schedule conflicts management,1,,0.0
199,forward great schedule,1,,0.0
198,move forward great,1,,0.0
197,let move forward,1,,0.0
196,willing let move,1,,0.0
195,helpful willing let,1,,0.0
194,management helpful willing,1,,0.0
193,great management helpful,1,,0.0
192,work great management,1,,0.0
191,place work great,1,,0.0
190,energy place work,1,,0.0
189,high energy place,1,,0.0
188,employees high energy,1,,0.0
187,cares employees high,1,,0.0
186,management cares employees,1,,0.0
200,great schedule conflicts,1,,0.0
202,conflicts management staff,1,,0.0
184,managers professional management,1,,0.0
212,place make friends,1,,0.0
218,people great management,1,,0.0
217,good people great,1,,0.0
216,company good people,1,,0.0
215,great company good,1,,0.0
214,friends great company,1,,0.0
213,make friends great,1,,0.0
211,good place make,1,,0.0
203,management staff valued,1,,0.0
210,paced good place,1,,0.0
208,fun fast paced,1,,0.0
207,opinions fun fast,1,,0.0
206,employee opinions fun,1,,0.0
205,valued employee opinions,1,,0.0
204,staff valued employee,1,,0.0
185,professional management cares,1,,0.0
183,friendly managers professional,1,,0.0
220,management restaurant great,1,,0.0
182,mostly friendly managers,1,,0.0
163,average clientele good,1,,0.0
162,better average clientele,1,,0.0
161,food better average,1,,0.0
160,appealing food better,1,,0.0
159,appetizers appealing food,1,,0.0
158,desserts appetizers appealing,1,,0.0
157,sell desserts appetizers,1,,0.0
156,easy sell desserts,1,,0.0
155,table easy sell,1,,0.0
154,top table easy,1,,0.0
153,2 top table,1,,0.0
152,tab 2 top,1,,0.0
151,average tab 2,1,,0.0
150,50 average tab,1,,0.0
149,help 50 average,1,,0.0
164,clientele good scheduling,1,,0.0
165,good scheduling flexibility,1,,0.0
166,scheduling flexibility students,1,,0.0
175,food even take,1,,0.0
181,staff mostly friendly,1,,0.0
180,organized staff mostly,1,,0.0
179,well organized staff,1,,0.0
178,home well organized,1,,0.0
177,take home well,1,,0.0
176,even take home,1,,0.0
174,discount food even,1,,0.0
167,flexibility students parents,1,,0.0
173,work discount food,1,,0.0
172,hard work discount,1,,0.0
171,reward hard work,1,,0.0
170,represented reward hard,1,,0.0
169,parents represented reward,1,,0.0
168,students parents represented,1,,0.0
219,great management restaurant,1,,0.0
221,restaurant great co,1,,0.0
1,working easy pleasant,1,,0.0
258,job great people,1,,0.0
274,locations nice restaurants,1,,0.0
273,people locations nice,1,,0.0
272,benefits people locations,1,,0.0
271,opportunities benefits people,1,,0.0
270,growth opportunities benefits,1,,0.0
269,career growth opportunities,1,,0.0
268,development career growth,1,,0.0
267,atmosphere development career,1,,0.0
266,fun atmosphere development,1,,0.0
265,environment fun atmosphere,1,,0.0
264,family environment fun,1,,0.0
263,discounts family environment,1,,0.0
262,good discounts family,1,,0.0
261,management good discounts,1,,0.0
260,people management good,1,,0.0
275,nice restaurants vacation,1,,0.0
276,restaurants vacation policy,1,,0.0
277,vacation policy tech,1,,0.0
286,club program high,1,,0.0
292,supportive management decent,1,,0.0
291,schedule supportive management,1,,0.0
290,flexible schedule supportive,1,,0.0
289,standards flexible schedule,1,,0.0
288,high standards flexible,1,,0.0
287,program high standards,1,,0.0
285,performers club program,1,,0.0
278,policy tech support,1,,0.0
284,top performers club,1,,0.0
283,program top performers,1,,0.0
282,incentive program top,1,,0.0
281,bonus incentive program,1,,0.0
280,support bonus incentive,1,,0.0
279,tech support bonus,1,,0.0
259,great people management,1,,0.0
257,best job great,1,,0.0
222,great co workers,1,,0.0
256,coworkers best job,1,,0.0
237,schedules pretty consistent,1,,0.0
236,great schedules pretty,1,,0.0
235,management great schedules,1,,0.0
234,management management great,1,,0.0
233,flexible management management,1,,0.0
232,support flexible management,1,,0.0
231,good support flexible,1,,0.0
230,training good support,1,,0.0
229,excellent training good,1,,0.0
228,beer excellent training,1,,0.0
227,amazing beer excellent,1,,0.0
226,food amazing beer,1,,0.0
225,delicious food amazing,1,,0.0
224,workers delicious food,1,,0.0
223,co workers delicious,1,,0.0
238,pretty consistent bosses,1,,0.0
239,consistent bosses work,1,,0.0
240,bosses work well,1,,0.0
249,room growth culture,1,,0.0
255,environment coworkers best,1,,0.0
254,good environment coworkers,1,,0.0
253,paced good environment,1,,0.0
252,friendly fast paced,1,,0.0
251,culture friendly fast,1,,0.0
250,growth culture friendly,1,,0.0
248,hours room growth,1,,0.0
241,work well getting,1,,0.0
247,bonus hours room,1,,0.0
246,pay bonus hours,1,,0.0
245,requested pay bonus,1,,0.0
244,days requested pay,1,,0.0
243,getting days requested,1,,0.0
242,well getting days,1,,0.0
148,ready help 50,1,,0.0
147,everyone ready help,1,,0.0
146,clean everyone ready,1,,0.0
37,team oriented environment,1,,0.0
53,reflects atmosphere store,1,,0.0
52,sync reflects atmosphere,1,,0.0
51,always sync reflects,1,,0.0
50,line always sync,1,,0.0
49,top line always,1,,0.0
48,management top line,1,,0.0
47,machine management top,1,,0.0
46,oiled machine management,1,,0.0
45,well oiled machine,1,,0.0
44,like well oiled,1,,0.0
43,runs like well,1,,0.0
42,restaurant runs like,1,,0.0
41,management restaurant runs,1,,0.0
40,supportive management restaurant,1,,0.0
39,environment supportive management,1,,0.0
54,atmosphere store amazing,1,,0.0
55,store amazing team,1,,0.0
56,amazing team work,1,,0.0
65,want server make,1,,0.0
71,nice atmosphere free,1,,0.0
70,good nice atmosphere,1,,0.0
69,money good nice,1,,0.0
68,decent money good,1,,0.0
67,make decent money,1,,0.0
66,server make decent,1,,0.0
64,would want server,1,,0.0
57,team work amongst,1,,0.0
63,tables would want,1,,0.0
62,waited tables would,1,,0.0
61,still waited tables,1,,0.0
60,staff still waited,1,,0.0
59,amongst staff still,1,,0.0
58,work amongst staff,1,,0.0
38,oriented environment supportive,1,,0.0
36,server team oriented,1,,0.0
145,always clean everyone,1,,0.0
35,better server team,1,,0.0
16,price per guest,1,,0.0
15,reasonable price per,1,,0.0
14,affordable reasonable price,1,,0.0
13,still affordable reasonable,1,,0.0
12,high still affordable,1,,0.0
11,sales high still,1,,0.0
10,building sales high,1,,0.0
9,members building sales,1,,0.0
