,name,count,pos,norm
380,great place work,4,,1.0
779,great work environment,4,,1.0
435,flexible hours management,4,,1.0
209,fast paced good,3,,0.6666666666666667
208,fun fast paced,3,,0.6666666666666667
729,make good money,3,,0.6666666666666667
1140,fun place work,3,,0.6666666666666667
907,good money great,3,,0.6666666666666667
319,co workers good,3,,0.6666666666666667
222,great co workers,3,,0.6666666666666667
320,workers good food,2,,0.3333333333333333
192,work great management,2,,0.3333333333333333
1566,flexible hours easy,2,,0.3333333333333333
998,job taking care,2,,0.3333333333333333
1197,flexible hours good,2,,0.3333333333333333
725,easy job nice,2,,0.3333333333333333
370,make great money,2,,0.3333333333333333
1378,money flexible hours,2,,0.3333333333333333
1620,get along well,2,,0.3333333333333333
886,flexible schedule good,2,,0.3333333333333333
1328,work environment management,2,,0.3333333333333333
958,free food shift,2,,0.3333333333333333
756,schedule great atmosphere,2,,0.3333333333333333
755,flexible schedule great,2,,0.3333333333333333
1267,busy great job,2,,0.3333333333333333
1268,great job college,2,,0.3333333333333333
191,place work great,2,,0.3333333333333333
1396,place work good,2,,0.3333333333333333
1271,student flexible hours,2,,0.3333333333333333
1147,work school need,1,,0.0
1148,school need flexible,1,,0.0
1149,need flexible work,1,,0.0
1136,people work great,1,,0.0
1142,work enjoy working,1,,0.0
1146,place work school,1,,0.0
1145,bj great place,1,,0.0
1144,working bj great,1,,0.0
1143,enjoy working bj,1,,0.0
1135,great people work,1,,0.0
1150,flexible work schedule,1,,0.0
1141,place work enjoy,1,,0.0
1139,money fun place,1,,0.0
1138,great money fun,1,,0.0
1137,work great money,1,,0.0
0,loved working easy,1,,0.0
1157,money short hours,1,,0.0
1151,work schedule started,1,,0.0
1162,getting know people,1,,0.0
1170,make part regulars,1,,0.0
1169,money make part,1,,0.0
1168,work money make,1,,0.0
1167,harder work money,1,,0.0
1166,interests harder work,1,,0.0
1165,different interests harder,1,,0.0
1164,people different interests,1,,0.0
1163,know people different,1,,0.0
1161,team getting know,1,,0.0
1152,schedule started host,1,,0.0
1160,working team getting,1,,0.0
1159,hours working team,1,,0.0
1158,short hours working,1,,0.0
1133,else shift great,1,,0.0
1156,good money short,1,,0.0
1155,serving good money,1,,0.0
1154,host serving good,1,,0.0
1153,started host serving,1,,0.0
1134,shift great people,1,,0.0
1127,easy get shift,1,,0.0
1132,someone else shift,1,,0.0
1105,food days work,1,,0.0
1103,half price food,1,,0.0
1102,part half price,1,,0.0
1101,fun part half,1,,0.0
1100,nice fun part,1,,0.0
1099,super nice fun,1,,0.0
1098,management super nice,1,,0.0
1097,average management super,1,,0.0
1096,night average management,1,,0.0
1095,200 night average,1,,0.0
1094,110 200 night,1,,0.0
1093,anywhere 110 200,1,,0.0
1092,make anywhere 110,1,,0.0
1091,weekends make anywhere,1,,0.0
1090,night weekends make,1,,0.0
1089,110 night weekends,1,,0.0
1088,80 110 night,1,,0.0
1087,make 80 110,1,,0.0
1086,probably make 80,1,,0.0
1085,weekdays probably make,1,,0.0
1084,making weekdays probably,1,,0.0
1083,friends making weekdays,1,,0.0
1082,better friends making,1,,0.0
1081,pays better friends,1,,0.0
1104,price food days,1,,0.0
1106,days work 25,1,,0.0
1131,pick someone else,1,,0.0
1107,work 25 days,1,,0.0
1130,covered pick someone,1,,0.0
1129,shift covered pick,1,,0.0
1128,get shift covered,1,,0.0
1172,regulars usually always,1,,0.0
1126,really easy get,1,,0.0
1125,people really easy,1,,0.0
1124,great people really,1,,0.0
1123,company great people,1,,0.0
1122,great company great,1,,0.0
1121,best great company,1,,0.0
1120,others best great,1,,0.0
1119,encouraging others best,1,,0.0
1118,always encouraging others,1,,0.0
1117,management always encouraging,1,,0.0
1116,hours management always,1,,0.0
1115,work flexible hours,1,,0.0
1114,place work flexible,1,,0.0
1113,working great place,1,,0.0
1112,free working great,1,,0.0
1111,food free working,1,,0.0
1110,good food free,1,,0.0
1109,days good food,1,,0.0
1108,25 days good,1,,0.0
1171,part regulars usually,1,,0.0
1181,money easy flexible,1,,0.0
1173,usually always nice,1,,0.0
1227,discounts food even,1,,0.0
1251,move server host,1,,0.0
1250,definitely move server,1,,0.0
1249,could definitely move,1,,0.0
1248,wanted could definitely,1,,0.0
1247,advancement wanted could,1,,0.0
1246,opportunities advancement wanted,1,,0.0
1245,great opportunities advancement,1,,0.0
1244,nice great opportunities,1,,0.0
1243,managers nice great,1,,0.0
1242,time managers nice,1,,0.0
1241,classes time managers,1,,0.0
1240,flexible classes time,1,,0.0
1239,college flexible classes,1,,0.0
1238,worked college flexible,1,,0.0
1237,work worked college,1,,0.0
1236,place work worked,1,,0.0
1235,busy fun place,1,,0.0
1234,pretty busy fun,1,,0.0
1233,stay pretty busy,1,,0.0
1232,tends stay pretty,1,,0.0
1231,restaurant tends stay,1,,0.0
1230,working restaurant tends,1,,0.0
1229,even working restaurant,1,,0.0
1252,server host trainer,1,,0.0
1253,host trainer management,1,,0.0
1254,trainer management roles,1,,0.0
1269,job college student,1,,0.0
1280,questions altogether good,1,,0.0
1279,5 questions altogether,1,,0.0
1278,looking 5 questions,1,,0.0
