,name,count,pos,norm
217,co workers,6,,1.0000000000000002
104,good people,5,,0.8
206,fast paced,5,,0.8
189,place work,4,,0.6000000000000001
207,paced good,3,,0.4000000000000001
335,great money,3,,0.4000000000000001
8,team members,3,,0.4000000000000001
88,great management,3,,0.4000000000000001
216,great co,3,,0.4000000000000001
76,people easy,2,,0.2
558,work hard,2,,0.2
68,money good,2,,0.2
375,good money,2,,0.2
373,great culture,2,,0.2
399,location great,2,,0.2
368,like family,2,,0.2
282,flexible schedule,2,,0.2
285,decent food,2,,0.2
363,great place,2,,0.2
289,well managers,2,,0.2
40,management restaurant,2,,0.2
251,great people,2,,0.2
101,people worked,2,,0.2
402,pay great,2,,0.2
95,good tips,2,,0.2
412,flexible hours,2,,0.2
361,workers well,2,,0.2
115,management great,2,,0.2
117,opportunity growth,2,,0.2
214,people great,2,,0.2
205,fun fast,2,,0.2
190,work great,2,,0.2
187,high energy,2,,0.2
457,get good,2,,0.2
175,take home,2,,0.2
39,supportive management,2,,0.2
467,fast pace,2,,0.2
31,team oriented,2,,0.2
309,good food,2,,0.2
312,flexible scheduling,2,,0.2
308,workers good,2,,0.2
433,transfer new,1,,0.0
341,busy location,1,,0.0
340,fastpaced busy,1,,0.0
431,also easy,1,,0.0
339,put fastpaced,1,,0.0
432,easy transfer,1,,0.0
360,love co,1,,0.0
429,advancement opportunities,1,,0.0
434,new location,1,,0.0
435,location moved,1,,0.0
436,moved decent,1,,0.0
437,decent pay,1,,0.0
338,u put,1,,0.0
337,work u,1,,0.0
430,opportunities also,1,,0.0
427,work shift,1,,0.0
428,shift advancement,1,,0.0
438,great career,1,,0.0
426,day work,1,,0.0
342,location potential,1,,0.0
425,every day,1,,0.0
424,meals every,1,,0.0
423,discount meals,1,,0.0
422,50 discount,1,,0.0
421,get 50,1,,0.0
420,servers get,1,,0.0
419,food servers,1,,0.0
418,awesome food,1,,0.0
417,tippers awesome,1,,0.0
336,money work,1,,0.0
439,career oportunities,1,,0.0
415,awesome great,1,,0.0
453,things good,1,,0.0
466,good fast,1,,0.0
465,managers good,1,,0.0
464,pretty well,1,,0.0
330,fast often,1,,0.0
463,long pretty,1,,0.0
462,gets long,1,,0.0
461,team gets,1,,0.0
460,sections team,1,,0.0
459,server sections,1,,0.0
458,good server,1,,0.0
331,often flexible,1,,0.0
456,regular get,1,,0.0
455,pretty regular,1,,0.0
454,money pretty,1,,0.0
332,schedule uses,1,,0.0
440,oportunities fast,1,,0.0
452,minuscule things,1,,0.0
333,uses hotschedules,1,,0.0
334,hotschedules great,1,,0.0
451,gripe minuscule,1,,0.0
450,cause gripe,1,,0.0
449,people cause,1,,0.0
448,typically good,1,,0.0
447,customers typically,1,,0.0
446,friendly customers,1,,0.0
445,everyone friendly,1,,0.0
444,faster everyone,1,,0.0
443,goes faster,1,,0.0
442,time goes,1,,0.0
441,paced time,1,,0.0
