,name,count,pos,norm
268,bad bad bad,3,,1.0
276,team members like,2,,0.5
562,constantly running around,2,,0.5
652,management completely incompetent,2,,0.5
1290,receipts food run,1,,0.0
1301,correct amount keep,1,,0.0
1300,runner correct amount,1,,0.0
1299,food runner correct,1,,0.0
1298,tip food runner,1,,0.0
1297,going tip food,1,,0.0
1296,waiter going tip,1,,0.0
1295,accordingly waiter going,1,,0.0
1294,tipped accordingly waiter,1,,0.0
1293,shift tipped accordingly,1,,0.0
1292,run shift tipped,1,,0.0
1291,food run shift,1,,0.0
0,managers severely lack,1,,0.0
1302,amount keep money,1,,0.0
1288,math based receipts,1,,0.0
1287,correctly math based,1,,0.0
1286,manager correctly math,1,,0.0
1285,ends manager correctly,1,,0.0
1284,shift ends manager,1,,0.0
1283,tips shift ends,1,,0.0
1282,get tips shift,1,,0.0
1281,wait get tips,1,,0.0
1280,shouldnt wait get,1,,0.0
1279,runners shouldnt wait,1,,0.0
1278,food runners shouldnt,1,,0.0
1277,tipping food runners,1,,0.0
1289,based receipts food,1,,0.0
1303,keep money also,1,,0.0
1275,skimming tips tipping,1,,0.0
1304,money also food,1,,0.0
1331,seems together needed,1,,0.0
1330,never seems together,1,,0.0
1329,kitchen never seems,1,,0.0
1328,time kitchen never,1,,0.0
1327,reviews time kitchen,1,,0.0
1326,service reviews time,1,,0.0
1325,customer service reviews,1,,0.0
1324,terrible customer service,1,,0.0
1323,time terrible customer,1,,0.0
1322,complaints time terrible,1,,0.0
1321,many complaints time,1,,0.0
1320,workers many complaints,1,,0.0
1319,co workers many,1,,0.0
1318,uncaring co workers,1,,0.0
1317,business uncaring co,1,,0.0
1316,restaurant business uncaring,1,,0.0
1315,20years restaurant business,1,,0.0
1314,heard 20years restaurant,1,,0.0
1313,ever heard 20years,1,,0.0
1312,system ever heard,1,,0.0
1311,ludicrous system ever,1,,0.0
1310,tips ludicrous system,1,,0.0
1309,home tips ludicrous,1,,0.0
1308,going home tips,1,,0.0
1307,runners going home,1,,0.0
1306,food runners going,1,,0.0
1305,also food runners,1,,0.0
1276,tips tipping food,1,,0.0
1274,people skimming tips,1,,0.0
1333,needed many managers,1,,0.0
1230,came hectic training,1,,0.0
1242,came certain types,1,,0.0
1241,pushovers came certain,1,,0.0
1240,pissed pushovers came,1,,0.0
1239,frankly pissed pushovers,1,,0.0
1238,annoyed frankly pissed,1,,0.0
1237,easily annoyed frankly,1,,0.0
1236,begin easily annoyed,1,,0.0
1235,awful begin easily,1,,0.0
1234,management awful begin,1,,0.0
1233,mess management awful,1,,0.0
1232,training mess management,1,,0.0
1231,hectic training mess,1,,0.0
1229,people came hectic,1,,0.0
1244,types people genders,1,,0.0
