,name,count,pos,norm
15,management,46,NOUN,1.0000000000000002
0,managers,32,NOUN,0.6888888888888889
95,work,24,NOUN,0.5111111111111111
74,servers,16,NOUN,0.33333333333333337
70,employees,15,NOUN,0.31111111111111117
140,lot,15,NOUN,0.31111111111111117
21,time,15,NOUN,0.31111111111111117
41,food,15,NOUN,0.31111111111111117
263,people,15,NOUN,0.31111111111111117
272,one,14,NOUN,0.2888888888888889
141,tips,11,NOUN,0.22222222222222224
452,manager,10,NOUN,0.2
154,kitchen,9,NOUN,0.17777777777777778
3,lack,9,NOUN,0.17777777777777778
116,get,9,NOUN,0.17777777777777778
252,make,9,NOUN,0.17777777777777778
168,care,9,NOUN,0.17777777777777778
166,team,9,NOUN,0.17777777777777778
92,favoritism,8,NOUN,0.15555555555555556
99,hours,8,NOUN,0.15555555555555556
64,training,8,NOUN,0.15555555555555556
4,communication,7,NOUN,0.13333333333333333
75,guests,7,NOUN,0.13333333333333333
144,tip,7,NOUN,0.13333333333333333
242,good,7,NOUN,0.13333333333333333
308,service,6,NOUN,0.1111111111111111
195,pay,6,NOUN,0.1111111111111111
244,job,6,NOUN,0.1111111111111111
229,shift,6,NOUN,0.1111111111111111
134,shifts,6,NOUN,0.1111111111111111
603,everything,6,NOUN,0.1111111111111111
172,u,5,NOUN,0.08888888888888889
383,server,5,NOUN,0.08888888888888889
436,staff,5,NOUN,0.08888888888888889
224,members,5,NOUN,0.08888888888888889
54,tables,5,NOUN,0.08888888888888889
183,problems,4,NOUN,0.06666666666666667
314,opening,4,NOUN,0.06666666666666667
278,day,4,NOUN,0.06666666666666667
108,call,4,NOUN,0.06666666666666667
208,money,4,NOUN,0.06666666666666667
209,clientele,4,NOUN,0.06666666666666667
289,restaurant,4,NOUN,0.06666666666666667
88,customers,4,NOUN,0.06666666666666667
342,year,4,NOUN,0.06666666666666667
554,company,4,NOUN,0.06666666666666667
24,schedule,4,NOUN,0.06666666666666667
56,break,4,NOUN,0.06666666666666667
27,workers,4,NOUN,0.06666666666666667
518,times,4,NOUN,0.06666666666666667
35,know,4,NOUN,0.06666666666666667
66,general,4,NOUN,0.06666666666666667
40,coworkers,3,NOUN,0.04444444444444444
575,help,3,NOUN,0.04444444444444444
352,everyone,3,NOUN,0.04444444444444444
347,way,3,NOUN,0.04444444444444444
483,beer,3,NOUN,0.04444444444444444
44,runners,3,NOUN,0.04444444444444444
83,table,3,NOUN,0.04444444444444444
485,runner,3,NOUN,0.04444444444444444
147,hostess,3,NOUN,0.04444444444444444
720,amount,3,NOUN,0.04444444444444444
181,thing,3,NOUN,0.04444444444444444
186,turnover,3,NOUN,0.04444444444444444
304,years,3,NOUN,0.04444444444444444
506,employee,3,NOUN,0.04444444444444444
