,name,count,pos,norm
118,bad bad bad,3,,1.0
502,management completely incompetent,2,,0.5
412,constantly running around,2,,0.5
126,team members like,2,,0.5
0,awful management stand,1,,0.0
1190,improve voice ideas,1,,0.0
1200,instead hard working,1,,0.0
1199,manager instead hard,1,,0.0
1198,enough manager instead,1,,0.0
1197,suck enough manager,1,,0.0
1196,able suck enough,1,,0.0
1195,anyone able suck,1,,0.0
1194,make anyone able,1,,0.0
1193,company make anyone,1,,0.0
1192,ideas company make,1,,0.0
1191,voice ideas company,1,,0.0
1188,micromanaging room improve,1,,0.0
1189,room improve voice,1,,0.0
1202,working individuals get,1,,0.0
1187,much micromanaging room,1,,0.0
1186,promotes much micromanaging,1,,0.0
1185,managers promotes much,1,,0.0
1184,many managers promotes,1,,0.0
1183,needed many managers,1,,0.0
1182,together needed many,1,,0.0
1181,seems together needed,1,,0.0
1180,never seems together,1,,0.0
1179,kitchen never seems,1,,0.0
1201,hard working individuals,1,,0.0
1204,get passed lower,1,,0.0
1203,individuals get passed,1,,0.0
1217,communication managers kitchen,1,,0.0
1228,managers nowhere found,1,,0.0
1227,incompetent managers nowhere,1,,0.0
1226,tips incompetent managers,1,,0.0
1225,lower tips incompetent,1,,0.0
1224,server lower tips,1,,0.0
1223,blaming server lower,1,,0.0
1222,customers blaming server,1,,0.0
1221,frustrated customers blaming,1,,0.0
1220,servers frustrated customers,1,,0.0
1219,kitchen servers frustrated,1,,0.0
1218,managers kitchen servers,1,,0.0
1216,management communication managers,1,,0.0
1177,reviews time kitchen,1,,0.0
1215,poor management communication,1,,0.0
1214,hypocritical poor management,1,,0.0
1213,extremely hypocritical poor,1,,0.0
1212,rules extremely hypocritical,1,,0.0
1211,think rules extremely,1,,0.0
1210,especially think rules,1,,0.0
1209,ones especially think,1,,0.0
1208,newer ones especially,1,,0.0
1207,managers newer ones,1,,0.0
1206,lower managers newer,1,,0.0
1205,passed lower managers,1,,0.0
1178,time kitchen never,1,,0.0
1175,customer service reviews,1,,0.0
1176,service reviews time,1,,0.0
1135,ends manager correctly,1,,0.0
1146,waiter going tip,1,,0.0
1145,accordingly waiter going,1,,0.0
1144,tipped accordingly waiter,1,,0.0
1143,shift tipped accordingly,1,,0.0
1142,run shift tipped,1,,0.0
1141,food run shift,1,,0.0
1140,receipts food run,1,,0.0
1139,based receipts food,1,,0.0
1138,math based receipts,1,,0.0
