,name,count,pos,norm
274,team members,5,,1.0
268,bad bad,4,,0.75
260,care employees,4,,0.75
270,managers care,3,,0.5
102,work environment,3,,0.5
123,managers managers,3,,0.5
171,management poor,3,,0.5
409,low quality,2,,0.25
275,members like,2,,0.25
416,service managers,2,,0.25
532,hard work,2,,0.25
255,free food,2,,0.25
269,bad managers,2,,0.25
247,horrible clientele,2,,0.25
459,managers unprofessional,2,,0.25
18,time status,2,,0.25
240,management favoritism,2,,0.25
75,never felt,2,,0.25
647,someone else,2,,0.25
745,general manager,2,,0.25
82,upper management,2,,0.25
438,opening training,2,,0.25
88,bad management,2,,0.25
2,lack communication,2,,0.25
427,really shocked,2,,0.25
784,pretty bad,1,,0.0
781,tomorrow management,1,,0.0
782,management tends,1,,0.0
780,replaced tomorrow,1,,0.0
779,work replaced,1,,0.0
778,begging work,1,,0.0
777,people begging,1,,0.0
783,tends pretty,1,,0.0
0,managers severely,1,,0.0
785,bad flexible,1,,0.0
794,illegal constantly,1,,0.0
800,punishing able,1,,0.0
799,available punishing,1,,0.0
798,schedule available,1,,0.0
797,said schedule,1,,0.0
796,scheduling said,1,,0.0
795,constantly scheduling,1,,0.0
793,sick illegal,1,,0.0
786,flexible hours,1,,0.0
792,people sick,1,,0.0
791,food people,1,,0.0
790,serving food,1,,0.0
789,work serving,1,,0.0
788,force work,1,,0.0
787,hours force,1,,0.0
776,know people,1,,0.0
769,upset wait,1,,0.0
775,almost know,1,,0.0
750,know hates,1,,0.0
756,resigned gave,1,,0.0
755,employee resigned,1,,0.0
754,former employee,1,,0.0
753,another former,1,,0.0
752,someone another,1,,0.0
751,hates someone,1,,0.0
749,make know,1,,0.0
774,employees almost,1,,0.0
748,talk make,1,,0.0
747,degrade talk,1,,0.0
746,manager degrade,1,,0.0
744,sucked general,1,,0.0
743,operation sucked,1,,0.0
742,whole operation,1,,0.0
757,gave letter,1,,0.0
758,letter resignation,1,,0.0
759,resignation general,1,,0.0
760,manager posted,1,,0.0
761,posted wall,1,,0.0
762,wall made,1,,0.0
763,made fun,1,,0.0
764,fun every,1,,0.0
765,every employee,1,,0.0
766,employee sometimes,1,,0.0
767,sometimes guests,1,,0.0
768,guests upset,1,,0.0
802,come harassment,1,,0.0
770,wait times,1,,0.0
771,times take,1,,0.0
772,take management,1,,0.0
773,management care,1,,0.0
801,able come,1,,0.0
809,bad communication,1,,0.0
803,harassment bullying,1,,0.0
847,work life,1,,0.0
853,horrible management,1,,0.0
852,bonus horrible,1,,0.0
851,make bonus,1,,0.0
850,difficult make,1,,0.0
849,balance difficult,1,,0.0
848,life balance,1,,0.0
846,poor work,1,,0.0
855,played 24,1,,0.0
845,environment poor,1,,0.0
844,stressful work,1,,0.0
843,makes stressful,1,,0.0
842,understaffed makes,1,,0.0
841,habitually understaffed,1,,0.0
840,straight habitually,1,,0.0
854,favoritism played,1,,0.0
856,24 7,1,,0.0
804,bullying co,1,,0.0
865,26 team,1,,0.0
871,requirements want,1,,0.0
870,aca requirements,1,,0.0
869,due aca,1,,0.0
868,status due,1,,0.0
867,full time,1,,0.0
866,members full,1,,0.0
864,permit 26,1,,0.0
857,7 company,1,,0.0
863,location permit,1,,0.0
862,employees location,1,,0.0
861,backs employees,1,,0.0
860,money backs,1,,0.0
859,saves money,1,,0.0
858,company saves,1,,0.0
839,working straight,1,,0.0
838,days working,1,,0.0
837,10 days,1,,0.0
812,managers chose,1,,0.0
818,hardest got,1,,0.0
817,worked hardest,1,,0.0
816,actually worked,1,,0.0
815,instead actually,1,,0.0
814,favorites instead,1,,0.0
813,chose favorites,1,,0.0
811,coworkers managers,1,,0.0
836,9 10,1,,0.0
810,communication coworkers,1,,0.0
740,corporate sucked,1,,0.0
808,really bad,1,,0.0
807,care really,1,,0.0
806,workers managers,1,,0.0
805,co workers,1,,0.0
819,got yelled,1,,0.0
820,yelled lot,1,,0.0
821,lot guests,1,,0.0
822,guests worked,1,,0.0
823,worked year,1,,0.0
824,year raise,1,,0.0
825,raise nothing,1,,0.0
826,nothing breaks,1,,0.0
827,breaks overworked,1,,0.0
828,overworked hourly,1,,0.0
829,hourly employees,1,,0.0
830,employees micromanaged,1,,0.0
831,micromanaged top,1,,0.0
832,top advancement,1,,0.0
833,advancement california,1,,0.0
834,california lot,1,,0.0
835,lot 9,1,,0.0
741,sucked whole,1,,0.0
735,servers tips,1,,0.0
739,sucked corporate,1,,0.0
629,grow little,1,,0.0
645,forced cover,1,,0.0
644,literally forced,1,,0.0
643,manager literally,1,,0.0
642,one manager,1,,0.0
641,incompetent one,1,,0.0
640,completely incompetent,1,,0.0
639,management completely,1,,0.0
638,hiring management,1,,0.0
637,besides hiring,1,,0.0
636,boring besides,1,,0.0
635,slow boring,1,,0.0
634,hours slow,1,,0.0
633,bad hours,1,,0.0
632,staff bad,1,,0.0
631,respect staff,1,,0.0
646,cover someone,1,,0.0
648,else shift,1,,0.0
649,shift extremely,1,,0.0
658,missing points,1,,0.0
664,water glass,1,,0.0
663,dumped water,1,,0.0
662,thought dumped,1,,0.0
661,inspection thought,1,,0.0
660,health inspection,1,,0.0
659,points health,1,,0.0
657,blamed missing,1,,0.0
650,extremely last,1,,0.0
656,one blamed,1,,0.0
655,another one,1,,0.0
654,answer another,1,,0.0
653,take answer,1,,0.0
652,minute take,1,,0.0
651,last minute,1,,0.0
630,little respect,1,,0.0
628,opportunity grow,1,,0.0
738,management sucked,1,,0.0
627,enough opportunity,1,,0.0
608,pay crap,1,,0.0
607,crap pay,1,,0.0
606,awful crap,1,,0.0
605,staff awful,1,,0.0
604,kitchen staff,1,,0.0
603,teamwork kitchen,1,,0.0
602,management teamwork,1,,0.0
601,issues management,1,,0.0
600,ignores issues,1,,0.0
599,corporate ignores,1,,0.0
598,filed corporate,1,,0.0
597,complaints filed,1,,0.0
596,harassment complaints,1,,0.0
595,sexual harassment,1,,0.0
594,multiple sexual,1,,0.0
609,crap hours,1,,0.0
610,hours crap,1,,0.0
611,crap management,1,,0.0
620,really payed,1,,0.0
626,vacation enough,1,,0.0
625,payed vacation,1,,0.0
624,pay payed,1,,0.0
623,much pay,1,,0.0
622,expect much,1,,0.0
621,payed expect,1,,0.0
619,servers really,1,,0.0
612,management big,1,,0.0
618,bad servers,1,,0.0
617,management bad,1,,0.0
616,problems bad,1,,0.0
615,lot problems,1,,0.0
614,corporation lot,1,,0.0
613,big corporation,1,,0.0
665,glass ice,1,,0.0
666,ice back,1,,0.0
667,back bev,1,,0.0
668,bev sink,1,,0.0
719,assistant managers,1,,0.0
718,many assistant,1,,0.0
717,gms many,1,,0.0
716,different gms,1,,0.0
715,3 different,1,,0.0
714,months 3,1,,0.0
713,6 months,1,,0.0
712,worked 6,1,,0.0
711,many worked,1,,0.0
710,suck many,1,,0.0
709,managers suck,1,,0.0
708,servers managers,1,,0.0
707,except servers,1,,0.0
706,food except,1,,0.0
705,get free,1,,0.0
720,managers many,1,,0.0
721,many double,1,,0.0
722,double shifts,1,,0.0
731,poorly hostess,1,,0.0
737,sucked management,1,,0.0
736,tips sucked,1,,0.0
873,pay healthcare,1,,0.0
734,tables servers,1,,0.0
733,rotated tables,1,,0.0
732,hostess rotated,1,,0.0
730,care poorly,1,,0.0
723,shifts ask,1,,0.0
729,seem care,1,,0.0
728,management seem,1,,0.0
727,advance management,1,,0.0
726,weeks advance,1,,0.0
725,many weeks,1,,0.0
724,ask many,1,,0.0
704,employees get,1,,0.0
703,worth employees,1,,0.0
702,tip worth,1,,0.0
676,pay well,1,,0.0
682,like 5,1,,0.0
681,acted like,1,,0.0
680,seriously acted,1,,0.0
679,way seriously,1,,0.0
678,took way,1,,0.0
677,well took,1,,0.0
675,stressful pay,1,,0.0
684,star restaurant,1,,0.0
674,extremely stressful,1,,0.0
673,job extremely,1,,0.0
672,overall job,1,,0.0
671,sa overall,1,,0.0
670,one sa,1,,0.0
669,sink one,1,,0.0
683,5 star,1,,0.0
685,restaurant really,1,,0.0
701,mediocre tip,1,,0.0
694,work food,1,,0.0
700,plus mediocre,1,,0.0
699,hour plus,1,,0.0
698,13 hour,1,,0.0
697,2 13,1,,0.0
696,runner 2,1,,0.0
695,food runner,1,,0.0
693,servers work,1,,0.0
686,really chain,1,,0.0
692,beer servers,1,,0.0
691,terrible beer,1,,0.0
690,joint terrible,1,,0.0
689,beer joint,1,,0.0
688,pizza beer,1,,0.0
687,chain pizza,1,,0.0
872,want pay,1,,0.0
882,moreover location,1,,0.0
874,healthcare raise,1,,0.0
1062,night potential,1,,0.0
1068,small group,1,,0.0
1067,belong small,1,,0.0
1066,unless belong,1,,0.0
1065,money unless,1,,0.0
1064,make money,1,,0.0
1063,potential make,1,,0.0
1061,friday night,1,,0.0
1070,privileged almost,1,,0.0
1060,wall friday,1,,0.0
1059,wall wall,1,,0.0
1058,bumping wall,1,,0.0
1057,00 bumping,1,,0.0
1056,15 00,1,,0.0
1055,making 15,1,,0.0
1069,group privileged,1,,0.0
