,name,count,pos,norm
15,management,12,NOUN,0.9999999999999999
0,managers,7,NOUN,0.5454545454545454
90,work,7,NOUN,0.5454545454545454
66,employees,5,NOUN,0.36363636363636365
3,lack,5,NOUN,0.36363636363636365
20,time,5,NOUN,0.36363636363636365
158,u,3,NOUN,0.1818181818181818
133,tips,3,NOUN,0.1818181818181818
39,food,3,NOUN,0.1818181818181818
153,team,2,NOUN,0.09090909090909091
61,training,2,NOUN,0.09090909090909091
155,care,2,NOUN,0.09090909090909091
70,servers,2,NOUN,0.09090909090909091
74,talk,2,NOUN,0.09090909090909091
51,tables,2,NOUN,0.09090909090909091
48,bussers,2,NOUN,0.09090909090909091
83,customers,2,NOUN,0.09090909090909091
85,experience,2,NOUN,0.09090909090909091
55,hosts,2,NOUN,0.09090909090909091
26,workers,2,NOUN,0.09090909090909091
23,schedule,2,NOUN,0.09090909090909091
103,call,2,NOUN,0.09090909090909091
16,unorganized,2,NOUN,0.09090909090909091
4,communication,2,NOUN,0.09090909090909091
87,favoritism,2,NOUN,0.09090909090909091
146,disasters,1,NOUN,0.0
136,outs,1,NOUN,0.0
135,tip,1,NOUN,0.0
143,kitchen,1,NOUN,0.0
144,foh,1,NOUN,0.0
132,lot,1,NOUN,0.0
131,home,1,NOUN,0.0
145,ratio,1,NOUN,0.0
127,shifts,1,NOUN,0.0
123,list,1,NOUN,0.0
5,skills,1,NOUN,0.0
149,director,1,NOUN,0.0
151,talent,1,NOUN,0.0
192,menu,1,NOUN,0.0
189,clientele,1,NOUN,0.0
188,money,1,NOUN,0.0
185,overtime,1,NOUN,0.0
181,favorites,1,NOUN,0.0
180,school,1,NOUN,0.0
179,benefits,1,NOUN,0.0
178,pay,1,NOUN,0.0
177,consideration,1,NOUN,0.0
173,changes,1,NOUN,0.0
171,schedules,1,NOUN,0.0
169,turnover,1,NOUN,0.0
166,problems,1,NOUN,0.0
165,thing,1,NOUN,0.0
161,game,1,NOUN,0.0
159,integrity,1,NOUN,0.0
119,behavior,1,NOUN,0.0
120,friends,1,NOUN,0.0
92,environment,1,NOUN,0.0
114,kiss,1,NOUN,0.0
30,scheduling,1,NOUN,0.0
47,ticket,1,NOUN,0.0
44,tickets,1,NOUN,0.0
42,runners,1,NOUN,0.0
38,coworkers,1,NOUN,0.0
36,sense,1,NOUN,0.0
32,arrival,1,NOUN,0.0
29,lunches,1,NOUN,0.0
54,rotation,1,NOUN,0.0
27,frames,1,NOUN,0.0
25,abuse,1,NOUN,0.0
21,status,1,NOUN,0.0
19,part,1,NOUN,0.0
14,laws,1,NOUN,0.0
13,state,1,NOUN,0.0
53,break,1,NOUN,0.0
56,knowledge,1,NOUN,0.0
111,get,1,NOUN,0.0
12,accordance,1,NOUN,0.0
109,phones,1,NOUN,0.0
104,show,1,NOUN,0.0
100,discipline,1,NOUN,0.0
99,business,1,NOUN,0.0
94,hours,1,NOUN,0.0
93,fighting,1,NOUN,0.0
77,nothing,1,NOUN,0.0
58,section,1,NOUN,0.0
76,culture,1,NOUN,0.0
71,guests,1,NOUN,0.0
65,cooperation,1,NOUN,0.0
64,lac,1,NOUN,0.0
63,general,1,NOUN,0.0
62,hands,1,NOUN,0.0
193,coupons,1,NOUN,0.0
