,name,count,pos,norm
101,work,78,NOUN,1.0000000000000002
16,hours,68,NOUN,0.8701298701298702
1,management,66,NOUN,0.8441558441558442
230,managers,47,NOUN,0.5974025974025975
40,get,42,NOUN,0.5324675324675325
125,time,39,NOUN,0.49350649350649356
178,times,35,NOUN,0.4415584415584416
134,pay,32,NOUN,0.4025974025974026
298,lot,29,NOUN,0.36363636363636365
80,restaurant,27,NOUN,0.33766233766233766
74,job,25,NOUN,0.3116883116883117
46,people,25,NOUN,0.3116883116883117
260,customers,24,NOUN,0.2987012987012987
495,employees,22,NOUN,0.27272727272727276
155,servers,22,NOUN,0.27272727272727276
184,shifts,22,NOUN,0.27272727272727276
174,guests,21,NOUN,0.25974025974025977
244,make,21,NOUN,0.25974025974025977
104,staff,19,NOUN,0.2337662337662338
258,server,19,NOUN,0.2337662337662338
277,food,18,NOUN,0.2207792207792208
287,stress,17,NOUN,0.2077922077922078
66,clientele,16,NOUN,0.19480519480519481
560,corporate,16,NOUN,0.19480519480519481
152,manager,15,NOUN,0.18181818181818182
3,company,15,NOUN,0.18181818181818182
121,life,14,NOUN,0.16883116883116883
141,environment,14,NOUN,0.16883116883116883
28,cons,14,NOUN,0.16883116883116883
376,shift,13,NOUN,0.15584415584415584
75,schedule,13,NOUN,0.15584415584415584
245,money,13,NOUN,0.15584415584415584
297,end,12,NOUN,0.14285714285714285
262,kitchen,12,NOUN,0.14285714285714285
165,take,12,NOUN,0.14285714285714285
122,move,12,NOUN,0.14285714285714285
471,tip,12,NOUN,0.14285714285714285
338,breaks,12,NOUN,0.14285714285714285
182,hour,11,NOUN,0.12987012987012989
43,need,11,NOUN,0.12987012987012989
781,uniform,11,NOUN,0.12987012987012989
275,guest,11,NOUN,0.12987012987012989
86,cheesecake,10,NOUN,0.1168831168831169
632,deal,10,NOUN,0.1168831168831169
7,lack,10,NOUN,0.1168831168831169
796,tips,10,NOUN,0.1168831168831169
186,inconsistent,10,NOUN,0.1168831168831169
821,care,10,NOUN,0.1168831168831169
311,days,9,NOUN,0.1038961038961039
497,location,9,NOUN,0.1038961038961039
332,lots,9,NOUN,0.1038961038961039
964,day,8,NOUN,0.09090909090909091
198,set,8,NOUN,0.09090909090909091
162,place,8,NOUN,0.09090909090909091
169,quality,8,NOUN,0.09090909090909091
381,menu,8,NOUN,0.09090909090909091
36,workers,8,NOUN,0.09090909090909091
238,way,8,NOUN,0.09090909090909091
253,favoritism,8,NOUN,0.09090909090909091
582,everyone,7,NOUN,0.07792207792207792
269,things,7,NOUN,0.07792207792207792
2,issues,7,NOUN,0.07792207792207792
534,advance,7,NOUN,0.07792207792207792
172,nights,7,NOUN,0.07792207792207792
299,weekends,7,NOUN,0.07792207792207792
49,wages,7,NOUN,0.07792207792207792
160,want,7,NOUN,0.07792207792207792
692,volume,7,NOUN,0.07792207792207792
322,bakery,7,NOUN,0.07792207792207792
723,amount,7,NOUN,0.07792207792207792
394,demanding,7,NOUN,0.07792207792207792
130,gratuity,7,NOUN,0.07792207792207792
225,locations,7,NOUN,0.07792207792207792
516,anything,7,NOUN,0.07792207792207792
250,customer,6,NOUN,0.06493506493506493
239,sections,6,NOUN,0.06493506493506493
826,employee,6,NOUN,0.06493506493506493
1294,wrong,6,NOUN,0.06493506493506493
1326,break,6,NOUN,0.06493506493506493
158,table,6,NOUN,0.06493506493506493
88,factory,6,NOUN,0.06493506493506493
479,keep,6,NOUN,0.06493506493506493
1215,business,6,NOUN,0.06493506493506493
33,co,6,NOUN,0.06493506493506493
696,turn,6,NOUN,0.06493506493506493
627,coworkers,5,NOUN,0.05194805194805195
489,staffed,5,NOUN,0.05194805194805195
983,dealing,5,NOUN,0.05194805194805195
293,someone,5,NOUN,0.05194805194805195
491,week,5,NOUN,0.05194805194805195
480,holidays,5,NOUN,0.05194805194805195
1204,doubles,5,NOUN,0.05194805194805195
974,service,5,NOUN,0.05194805194805195
970,tables,5,NOUN,0.05194805194805195
580,nothing,5,NOUN,0.05194805194805195
1084,area,5,NOUN,0.05194805194805195
770,turnover,5,NOUN,0.05194805194805195
232,favorites,5,NOUN,0.05194805194805195
785,dish,5,NOUN,0.05194805194805195
1059,amp,5,NOUN,0.05194805194805195
519,store,5,NOUN,0.05194805194805195
965,review,4,NOUN,0.03896103896103896
340,side,4,NOUN,0.03896103896103896
816,overtime,4,NOUN,0.03896103896103896
896,tipping,4,NOUN,0.03896103896103896
485,balance,4,NOUN,0.03896103896103896
295,needs,4,NOUN,0.03896103896103896
933,level,4,NOUN,0.03896103896103896
524,tourists,4,NOUN,0.03896103896103896
688,mess,4,NOUN,0.03896103896103896
578,sales,4,NOUN,0.03896103896103896
326,years,4,NOUN,0.03896103896103896
780,fault,4,NOUN,0.03896103896103896
477,pace,4,NOUN,0.03896103896103896
711,look,4,NOUN,0.03896103896103896
715,help,4,NOUN,0.03896103896103896
804,experience,4,NOUN,0.03896103896103896
572,parking,4,NOUN,0.03896103896103896
242,night,4,NOUN,0.03896103896103896
120,family,4,NOUN,0.03896103896103896
146,weeks,4,NOUN,0.03896103896103896
1349,needy,4,NOUN,0.03896103896103896
41,hold,4,NOUN,0.03896103896103896
264,mistakes,4,NOUN,0.03896103896103896
45,pressure,4,NOUN,0.03896103896103896
268,restaurants,4,NOUN,0.03896103896103896
272,run,4,NOUN,0.03896103896103896
5,basis,4,NOUN,0.03896103896103896
115,jobs,4,NOUN,0.03896103896103896
828,number,3,NOUN,0.025974025974025972
636,none,3,NOUN,0.025974025974025972
171,saturday,3,NOUN,0.025974025974025972
815,expectations,3,NOUN,0.025974025974025972
813,labor,3,NOUN,0.025974025974025972
639,team,3,NOUN,0.025974025974025972
1144,schedules,3,NOUN,0.025974025974025972
502,country,3,NOUN,0.025974025974025972
513,benefits,3,NOUN,0.025974025974025972
987,parties,3,NOUN,0.025974025974025972
778,bill,3,NOUN,0.025974025974025972
684,control,3,NOUN,0.025974025974025972
865,mall,3,NOUN,0.025974025974025972
425,front,3,NOUN,0.025974025974025972
430,foh,3,NOUN,0.025974025974025972
725,structure,3,NOUN,0.025974025974025972
446,line,3,NOUN,0.025974025974025972
724,bonus,3,NOUN,0.025974025974025972
453,mentality,3,NOUN,0.025974025974025972
456,standards,3,NOUN,0.025974025974025972
124,part,3,NOUN,0.025974025974025972
461,bussers,3,NOUN,0.025974025974025972
462,plates,3,NOUN,0.025974025974025972
1200,show,3,NOUN,0.025974025974025972
847,seniority,3,NOUN,0.025974025974025972
694,variety,3,NOUN,0.025974025974025972
868,scheduling,3,NOUN,0.025974025974025972
301,world,3,NOUN,0.025974025974025972
562,salaries,3,NOUN,0.025974025974025972
1056,others,3,NOUN,0.025974025974025972
972,changes,3,NOUN,0.025974025974025972
241,section,3,NOUN,0.025974025974025972
1043,house,3,NOUN,0.025974025974025972
1429,complaint,3,NOUN,0.025974025974025972
982,system,3,NOUN,0.025974025974025972
1008,compensation,3,NOUN,0.025974025974025972
307,seasons,3,NOUN,0.025974025974025972
553,communication,3,NOUN,0.025974025974025972
213,problem,3,NOUN,0.025974025974025972
211,hires,3,NOUN,0.025974025974025972
960,advancement,3,NOUN,0.025974025974025972
614,feet,3,NOUN,0.025974025974025972
947,growth,3,NOUN,0.025974025974025972
617,something,3,NOUN,0.025974025974025972
546,career,3,NOUN,0.025974025974025972
208,training,3,NOUN,0.025974025974025972
