,name,count,pos,norm
85,work,10,NOUN,1.0
15,hours,9,NOUN,0.8888888888888888
59,managers,6,NOUN,0.5555555555555556
44,make,6,NOUN,0.5555555555555556
38,management,6,NOUN,0.5555555555555556
4,employees,5,NOUN,0.4444444444444445
11,pay,5,NOUN,0.4444444444444445
20,servers,5,NOUN,0.4444444444444445
199,company,5,NOUN,0.4444444444444445
136,tips,4,NOUN,0.3333333333333333
157,tip,4,NOUN,0.3333333333333333
186,times,4,NOUN,0.3333333333333333
23,amp,4,NOUN,0.3333333333333333
18,customers,4,NOUN,0.3333333333333333
14,restaurant,4,NOUN,0.3333333333333333
122,guests,4,NOUN,0.3333333333333333
53,people,3,NOUN,0.2222222222222222
220,breaks,3,NOUN,0.2222222222222222
141,table,3,NOUN,0.2222222222222222
89,others,3,NOUN,0.2222222222222222
237,shifts,3,NOUN,0.2222222222222222
79,day,3,NOUN,0.2222222222222222
193,hour,3,NOUN,0.2222222222222222
55,things,3,NOUN,0.2222222222222222
83,lot,3,NOUN,0.2222222222222222
129,location,3,NOUN,0.2222222222222222
7,server,3,NOUN,0.2222222222222222
271,month,3,NOUN,0.2222222222222222
169,anything,3,NOUN,0.2222222222222222
34,time,3,NOUN,0.2222222222222222
260,total,2,NOUN,0.1111111111111111
124,food,2,NOUN,0.1111111111111111
319,thing,2,NOUN,0.1111111111111111
113,favoritism,2,NOUN,0.1111111111111111
26,need,2,NOUN,0.1111111111111111
142,job,2,NOUN,0.1111111111111111
386,environment,2,NOUN,0.1111111111111111
365,care,2,NOUN,0.1111111111111111
290,restaurants,2,NOUN,0.1111111111111111
50,jobs,2,NOUN,0.1111111111111111
41,staff,2,NOUN,0.1111111111111111
335,smoke,2,NOUN,0.1111111111111111
47,shift,2,NOUN,0.1111111111111111
48,customer,2,NOUN,0.1111111111111111
158,nothing,2,NOUN,0.1111111111111111
73,needy,2,NOUN,0.1111111111111111
72,guest,2,NOUN,0.1111111111111111
196,sales,2,NOUN,0.1111111111111111
298,problem,2,NOUN,0.1111111111111111
49,service,2,NOUN,0.1111111111111111
130,foreigners,2,NOUN,0.1111111111111111
328,years,1,NOUN,0.0
330,walk,1,NOUN,0.0
323,ccf,1,NOUN,0.0
327,dollar,1,NOUN,0.0
0,price,1,NOUN,0.0
322,privileges,1,NOUN,0.0
317,number,1,NOUN,0.0
316,rate,1,NOUN,0.0
314,waves,1,NOUN,0.0
310,butt,1,NOUN,0.0
308,list,1,NOUN,0.0
306,difference,1,NOUN,0.0
305,contribute,1,NOUN,0.0
303,mission,1,NOUN,0.0
302,cheesecake,1,NOUN,0.0
291,experience,1,NOUN,0.0
