,name,count,pos,norm
1,management,15,NOUN,1.0
15,hours,14,NOUN,0.9285714285714286
85,work,8,NOUN,0.5
194,managers,5,NOUN,0.2857142857142857
154,times,5,NOUN,0.2857142857142857
65,schedule,5,NOUN,0.2857142857142857
220,server,5,NOUN,0.2857142857142857
88,staff,5,NOUN,0.2857142857142857
107,time,5,NOUN,0.2857142857142857
142,place,4,NOUN,0.21428571428571427
104,life,4,NOUN,0.21428571428571427
69,restaurant,4,NOUN,0.21428571428571427
64,job,4,NOUN,0.21428571428571427
236,food,4,NOUN,0.21428571428571427
40,people,4,NOUN,0.21428571428571427
116,pay,3,NOUN,0.14285714285714285
149,nights,3,NOUN,0.14285714285714285
196,favorites,3,NOUN,0.14285714285714285
206,make,3,NOUN,0.14285714285714285
207,money,3,NOUN,0.14285714285714285
137,servers,3,NOUN,0.14285714285714285
105,move,3,NOUN,0.14285714285714285
221,customers,3,NOUN,0.14285714285714285
3,company,3,NOUN,0.14285714285714285
231,run,3,NOUN,0.14285714285714285
251,end,3,NOUN,0.14285714285714285
31,workers,3,NOUN,0.14285714285714285
7,lack,3,NOUN,0.14285714285714285
282,lots,3,NOUN,0.14285714285714285
223,mistakes,2,NOUN,0.07142857142857142
386,line,2,NOUN,0.07142857142857142
406,station,2,NOUN,0.07142857142857142
401,glasses,2,NOUN,0.07142857142857142
123,environment,2,NOUN,0.07142857142857142
134,manager,2,NOUN,0.07142857142857142
400,plates,2,NOUN,0.07142857142857142
147,quality,2,NOUN,0.07142857142857142
399,bussers,2,NOUN,0.07142857142857142
184,fire,2,NOUN,0.07142857142857142
287,breaks,2,NOUN,0.07142857142857142
284,watch,2,NOUN,0.07142857142857142
222,kitchen,2,NOUN,0.07142857142857142
277,years,2,NOUN,0.07142857142857142
204,night,2,NOUN,0.07142857142857142
272,hostess,2,NOUN,0.07142857142857142
264,days,2,NOUN,0.07142857142857142
253,weekends,2,NOUN,0.07142857142857142
227,restaurants,2,NOUN,0.07142857142857142
112,gratuity,2,NOUN,0.07142857142857142
0,disorganization,2,NOUN,0.07142857142857142
218,downside,2,NOUN,0.07142857142857142
67,requirements,2,NOUN,0.07142857142857142
35,hold,2,NOUN,0.07142857142857142
43,wages,2,NOUN,0.07142857142857142
90,dependents,2,NOUN,0.07142857142857142
5,basis,2,NOUN,0.07142857142857142
37,need,2,NOUN,0.07142857142857142
2,issues,2,NOUN,0.07142857142857142
83,range,2,NOUN,0.07142857142857142
