,name,count,pos,norm
2,great,127,NOUN,1.0
5,work,111,NOUN,0.873015873015873
110,good,103,NOUN,0.8095238095238095
16,food,71,NOUN,0.5555555555555556
19,money,63,NOUN,0.4920634920634921
154,people,55,NOUN,0.4285714285714286
102,schedule,43,NOUN,0.33333333333333337
144,fun,37,NOUN,0.2857142857142857
23,staff,35,NOUN,0.2698412698412699
119,hours,33,NOUN,0.25396825396825395
26,get,33,NOUN,0.25396825396825395
164,restaurant,30,NOUN,0.23015873015873015
182,pay,29,NOUN,0.2222222222222222
52,time,29,NOUN,0.2222222222222222
200,benefits,28,NOUN,0.21428571428571427
114,coworkers,27,NOUN,0.20634920634920634
3,company,26,NOUN,0.1984126984126984
49,job,26,NOUN,0.1984126984126984
228,environment,26,NOUN,0.1984126984126984
170,co,25,NOUN,0.19047619047619047
248,shifts,25,NOUN,0.19047619047619047
202,cheesecake,25,NOUN,0.19047619047619047
163,working,24,NOUN,0.18253968253968253
73,tips,24,NOUN,0.18253968253968253
172,workers,23,NOUN,0.1746031746031746
129,nice,23,NOUN,0.1746031746031746
448,training,23,NOUN,0.1746031746031746
80,managers,22,NOUN,0.16666666666666666
195,lot,21,NOUN,0.15873015873015872
318,management,17,NOUN,0.12698412698412698
317,employee,14,NOUN,0.10317460317460317
120,employees,14,NOUN,0.10317460317460317
266,place,14,NOUN,0.10317460317460317
350,server,13,NOUN,0.09523809523809523
214,discount,13,NOUN,0.09523809523809523
582,opportunities,13,NOUN,0.09523809523809523
9,scheduling,13,NOUN,0.09523809523809523
146,atmosphere,12,NOUN,0.0873015873015873
29,shift,12,NOUN,0.0873015873015873
356,team,12,NOUN,0.0873015873015873
539,location,12,NOUN,0.0873015873015873
32,meal,11,NOUN,0.07936507936507936
445,days,11,NOUN,0.07936507936507936
140,soup,11,NOUN,0.07936507936507936
471,move,10,NOUN,0.07142857142857142
391,part,10,NOUN,0.07142857142857142
290,volume,10,NOUN,0.07142857142857142
160,experience,10,NOUN,0.07142857142857142
50,lots,10,NOUN,0.07142857142857142
121,menu,10,NOUN,0.07142857142857142
112,friends,10,NOUN,0.07142857142857142
57,love,10,NOUN,0.07142857142857142
205,bread,10,NOUN,0.07142857142857142
259,family,9,NOUN,0.06349206349206349
634,factory,9,NOUN,0.06349206349206349
322,room,9,NOUN,0.06349206349206349
175,business,9,NOUN,0.06349206349206349
550,pick,9,NOUN,0.06349206349206349
276,meals,9,NOUN,0.06349206349206349
155,servers,8,NOUN,0.05555555555555555
227,teamwork,8,NOUN,0.05555555555555555
434,day,8,NOUN,0.05555555555555555
475,school,8,NOUN,0.05555555555555555
387,amp,8,NOUN,0.05555555555555555
584,advancement,8,NOUN,0.05555555555555555
455,opportunity,8,NOUN,0.05555555555555555
705,customers,8,NOUN,0.05555555555555555
476,schedules,7,NOUN,0.047619047619047616
570,pros,7,NOUN,0.047619047619047616
561,tables,7,NOUN,0.047619047619047616
576,meet,7,NOUN,0.047619047619047616
518,guests,6,NOUN,0.03968253968253968
35,manager,6,NOUN,0.03968253968253968
