,name,count,pos,norm
33,work,18,NOUN,0.9444444444444444
21,food,16,NOUN,0.8333333333333333
81,get,12,NOUN,0.611111111111111
141,people,11,NOUN,0.5555555555555555
68,money,9,NOUN,0.4444444444444444
110,schedule,7,NOUN,0.33333333333333326
44,amp,7,NOUN,0.33333333333333326
1,fun,6,NOUN,0.2777777777777778
106,shifts,6,NOUN,0.2777777777777778
222,hours,6,NOUN,0.2777777777777778
97,time,6,NOUN,0.2777777777777778
287,cheesecake,6,NOUN,0.2777777777777778
38,staff,6,NOUN,0.2777777777777778
150,shift,6,NOUN,0.2777777777777778
272,company,5,NOUN,0.22222222222222224
210,lot,5,NOUN,0.22222222222222224
335,restaurant,5,NOUN,0.22222222222222224
78,pay,5,NOUN,0.22222222222222224
18,training,5,NOUN,0.22222222222222224
101,scheduling,5,NOUN,0.22222222222222224
6,co,4,NOUN,0.16666666666666666
2,environment,4,NOUN,0.16666666666666666
298,experience,4,NOUN,0.16666666666666666
56,employees,4,NOUN,0.16666666666666666
178,days,4,NOUN,0.16666666666666666
4,tips,4,NOUN,0.16666666666666666
148,tables,4,NOUN,0.16666666666666666
39,managers,4,NOUN,0.16666666666666666
271,move,4,NOUN,0.16666666666666666
406,fact,3,NOUN,0.1111111111111111
213,location,3,NOUN,0.1111111111111111
350,restaurants,3,NOUN,0.1111111111111111
254,part,3,NOUN,0.1111111111111111
268,lots,3,NOUN,0.1111111111111111
122,industry,3,NOUN,0.1111111111111111
185,servers,3,NOUN,0.1111111111111111
113,benefits,3,NOUN,0.1111111111111111
41,atmosphere,3,NOUN,0.1111111111111111
192,health,2,NOUN,0.05555555555555555
181,way,2,NOUN,0.05555555555555555
179,sales,2,NOUN,0.05555555555555555
175,check,2,NOUN,0.05555555555555555
200,fellow,2,NOUN,0.05555555555555555
204,employee,2,NOUN,0.05555555555555555
157,clientele,2,NOUN,0.05555555555555555
329,management,2,NOUN,0.05555555555555555
226,day,2,NOUN,0.05555555555555555
206,menu,2,NOUN,0.05555555555555555
491,alot,2,NOUN,0.05555555555555555
216,job,2,NOUN,0.05555555555555555
333,quality,2,NOUN,0.05555555555555555
346,place,2,NOUN,0.05555555555555555
151,locations,2,NOUN,0.05555555555555555
282,coworkers,2,NOUN,0.05555555555555555
344,pick,2,NOUN,0.05555555555555555
300,manager,2,NOUN,0.05555555555555555
307,side,2,NOUN,0.05555555555555555
318,flexibility,2,NOUN,0.05555555555555555
321,server,2,NOUN,0.05555555555555555
326,school,2,NOUN,0.05555555555555555
280,team,2,NOUN,0.05555555555555555
269,opportunities,2,NOUN,0.05555555555555555
12,comparison,2,NOUN,0.05555555555555555
92,nights,2,NOUN,0.05555555555555555
80,wage,2,NOUN,0.05555555555555555
115,building,2,NOUN,0.05555555555555555
127,gm,2,NOUN,0.05555555555555555
50,volume,2,NOUN,0.05555555555555555
130,workers,2,NOUN,0.05555555555555555
134,reason,2,NOUN,0.05555555555555555
24,travel,2,NOUN,0.05555555555555555
403,brunch,1,NOUN,0.0
391,flow,1,NOUN,0.0
393,soup,1,NOUN,0.0
394,bread,1,NOUN,0.0
396,business,1,NOUN,0.0
398,name,1,NOUN,0.0
390,morale,1,NOUN,0.0
155,tourist,1,NOUN,0.0
11,salary,1,NOUN,0.0
405,love,1,NOUN,0.0
385,kitchen,1,NOUN,0.0
407,cities,1,NOUN,0.0
410,ccf,1,NOUN,0.0
412,hr,1,NOUN,0.0
424,service,1,NOUN,0.0
386,friendships,1,NOUN,0.0
380,emphasis,1,NOUN,0.0
384,store,1,NOUN,0.0
360,example,1,NOUN,0.0
13,companies,1,NOUN,0.0
349,stimulation,1,NOUN,0.0
352,jobs,1,NOUN,0.0
355,runners,1,NOUN,0.0
356,care,1,NOUN,0.0
359,ketchups,1,NOUN,0.0
362,responsibilities,1,NOUN,0.0
382,relations,1,NOUN,0.0
369,everything,1,NOUN,0.0
370,life,1,NOUN,0.0
374,stores,1,NOUN,0.0
378,college,1,NOUN,0.0
426,leader,1,NOUN,0.0
381,guest,1,NOUN,0.0
425,wheel,1,NOUN,0.0
431,attention,1,NOUN,0.0
430,sector,1,NOUN,0.0
484,recieve,1,NOUN,0.0
468,meet,1,NOUN,0.0
469,kinds,1,NOUN,0.0
474,voice,1,NOUN,0.0
475,interest,1,NOUN,0.0
477,position,1,NOUN,0.0
481,family,1,NOUN,0.0
482,reasons,1,NOUN,0.0
485,anything,1,NOUN,0.0
20,programthe,1,NOUN,0.0
8,workersgood,1,NOUN,0.0
493,group,1,NOUN,0.0
494,responsibility,1,NOUN,0.0
498,room,1,NOUN,0.0
499,growth,1,NOUN,0.0
502,trainer,1,NOUN,0.0
503,opportunity,1,NOUN,0.0
464,everyone,1,NOUN,0.0
462,expectations,1,NOUN,0.0
461,exceed,1,NOUN,0.0
458,touch,1,NOUN,0.0
432,detail,1,NOUN,0.0
433,operations,1,NOUN,0.0
438,facilities,1,NOUN,0.0
439,perks,1,NOUN,0.0
440,fountain,1,NOUN,0.0
441,soda,1,NOUN,0.0
442,machines,1,NOUN,0.0
444,dining,1,NOUN,0.0
445,credit,1,NOUN,0.0
446,perk,1,NOUN,0.0
449,efforts,1,NOUN,0.0
452,activities,1,NOUN,0.0
453,picnics,1,NOUN,0.0
454,holiday,1,NOUN,0.0
455,parties,1,NOUN,0.0
345,stafffast,1,NOUN,0.0
332,customers,1,NOUN,0.0
343,schedules,1,NOUN,0.0
214,weekend,1,NOUN,0.0
221,summer,1,NOUN,0.0
103,use,1,NOUN,0.0
95,meal,1,NOUN,0.0
230,morning,1,NOUN,0.0
231,end,1,NOUN,0.0
233,clock,1,NOUN,0.0
234,rush,1,NOUN,0.0
235,hour,1,NOUN,0.0
236,til,1,NOUN,0.0
238,afternoon,1,NOUN,0.0
242,midnight,1,NOUN,0.0
243,pm,1,NOUN,0.0
248,season,1,NOUN,0.0
252,stress,1,NOUN,0.0
93,weekends,1,NOUN,0.0
105,switch,1,NOUN,0.0
108,code,1,NOUN,0.0
341,requests,1,NOUN,0.0
212,friends,1,NOUN,0.0
147,amount,1,NOUN,0.0
173,hope,1,NOUN,0.0
128,level,1,NOUN,0.0
183,members,1,NOUN,0.0
121,rest,1,NOUN,0.0
187,sidework,1,NOUN,0.0
119,gosalaries,1,NOUN,0.0
193,insurancegood,1,NOUN,0.0
199,camaraderie,1,NOUN,0.0
201,trenches,1,NOUN,0.0
114,relationship,1,NOUN,0.0
205,break,1,NOUN,0.0
111,flexibilitygreat,1,NOUN,0.0
208,coworkerseasy,1,NOUN,0.0
109,followbenefits,1,NOUN,0.0
255,solution,1,NOUN,0.0
257,problem,1,NOUN,0.0
259,healthcare,1,NOUN,0.0
261,course,1,NOUN,0.0
305,saturdays,1,NOUN,0.0
51,establishment,1,NOUN,0.0
312,find,1,NOUN,0.0
313,coworker,1,NOUN,0.0
314,chef,1,NOUN,0.0
316,execute,1,NOUN,0.0
319,person,1,NOUN,0.0
47,products,1,NOUN,0.0
323,factory,1,NOUN,0.0
46,beverage,1,NOUN,0.0
328,factories,1,NOUN,0.0
31,enviromnet,1,NOUN,0.0
330,poor,1,NOUN,0.0
156,foreigner,1,NOUN,0.0
22,guests,1,NOUN,0.0
301,toss,1,NOUN,0.0
53,generate,1,NOUN,0.0
59,ones,1,NOUN,0.0
278,results,1,NOUN,0.0
262,reviews,1,NOUN,0.0
265,foods,1,NOUN,0.0
90,something,1,NOUN,0.0
86,gift,1,NOUN,0.0
84,cheesecakes,1,NOUN,0.0
