,name,count,pos,norm
0,great company work,2,,1.0
206,flexible hours friendly,2,,1.0
101,make decent money,2,,1.0
341,great people work,2,,1.0
191,pay fast paced,2,,1.0
434,promotionslearned lot skills,1,,0.0
429,good clientel scheduling,1,,0.0
430,clientel scheduling software,1,,0.0
431,scheduling software room,1,,0.0
432,software room promotionslearned,1,,0.0
433,room promotionslearned lot,1,,0.0
435,lot skills enabled,1,,0.0
427,management generally good,1,,0.0
436,skills enabled successfully,1,,0.0
437,enabled successfully utilize,1,,0.0
438,successfully utilize even,1,,0.0
439,utilize even manufacturing,1,,0.0
440,even manufacturing distributionguests,1,,0.0
441,manufacturing distributionguests brand,1,,0.0
442,distributionguests brand loyalty,1,,0.0
443,brand loyalty work,1,,0.0
428,generally good clientel,1,,0.0
426,great management generally,1,,0.0
445,work busy store,1,,0.0
416,jobs ever great,1,,0.0
409,hand best coworkers,1,,0.0
410,best coworkers around,1,,0.0
411,coworkers around one,1,,0.0
412,around one best,1,,0.0
413,one best serving,1,,0.0
414,best serving jobs,1,,0.0
415,serving jobs ever,1,,0.0
417,ever great people,1,,0.0
425,teamwork great management,1,,0.0
418,people work withthe,1,,0.0
419,work withthe people,1,,0.0
420,withthe people culture,1,,0.0
421,people culture amazing,1,,0.0
422,culture amazing employee,1,,0.0
423,amazing employee teamwork,1,,0.0
424,employee teamwork great,1,,0.0
444,loyalty work busy,1,,0.0
446,busy store huge,1,,0.0
407,simple cash hand,1,,0.0
475,staffflexible schedule team,1,,0.0
468,weekends fast paced,1,,0.0
469,fast paced usually,1,,0.0
470,paced usually good,1,,0.0
471,usually good money,1,,0.0
472,good money friendly,1,,0.0
473,money friendly staffflexible,1,,0.0
474,friendly staffflexible schedule,1,,0.0
476,schedule team oriented,1,,0.0
466,feel overworked weekends,1,,0.0
477,team oriented coworkers,1,,0.0
478,oriented coworkers easy,1,,0.0
479,coworkers easy w2,1,,0.0
480,easy w2 access,1,,0.0
481,w2 access early,1,,0.0
482,access early schedule,1,,0.0
483,early schedule release,1,,0.0
467,overworked weekends fast,1,,0.0
465,currently feel overworked,1,,0.0
447,store huge variety,1,,0.0
455,two bill check,1,,0.0
448,huge variety menu,1,,0.0
449,variety menu brings,1,,0.0
450,menu brings everyone,1,,0.0
451,brings everyone add,1,,0.0
452,everyone add slice,1,,0.0
453,add slice two,1,,0.0
454,slice two bill,1,,0.0
456,bill check average,1,,0.0
464,schedule currently feel,1,,0.0
457,check average goes,1,,0.0
458,average goes past,1,,0.0
459,goes past server,1,,0.0
460,past server flexible,1,,0.0
461,server flexible friendly,1,,0.0
462,flexible friendly schedule,1,,0.0
463,friendly schedule currently,1,,0.0
408,cash hand best,1,,0.0
406,shifts simple cash,1,,0.0
485,release discounted food,1,,0.0
405,picking shifts simple,1,,0.0
348,busy nights always,1,,0.0
349,nights always busy,1,,0.0
350,always busy good,1,,0.0
351,busy good benefits,1,,0.0
352,good benefits free,1,,0.0
353,benefits free meals,1,,0.0
354,free meals longer,1,,0.0
355,meals longer shifts,1,,0.0
356,longer shifts fed,1,,0.0
357,shifts fed well,1,,0.0
358,fed well good,1,,0.0
359,well good food,1,,0.0
360,good food eat,1,,0.0
361,food eat time,1,,0.0
362,eat time allowed,1,,0.0
363,time allowed restaurants,1,,0.0
364,allowed restaurants beautiful,1,,0.0
347,usually busy nights,1,,0.0
346,good usually busy,1,,0.0
345,pretty good usually,1,,0.0
334,employees awesome cool,1,,0.0
327,co workers structure,1,,0.0
328,workers structure well,1,,0.0
329,structure well organized,1,,0.0
330,well organized systems,1,,0.0
331,organized systems place,1,,0.0
332,systems place employees,1,,0.0
333,place employees awesome,1,,0.0
335,awesome cool people,1,,0.0
344,food pretty good,1,,0.0
336,cool people make,1,,0.0
337,people make decent,1,,0.0
338,decent money times,1,,0.0
339,money times great,1,,0.0
340,times great people,1,,0.0
342,people work food,1,,0.0
343,work food pretty,1,,0.0
365,restaurants beautiful clientele,1,,0.0
366,beautiful clientele late,1,,0.0
367,clientele late night,1,,0.0
396,food good tips,1,,0.0
389,bartender food runnergood,1,,0.0
390,food runnergood tips,1,,0.0
391,runnergood tips open,1,,0.0
392,tips open cross,1,,0.0
393,open cross traininggood,1,,0.0
394,cross traininggood food,1,,0.0
395,traininggood food good,1,,0.0
397,good tips diverse,1,,0.0
387,tips busser bartender,1,,0.0
398,tips diverse co,1,,0.0
399,diverse co workersflexible,1,,0.0
400,co workersflexible hours,1,,0.0
401,workersflexible hours trading,1,,0.0
402,hours trading dropping,1,,0.0
403,trading dropping picking,1,,0.0
404,dropping picking shifts,1,,0.0
388,busser bartender food,1,,0.0
386,share tips busser,1,,0.0
368,late night joke,1,,0.0
376,friendly co workers,1,,0.0
369,night joke reputable,1,,0.0
370,joke reputable name,1,,0.0
371,reputable name brand,1,,0.0
372,name brand 50,1,,0.0
373,brand 50 discount,1,,0.0
374,50 discount friendly,1,,0.0
375,discount friendly co,1,,0.0
377,co workers flexible,1,,0.0
385,people share tips,1,,0.0
378,workers flexible hourshigh,1,,0.0
379,flexible hourshigh volume,1,,0.0
380,hourshigh volume good,1,,0.0
381,volume good tips,1,,0.0
382,good tips 3,1,,0.0
383,tips 3 people,1,,0.0
384,3 people share,1,,0.0
484,schedule release discounted,1,,0.0
486,discounted food much,1,,0.0
325,family feeling co,1,,0.0
567,200 item menu,1,,0.0
589,actually works restaurant,1,,0.0
590,works restaurant several,1,,0.0
591,restaurant several interesting,1,,0.0
592,several interesting team,1,,0.0
593,interesting team activities,1,,0.0
594,team activities outside,1,,0.0
595,activities outside work,1,,0.0
596,outside work manager,1,,0.0
597,work manager general,1,,0.0
598,manager general try,1,,0.0
599,general try motivate,1,,0.0
600,try motivate employee,1,,0.0
601,motivate employee several,1,,0.0
602,employee several ways,1,,0.0
603,several ways like,1,,0.0
604,ways like competitions,1,,0.0
605,like competitions others,1,,0.0
588,work actually works,1,,0.0
587,team work actually,1,,0.0
586,work team work,1,,0.0
576,hit full time,1,,0.0
569,menu really sanitary,1,,0.0
570,really sanitary environment,1,,0.0
571,sanitary environment health,1,,0.0
572,environment health benefit,1,,0.0
573,health benefit options,1,,0.0
574,benefit options hit,1,,0.0
575,options hit full,1,,0.0
577,full time great,1,,0.0
585,ready work team,1,,0.0
578,time great employee,1,,0.0
579,great employee incentivesall,1,,0.0
580,employee incentivesall necessary,1,,0.0
581,incentivesall necessary equipment,1,,0.0
582,necessary equipment always,1,,0.0
583,equipment always ready,1,,0.0
584,always ready work,1,,0.0
606,competitions others low,1,,0.0
607,others low season,1,,0.0
