,name,count,pos,norm
189,fast paced,4,,1.0
166,co workers,4,,1.0
255,good food,4,,1.0
203,flexible hours,4,,1.0
250,people work,4,,1.0
273,great people,4,,1.0
70,money great,3,,0.6666666666666667
69,great money,3,,0.6666666666666667
1,company work,3,,0.6666666666666667
0,great company,3,,0.6666666666666667
25,free meal,3,,0.6666666666666667
101,make decent,3,,0.6666666666666667
173,food good,3,,0.6666666666666667
102,decent money,3,,0.6666666666666667
328,work food,3,,0.6666666666666667
842,money good,2,,0.3333333333333333
682,great benefits,2,,0.3333333333333333
124,coworkers nice,2,,0.3333333333333333
888,benefits really,2,,0.3333333333333333
335,always busy,2,,0.3333333333333333
155,host staff,2,,0.3333333333333333
211,scheduling free,2,,0.3333333333333333
336,busy good,2,,0.3333333333333333
468,good pay,2,,0.3333333333333333
337,good benefits,2,,0.3333333333333333
764,paced environment,2,,0.3333333333333333
307,great friends,2,,0.3333333333333333
188,pay fast,2,,0.3333333333333333
204,hours friendly,2,,0.3333333333333333
56,work hard,2,,0.3333333333333333
740,flexibility schedule,2,,0.3333333333333333
330,pretty good,2,,0.3333333333333333
500,flexible work,2,,0.3333333333333333
5,flexible scheduling,2,,0.3333333333333333
636,like family,2,,0.3333333333333333
365,good tips,2,,0.3333333333333333
135,free soup,2,,0.3333333333333333
11,food taste,2,,0.3333333333333333
200,money short,2,,0.3333333333333333
515,make great,2,,0.3333333333333333
256,food flexible,2,,0.3333333333333333
518,time great,2,,0.3333333333333333
253,friendly environment,2,,0.3333333333333333
21,discounted food,2,,0.3333333333333333
505,high volume,2,,0.3333333333333333
54,great staff,2,,0.3333333333333333
669,anywhereflexible schedule,1,,0.0
667,advance move,1,,0.0
666,room advance,1,,0.0
670,schedule staff,1,,0.0
665,lots room,1,,0.0
671,staff honest,1,,0.0
664,care lots,1,,0.0
668,move anywhereflexible,1,,0.0
663,take care,1,,0.0
652,good people,1,,0.0
662,work take,1,,0.0
646,feel like,1,,0.0
633,schedulesgreat benefits,1,,0.0
634,benefits fun,1,,0.0
635,fun like,1,,0.0
637,family many,1,,0.0
638,many ups,1,,0.0
639,ups downs,1,,0.0
640,downs find,1,,0.0
641,find coworkers,1,,0.0
642,coworkers get,1,,0.0
643,get along,1,,0.0
644,along really,1,,0.0
645,really feel,1,,0.0
647,like familythe,1,,0.0
661,betterbenefits great,1,,0.0
648,familythe store,1,,0.0
649,store busy,1,,0.0
650,busy many,1,,0.0
651,many good,1,,0.0
653,food scratch,1,,0.0
654,scratch kitchen,1,,0.0
655,kitchen variety,1,,0.0
656,variety huge,1,,0.0
657,huge good,1,,0.0
658,good medical,1,,0.0
659,medical use,1,,0.0
660,use betterbenefits,1,,0.0
672,honest hard,1,,0.0
683,benefits package,1,,0.0
673,hard working,1,,0.0
674,working people,1,,0.0
705,everyone various,1,,0.0
706,various sections,1,,0.0
707,sections gets,1,,0.0
708,gets along,1,,0.0
709,along great,1,,0.0
710,great immediate,1,,0.0
711,immediate teams,1,,0.0
712,teams always,1,,0.0
713,always someting,1,,0.0
714,someting take,1,,0.0
715,take training,1,,0.0
716,training standards,1,,0.0
717,standards new,1,,0.0
718,new heights,1,,0.0
719,heights lots,1,,0.0
720,lots perks,1,,0.0
721,perks 5,1,,0.0
722,5 cheesecake,1,,0.0
723,cheesecake sales,1,,0.0
724,sales summer,1,,0.0
725,summer picnic,1,,0.0
726,picnic christmas,1,,0.0
727,christmas parties,1,,0.0
728,parties catered,1,,0.0
729,catered lunches,1,,0.0
704,workgroups everyone,1,,0.0
703,great workgroups,1,,0.0
702,benefits great,1,,0.0
688,volume restaurant,1,,0.0
675,people promote,1,,0.0
676,promote teamwork,1,,0.0
677,teamwork work,1,,0.0
678,work job,1,,0.0
679,job school,1,,0.0
680,school schedules,1,,0.0
681,schedules great,1,,0.0
684,package ft,1,,0.0
685,ft pt,1,,0.0
686,pt employees,1,,0.0
687,employees high,1,,0.0
