,name,count,pos,norm
102,cheesecake factory,30,,1.0
46,fast paced,27,,0.896551724137931
254,flexible schedule,25,,0.8275862068965517
267,co workers,24,,0.7931034482758621
71,great company,22,,0.7241379310344828
540,company work,20,,0.6551724137931035
90,great money,20,,0.6551724137931035
84,always busy,19,,0.6206896551724138
1260,good money,19,,0.6206896551724138
56,place work,18,,0.5862068965517242
402,work environment,16,,0.5172413793103449
189,flexible hours,15,,0.4827586206896552
343,great tips,13,,0.41379310344827586
458,good benefits,13,,0.41379310344827586
11,management team,12,,0.3793103448275862
99,management great,12,,0.3793103448275862
240,great benefits,11,,0.3448275862068965
43,hard work,11,,0.3448275862068965
55,great place,11,,0.3448275862068965
48,environment great,11,,0.3448275862068965
309,great management,11,,0.3448275862068965
201,people work,10,,0.3103448275862069
260,company great,10,,0.3103448275862069
224,flexible scheduling,10,,0.3103448275862069
89,food great,10,,0.3103448275862069
528,customer service,10,,0.3103448275862069
88,great food,9,,0.27586206896551724
1442,schedule great,9,,0.27586206896551724
2027,work schedule,9,,0.27586206896551724
464,health benefits,9,,0.27586206896551724
63,good pay,9,,0.27586206896551724
646,work great,9,,0.27586206896551724
605,within company,8,,0.24137931034482757
19,great work,8,,0.24137931034482757
450,great training,8,,0.24137931034482757
7,make money,8,,0.24137931034482757
345,great team,8,,0.24137931034482757
180,great people,8,,0.24137931034482757
222,loved working,8,,0.24137931034482757
801,room growth,7,,0.2068965517241379
591,staff great,7,,0.2068965517241379
429,opportunities move,7,,0.2068965517241379
69,like family,7,,0.2068965517241379
248,hours good,7,,0.2068965517241379
382,working cheesecake,7,,0.2068965517241379
204,benefits great,7,,0.2068965517241379
342,great environment,7,,0.2068965517241379
446,flexible work,7,,0.2068965517241379
261,great staff,7,,0.2068965517241379
636,money great,7,,0.2068965517241379
1321,atmosphere great,7,,0.2068965517241379
249,good work,6,,0.1724137931034483
44,work fun,6,,0.1724137931034483
557,good management,6,,0.1724137931034483
292,great pay,6,,0.1724137931034483
293,pay good,6,,0.1724137931034483
47,paced environment,6,,0.1724137931034483
344,tips great,6,,0.1724137931034483
2326,pay great,5,,0.13793103448275862
629,always something,5,,0.13793103448275862
154,one best,5,,0.13793103448275862
2482,fun environment,5,,0.13793103448275862
1276,hours great,5,,0.13793103448275862
430,move company,5,,0.13793103448275862
1959,work good,5,,0.13793103448275862
1372,working company,5,,0.13793103448275862
1827,willing work,5,,0.13793103448275862
2752,busy great,5,,0.13793103448275862
990,management always,5,,0.13793103448275862
173,make good,5,,0.13793103448275862
1416,decent tips,5,,0.13793103448275862
579,good food,5,,0.13793103448275862
50,part time,5,,0.13793103448275862
1529,benefits good,5,,0.13793103448275862
266,great co,5,,0.13793103448275862
509,every shift,5,,0.13793103448275862
277,team oriented,5,,0.13793103448275862
251,life balance,5,,0.13793103448275862
250,work life,5,,0.13793103448275862
406,family environment,5,,0.13793103448275862
2472,free food,5,,0.13793103448275862
923,always willing,5,,0.13793103448275862
205,great coworkers,5,,0.13793103448275862
2148,side work,5,,0.13793103448275862
984,tips good,5,,0.13793103448275862
983,good tips,5,,0.13793103448275862
196,team environment,4,,0.10344827586206896
859,take care,4,,0.10344827586206896
271,work hours,4,,0.10344827586206896
922,managers always,4,,0.10344827586206896
2034,management staff,4,,0.10344827586206896
645,restaurant work,4,,0.10344827586206896
2189,pay flexible,4,,0.10344827586206896
864,work work,4,,0.10344827586206896
637,great managers,4,,0.10344827586206896
2067,good company,4,,0.10344827586206896
