,name,count,pos,norm
118,cheesecake factory,5,,1.0
483,money great,4,,0.75
314,flexible schedule,4,,0.75
83,always busy,4,,0.75
0,great training,3,,0.5
207,make great,3,,0.5
572,well organized,3,,0.5
25,co workers,3,,0.5
263,pretty laid,2,,0.25
264,laid back,2,,0.25
484,great co,2,,0.25
123,benefits offered,2,,0.25
482,decent money,2,,0.25
454,great people,2,,0.25
316,health benefits,2,,0.25
289,always plus,2,,0.25
497,within company,2,,0.25
241,fun environment,2,,0.25
688,full time,2,,0.25
153,work schedule,2,,0.25
523,work environment,2,,0.25
163,environment fun,2,,0.25
524,environment great,2,,0.25
611,people work,2,,0.25
467,really good,2,,0.25
535,training program,2,,0.25
213,6 months,2,,0.25
208,great tips,2,,0.25
6,great money,2,,0.25
472,hits menu,1,,0.0
489,great reputation,1,,0.0
539,time help,1,,0.0
485,workers good,1,,0.0
486,good manager,1,,0.0
487,manager support,1,,0.0
538,spends time,1,,0.0
488,support great,1,,0.0
490,reputation good,1,,0.0
473,menu always,1,,0.0
491,good insurance,1,,0.0
537,really spends,1,,0.0
492,insurance benefits,1,,0.0
493,benefits potential,1,,0.0
494,potential transferring,1,,0.0
470,new food,1,,0.0
540,help new,1,,0.0
541,new servers,1,,0.0
542,servers learn,1,,0.0
536,program really,1,,0.0
543,learn menu,1,,0.0
544,menu standards,1,,0.0
545,standards service,1,,0.0
481,pretty decent,1,,0.0
480,flexibility pretty,1,,0.0
479,schedule flexibility,1,,0.0
478,good schedule,1,,0.0
546,service expectations,1,,0.0
477,schedule good,1,,0.0
476,around schedule,1,,0.0
475,work around,1,,0.0
474,plus work,1,,0.0
471,food hits,1,,0.0
495,transferring movement,1,,0.0
529,great ambiance,1,,0.0
496,movement within,1,,0.0
528,fun work,1,,0.0
514,schedule extent,1,,0.0
532,boss great,1,,0.0
515,extent love,1,,0.0
516,love hotschedules,1,,0.0
517,hotschedules handle,1,,0.0
518,handle schedule,1,,0.0
519,schedule needs,1,,0.0
520,needs pay,1,,0.0
521,pay benefits,1,,0.0
522,benefits work,1,,0.0
531,great boss,1,,0.0
530,ambiance great,1,,0.0
525,people consistant,1,,0.0
526,consistant money,1,,0.0
527,training fun,1,,0.0
513,pick schedule,1,,0.0
512,restaurant pick,1,,0.0
511,possiblewith restaurant,1,,0.0
534,workersstrong training,1,,0.0
498,company locations,1,,0.0
499,locations best,1,,0.0
500,best company,1,,0.0
501,company ever,1,,0.0
502,ever worked,1,,0.0
503,worked really,1,,0.0
504,really care,1,,0.0
510,happy possiblewith,1,,0.0
505,care people,1,,0.0
506,people make,1,,0.0
469,sampling new,1,,0.0
508,sure staff,1,,0.0
533,co workersstrong,1,,0.0
509,staff happy,1,,0.0
507,make sure,1,,0.0
464,workers amazing,1,,0.0
468,good sampling,1,,0.0
398,strive perfection,1,,0.0
400,tips bellevue,1,,0.0
401,bellevue wa,1,,0.0
402,wa locationgreat,1,,0.0
403,locationgreat company,1,,0.0
404,company work,1,,0.0
405,work hospitality,1,,0.0
406,hospitality food,1,,0.0
407,food service,1,,0.0
408,service industry,1,,0.0
409,industry cheesecake,1,,0.0
410,factory allows,1,,0.0
411,allows students,1,,0.0
412,students make,1,,0.0
413,make plenty,1,,0.0
414,plenty money,1,,0.0
415,money flexible,1,,0.0
