,name,count,pos,norm
90,great food great,3,,1.0
47,fast paced environment,3,,1.0
56,great place work,2,,0.5
565,great environment good,2,,0.5
561,fast paced great,2,,0.5
359,great team work,2,,0.5
619,mostly positive work,1,,0.0
618,company mostly positive,1,,0.0
626,good pay nice,1,,0.0
620,positive work environment,1,,0.0
621,work environment formula,1,,0.0
622,environment formula works,1,,0.0
617,run company mostly,1,,0.0
623,formula works stick,1,,0.0
624,works stick good,1,,0.0
616,well run company,1,,0.0
625,stick good pay,1,,0.0
0,great far restaurants,1,,0.0
627,pay nice staff,1,,0.0
615,food well run,1,,0.0
629,staff great environmentculture,1,,0.0
630,great environmentculture good,1,,0.0
631,environmentculture good pay,1,,0.0
632,good pay bonus,1,,0.0
633,pay bonus pay,1,,0.0
634,bonus pay benefitssalary,1,,0.0
635,pay benefitssalary benefits,1,,0.0
636,benefitssalary benefits great,1,,0.0
637,benefits great around,1,,0.0
638,great around good,1,,0.0
639,around good structure,1,,0.0
628,nice staff great,1,,0.0
613,time good food,1,,0.0
614,good food well,1,,0.0
641,structure lots room,1,,0.0
588,part family good,1,,0.0
589,family good management,1,,0.0
590,good management solid,1,,0.0
591,management solid company,1,,0.0
592,solid company great,1,,0.0
593,company great hours,1,,0.0
594,great hours flexible,1,,0.0
595,hours flexible schedules,1,,0.0
596,flexible schedules room,1,,0.0
597,schedules room growthmanagers,1,,0.0
598,room growthmanagers co,1,,0.0
599,growthmanagers co workers,1,,0.0
600,co workers nicethe,1,,0.0
601,workers nicethe best,1,,0.0
602,nicethe best coworkers,1,,0.0
603,best coworkers ever,1,,0.0
604,coworkers ever honestly,1,,0.0
605,ever honestly managers,1,,0.0
606,honestly managers accomodating,1,,0.0
607,managers accomodating personal,1,,0.0
608,accomodating personal lives,1,,0.0
609,personal lives helpful,1,,0.0
610,lives helpful get,1,,0.0
611,helpful get time,1,,0.0
612,get time good,1,,0.0
640,good structure lots,1,,0.0
643,room advancement within,1,,0.0
642,lots room advancement,1,,0.0
686,beautiful restaurant great,1,,0.0
674,something always busy,1,,0.0
675,always busy people,1,,0.0
676,busy people make,1,,0.0
677,people make restaurant,1,,0.0
678,make restaurant workgreat,1,,0.0
679,restaurant workgreat money,1,,0.0
680,workgreat money great,1,,0.0
681,money great staff,1,,0.0
682,great staff great,1,,0.0
683,staff great managers,1,,0.0
684,great managers beautiful,1,,0.0
685,managers beautiful restaurant,1,,0.0
687,restaurant great food,1,,0.0
672,worked always something,1,,0.0
688,food great team,1,,0.0
689,great team environment,1,,0.0
690,team environment energetic,1,,0.0
691,environment energetic atmosphere,1,,0.0
692,energetic atmosphere room,1,,0.0
693,atmosphere room growthgreat,1,,0.0
694,room growthgreat restaurant,1,,0.0
695,growthgreat restaurant work,1,,0.0
696,restaurant work great,1,,0.0
697,work great place,1,,0.0
698,place work care,1,,0.0
699,work care staff,1,,0.0
673,always something always,1,,0.0
671,ever worked always,1,,0.0
586,feel like part,1,,0.0
656,sense family never,1,,0.0
644,advancement within company,1,,0.0
645,within company travel,1,,0.0
646,company travel opportunities,1,,0.0
647,travel opportunities pay,1,,0.0
648,opportunities pay raises,1,,0.0
649,pay raises great,1,,0.0
650,raises great company,1,,0.0
651,great company best,1,,0.0
652,company best money,1,,0.0
653,best money real,1,,0.0
654,money real sense,1,,0.0
655,real sense family,1,,0.0
657,family never day,1,,0.0
670,place ever worked,1,,0.0
658,never day without,1,,0.0
659,day without good,1,,0.0
660,without good morning,1,,0.0
661,good morning endearing,1,,0.0
662,morning endearing chats,1,,0.0
663,endearing chats great,1,,0.0
664,chats great team,1,,0.0
665,team work awesome,1,,0.0
666,work awesome managers,1,,0.0
667,awesome managers best,1,,0.0
668,managers best place,1,,0.0
669,best place ever,1,,0.0
587,like part family,1,,0.0
583,awesome place makes,1,,0.0
585,makes feel like,1,,0.0
498,course cheesecake training,1,,0.0
500,training top notch,1,,0.0
501,top notch allows,1,,0.0
502,notch allows become,1,,0.0
503,allows become confident,1,,0.0
504,become confident floor,1,,0.0
505,confident floor situation,1,,0.0
506,floor situation came,1,,0.0
507,situation came across,1,,0.0
508,came across covered,1,,0.0
509,across covered training,1,,0.0
510,covered training fair,1,,0.0
511,training fair compensation,1,,0.0
512,fair compensation good,1,,0.0
513,compensation good team,1,,0.0
514,good team support,1,,0.0
515,team support benefitsgreat,1,,0.0
516,support benefitsgreat money,1,,0.0
517,benefitsgreat money put,1,,0.0
518,money put effort,1,,0.0
519,put effort especially,1,,0.0
520,effort especially going,1,,0.0
521,especially going school,1,,0.0
522,going school depending,1,,0.0
523,school depending location,1,,0.0
524,depending location usually,1,,0.0
499,cheesecake training top,1,,0.0
497,great course cheesecake,1,,0.0
584,place makes feel,1,,0.0
496,food great course,1,,0.0
471,work school schedules,1,,0.0
472,school schedules great,1,,0.0
473,schedules great training,1,,0.0
474,great training program,1,,0.0
475,training program employee,1,,0.0
476,program employee discountsfriendly,1,,0.0
477,employee discountsfriendly environment,1,,0.0
478,discountsfriendly environment flexible,1,,0.0
479,environment flexible schedulefun,1,,0.0
480,flexible schedulefun good,1,,0.0
481,schedulefun good benefits,1,,0.0
482,good benefits promote,1,,0.0
