,name,count,pos,norm
56,great place work,7,,0.9999999999999999
47,fast paced environment,6,,0.8333333333333334
1603,flexible schedule great,5,,0.6666666666666666
928,great company work,5,,0.6666666666666666
1412,flexible hours great,4,,0.5
255,work life balance,4,,0.5
2391,work environment great,4,,0.5
90,great food great,4,,0.5
398,working cheesecake factory,4,,0.5
275,great co workers,3,,0.33333333333333337
359,great team work,3,,0.33333333333333337
1395,make good money,3,,0.33333333333333337
46,fun fast paced,3,,0.33333333333333337
312,cheesecake factory great,3,,0.33333333333333337
931,great work environment,3,,0.33333333333333337
561,fast paced great,3,,0.33333333333333337
560,environment fast paced,3,,0.33333333333333337
959,customer service skills,3,,0.33333333333333337
1646,good benefits great,3,,0.33333333333333337
3151,flexible work schedule,3,,0.33333333333333337
1710,good management team,3,,0.33333333333333337
357,great tips great,3,,0.33333333333333337
397,loved working cheesecake,3,,0.33333333333333337
3177,place work great,3,,0.33333333333333337
2536,great staff good,2,,0.16666666666666666
1258,flexible schedule plenty,2,,0.16666666666666666
91,food great money,2,,0.16666666666666666
1693,great friendly place,2,,0.16666666666666666
452,company flexible schedule,2,,0.16666666666666666
450,opportunities move company,2,,0.16666666666666666
1110,great management great,2,,0.16666666666666666
892,like promote within,2,,0.16666666666666666
260,schedule able request,2,,0.16666666666666666
69,feels like family,2,,0.16666666666666666
3452,work around schedule,2,,0.16666666666666666
681,money great staff,2,,0.16666666666666666
265,great company great,2,,0.16666666666666666
1026,rewarded hard work,2,,0.16666666666666666
3392,people work love,2,,0.16666666666666666
682,great staff great,2,,0.16666666666666666
2211,something done great,2,,0.16666666666666666
1016,free soup bread,2,,0.16666666666666666
873,great training great,2,,0.16666666666666666
3385,work good benefits,2,,0.16666666666666666
4279,co workers managers,2,,0.16666666666666666
866,plenty room growth,2,,0.16666666666666666
2354,good company work,2,,0.16666666666666666
847,open door policy,2,,0.16666666666666666
2663,great pay great,2,,0.16666666666666666
3272,co workers good,2,,0.16666666666666666
644,advancement within company,2,,0.16666666666666666
3396,work cheesecake factory,2,,0.16666666666666666
276,co workers fast,2,,0.16666666666666666
266,company great staff,2,,0.16666666666666666
1574,decent tips flexible,2,,0.16666666666666666
2191,good money always,2,,0.16666666666666666
1575,tips flexible scheduling,2,,0.16666666666666666
4452,get shifts covered,2,,0.16666666666666666
1949,tips flexible schedule,2,,0.16666666666666666
1969,scheduling great tips,2,,0.16666666666666666
3108,loved people worked,2,,0.16666666666666666
2505,great pay flexible,2,,0.16666666666666666
5270,co workers become,2,,0.16666666666666666
460,everyone super nice,2,,0.16666666666666666
70,like family great,2,,0.16666666666666666
3391,love people work,2,,0.16666666666666666
4153,management team always,2,,0.16666666666666666
565,great environment good,2,,0.16666666666666666
419,fun work environment,2,,0.16666666666666666
2866,work fun environment,2,,0.16666666666666666
2775,friendly co workers,2,,0.16666666666666666
559,great environment fast,2,,0.16666666666666666
1647,benefits great company,2,,0.16666666666666666
761,spend lot money,2,,0.16666666666666666
4182,people greatest resource,2,,0.16666666666666666
1094,always busy always,2,,0.16666666666666666
4650,always busy good,2,,0.16666666666666666
2074,company willing work,2,,0.16666666666666666
2852,get free food,2,,0.16666666666666666
3471,coworkers best part,2,,0.16666666666666666
4847,stay long time,2,,0.16666666666666666
2580,team flexible hours,2,,0.16666666666666666
228,flexible scheduling great,2,,0.16666666666666666
50,great part time,2,,0.16666666666666666
2433,pretty good money,2,,0.16666666666666666
2467,cheesecake factory flexible,2,,0.16666666666666666
3140,good place work,2,,0.16666666666666666
2803,hard work dedication,2,,0.16666666666666666
355,great environment great,2,,0.16666666666666666
2469,hours great management,2,,0.16666666666666666
404,make lot money,2,,0.16666666666666666
3725,great school schedule,1,,0.0
3693,culture wonderful supportive,1,,0.0
3692,employees culture wonderful,1,,0.0
3685,desired working books,1,,0.0
3691,much employees culture,1,,0.0
3733,good balance awesome,1,,0.0
3731,school offered good,1,,0.0
3686,working books insurance,1,,0.0
3730,going school offered,1,,0.0
3687,books insurance company,1,,0.0
3726,school schedule great,1,,0.0
3727,schedule great place,1,,0.0
3728,place work going,1,,0.0
3689,company cares much,1,,0.0
3729,work going school,1,,0.0
3732,offered good balance,1,,0.0
3688,insurance company cares,1,,0.0
3690,cares much employees,1,,0.0
3707,work especially like,1,,0.0
3724,works great school,1,,0.0
3714,every day forever,1,,0.0
3708,especially like totally,1,,0.0
3706,place work especially,1,,0.0
3734,balance awesome place,1,,0.0
3709,like totally love,1,,0.0
3705,fabulous place work,1,,0.0
3704,machine fabulous place,1,,0.0
3710,totally love cheesecake,1,,0.0
3703,workings machine fabulous,1,,0.0
3711,love cheesecake eat,1,,0.0
3712,cheesecake eat every,1,,0.0
3702,inner workings machine,1,,0.0
3701,see inner workings,1,,0.0
3713,eat every day,1,,0.0
3715,day forever much,1,,0.0
3723,hours works great,1,,0.0
3716,forever much stuff,1,,0.0
3700,want see inner,1,,0.0
3699,especially want see,1,,0.0
3698,experience especially want,1,,0.0
3697,good experience especially,1,,0.0
3717,much stuff great,1,,0.0
3696,fun good experience,1,,0.0
3718,stuff great benefits,1,,0.0
3719,great benefits hours,1,,0.0
3720,benefits hours flexibleflexible,1,,0.0
3721,hours flexibleflexible hours,1,,0.0
3695,supportive fun good,1,,0.0
3722,flexibleflexible hours works,1,,0.0
3694,wonderful supportive fun,1,,0.0
3753,great help quick,1,,0.0
3735,awesome place work,1,,0.0
3777,work efficiently keep,1,,0.0
3795,plenty opportunity move,1,,0.0
3794,growth plenty opportunity,1,,0.0
3793,room growth plenty,1,,0.0
3792,team room growth,1,,0.0
3791,works team room,1,,0.0
3790,friendly works team,1,,0.0
3789,staff friendly works,1,,0.0
3788,guests staff friendly,1,,0.0
3787,onto guests staff,1,,0.0
3786,reflect onto guests,1,,0.0
3785,hopes reflect onto,1,,0.0
3784,satisfaction hopes reflect,1,,0.0
3783,employee satisfaction hopes,1,,0.0
3782,prioritize employee satisfaction,1,,0.0
3781,interesting prioritize employee,1,,0.0
3780,things interesting prioritize,1,,0.0
3779,keep things interesting,1,,0.0
3796,opportunity move within,1,,0.0
3797,move within company,1,,0.0
3798,within company benefits,1,,0.0
3808,stay everyone worked,1,,0.0
3815,atmosphereflexible schedule good,1,,0.0
3814,fun atmosphereflexible schedule,1,,0.0
3813,money fun atmosphereflexible,1,,0.0
3812,good money fun,1,,0.0
3811,team good money,1,,0.0
3810,worked team good,1,,0.0
3809,everyone worked team,1,,0.0
3807,factory stay everyone,1,,0.0
3799,company benefits security,1,,0.0
3806,cheesecake factory stay,1,,0.0
3805,secure cheesecake factory,1,,0.0
3804,business secure cheesecake,1,,0.0
3803,best business secure,1,,0.0
3802,benefits best business,1,,0.0
3801,security benefits best,1,,0.0
3800,benefits security benefits,1,,0.0
3778,efficiently keep things,1,,0.0
3776,ways work efficiently,1,,0.0
3736,place work amazing,1,,0.0
3775,finding ways work,1,,0.0
3754,help quick easy,1,,0.0
3752,pay great help,1,,0.0
3751,workers pay great,1,,0.0
3750,awesomeco workers pay,1,,0.0
