,name,count,pos,norm
23,work,56,NOUN,0.5978260869565217
51,environment,27,NOUN,0.2826086956521739
72,company,25,NOUN,0.2608695652173913
13,management,24,NOUN,0.25
84,food,23,NOUN,0.2391304347826087
22,people,21,NOUN,0.21739130434782608
11,money,21,NOUN,0.21739130434782608
14,team,21,NOUN,0.21739130434782608
162,hours,20,NOUN,0.20652173913043478
171,benefits,20,NOUN,0.20652173913043478
9,make,19,NOUN,0.1956521739130435
64,pay,19,NOUN,0.1956521739130435
31,staff,16,NOUN,0.16304347826086957
132,restaurant,16,NOUN,0.16304347826086957
95,managers,14,NOUN,0.14130434782608697
56,place,12,NOUN,0.11956521739130435
85,cheesecake,12,NOUN,0.11956521739130435
87,tips,12,NOUN,0.11956521739130435
126,well,12,NOUN,0.11956521739130435
16,training,11,NOUN,0.10869565217391305
53,time,10,NOUN,0.09782608695652173
351,care,10,NOUN,0.09782608695652173
275,lot,10,NOUN,0.09782608695652173
198,schedule,9,NOUN,0.08695652173913043
71,family,9,NOUN,0.08695652173913043
46,fun,9,NOUN,0.08695652173913043
98,atmosphere,9,NOUN,0.08695652173913043
113,job,9,NOUN,0.08695652173913043
339,employees,8,NOUN,0.07608695652173914
295,opportunities,8,NOUN,0.07608695652173914
92,factory,7,NOUN,0.06521739130434784
130,menu,7,NOUN,0.06521739130434784
284,top,6,NOUN,0.05434782608695652
356,room,6,NOUN,0.05434782608695652
105,take,6,NOUN,0.05434782608695652
536,ability,6,NOUN,0.05434782608695652
301,need,6,NOUN,0.05434782608695652
337,shift,5,NOUN,0.043478260869565216
136,one,5,NOUN,0.043478260869565216
346,service,5,NOUN,0.043478260869565216
209,workers,5,NOUN,0.043478260869565216
182,scheduling,5,NOUN,0.043478260869565216
204,experience,5,NOUN,0.043478260869565216
172,coworkers,5,NOUN,0.043478260869565216
86,culture,5,NOUN,0.043478260869565216
404,shifts,5,NOUN,0.043478260869565216
212,meals,4,NOUN,0.03260869565217391
202,days,4,NOUN,0.03260869565217391
341,guests,4,NOUN,0.03260869565217391
328,location,4,NOUN,0.03260869565217391
260,options,4,NOUN,0.03260869565217391
255,employee,4,NOUN,0.03260869565217391
304,schedules,4,NOUN,0.03260869565217391
7,opportunity,4,NOUN,0.03260869565217391
144,school,4,NOUN,0.03260869565217391
248,love,4,NOUN,0.03260869565217391
3,restaurants,4,NOUN,0.03260869565217391
36,business,4,NOUN,0.03260869565217391
32,growth,4,NOUN,0.03260869565217391
101,help,4,NOUN,0.03260869565217391
52,part,4,NOUN,0.03260869565217391
384,something,3,NOUN,0.021739130434782608
435,server,3,NOUN,0.021739130434782608
189,everyone,3,NOUN,0.021739130434782608
603,standards,3,NOUN,0.021739130434782608
210,plenty,3,NOUN,0.021739130434782608
270,skills,3,NOUN,0.021739130434782608
345,customer,3,NOUN,0.021739130434782608
223,everything,3,NOUN,0.021739130434782608
