,name,count,pos,norm
95,new people,2,,1.0
87,customer satisfaction,2,,1.0
43,higher management,2,,1.0
107,2 3,2,,1.0
0,company policy,1,,0.0
345,offices glass,1,,0.0
344,doors offices,1,,0.0
343,executives doors,1,,0.0
342,senior executives,1,,0.0
341,even senior,1,,0.0
340,office even,1,,0.0
339,walls office,1,,0.0
338,anything walls,1,,0.0
337,hang anything,1,,0.0
336,allowed hang,1,,0.0
335,one allowed,1,,0.0
334,individuality one,1,,0.0
333,sacrifice individuality,1,,0.0
332,require sacrifice,1,,0.0
331,also require,1,,0.0
330,offices also,1,,0.0
329,corporate offices,1,,0.0
328,beautiful corporate,1,,0.0
327,try beautiful,1,,0.0
326,productive try,1,,0.0
325,counter productive,1,,0.0
324,ridiculous counter,1,,0.0
323,hours ridiculous,1,,0.0
322,restaurant hours,1,,0.0
321,keep restaurant,1,,0.0
320,going keep,1,,0.0
346,glass truly,1,,0.0
347,truly never,1,,0.0
318,corporate office,1,,0.0
363,forbidden drinks,1,,0.0
376,food rules,1,,0.0
375,provides food,1,,0.0
374,cafeteria provides,1,,0.0
373,time cafeteria,1,,0.0
372,offices time,1,,0.0
371,majority offices,1,,0.0
370,upstairs majority,1,,0.0
369,allowed upstairs,1,,0.0
368,microwaves allowed,1,,0.0
367,lid microwaves,1,,0.0
366,without lid,1,,0.0
365,allowed without,1,,0.0
364,drinks allowed,1,,0.0
362,match forbidden,1,,0.0
348,never privacy,1,,0.0
361,mat match,1,,0.0
360,desk mat,1,,0.0
359,even desk,1,,0.0
358,hangings even,1,,0.0
357,wall hangings,1,,0.0
356,calendars wall,1,,0.0
355,unauthorized calendars,1,,0.0
354,one unauthorized,1,,0.0
353,ensure one,1,,0.0
352,halls ensure,1,,0.0
351,walks halls,1,,0.0
350,ceo walks,1,,0.0
349,privacy ceo,1,,0.0
319,office going,1,,0.0
317,reasonable corporate,1,,0.0
378,handling food,1,,0.0
270,nothing customers,1,,0.0
283,care even,1,,0.0
282,managers care,1,,0.0
281,check managers,1,,0.0
280,item check,1,,0.0
279,get item,1,,0.0
278,want get,1,,0.0
277,queens want,1,,0.0
276,drama queens,1,,0.0
275,loads drama,1,,0.0
274,fussy loads,1,,0.0
273,overly fussy,1,,0.0
272,rude overly,1,,0.0
271,customers rude,1,,0.0
269,sweating nothing,1,,0.0
285,simple tasks,1,,0.0
268,time sweating,1,,0.0
267,spent time,1,,0.0
266,feels spent,1,,0.0
265,really feels,1,,0.0
264,low really,1,,0.0
263,tip low,1,,0.0
262,high tip,1,,0.0
261,volume high,1,,0.0
260,sales volume,1,,0.0
259,bussers sales,1,,0.0
258,runners bussers,1,,0.0
257,tips runners,1,,0.0
256,lot tips,1,,0.0
284,even simple,1,,0.0
286,tasks lead,1,,0.0
316,restaurants reasonable,1,,0.0
302,zero work,1,,0.0
315,run restaurants,1,,0.0
314,tool run,1,,0.0
313,corporate tool,1,,0.0
312,views corporate,1,,0.0
311,company views,1,,0.0
310,health company,1,,0.0
309,family health,1,,0.0
308,needs family,1,,0.0
307,recognition needs,1,,0.0
306,absolutely recognition,1,,0.0
305,balance absolutely,1,,0.0
304,life balance,1,,0.0
303,work life,1,,0.0
301,price zero,1,,0.0
287,lead customer,1,,0.0
300,comes price,1,,0.0
299,productivity comes,1,,0.0
298,efficiency productivity,1,,0.0
297,inappropriately efficiency,1,,0.0
296,correcting inappropriately,1,,0.0
295,mistake correcting,1,,0.0
294,making mistake,1,,0.0
293,someone making,1,,0.0
292,front someone,1,,0.0
291,good front,1,,0.0
290,look good,1,,0.0
289,care look,1,,0.0
288,satisfaction care,1,,0.0
377,rules handling,1,,0.0
381,home strict,1,,0.0
379,food bring,1,,0.0
457,pity reach,1,,0.0
470,forget ever,1,,0.0
469,base forget,1,,0.0
468,customer base,1,,0.0
467,interact customer,1,,0.0
466,actually interact,1,,0.0
465,servers actually,1,,0.0
464,since servers,1,,0.0
463,management since,1,,0.0
462,servers higher,1,,0.0
461,get servers,1,,0.0
460,people get,1,,0.0
459,staff people,1,,0.0
458,reach staff,1,,0.0
456,degrees pity,1,,0.0
380,bring home,1,,0.0
455,masters degrees,1,,0.0
454,certificates masters,1,,0.0
453,short certificates,1,,0.0
452,ranging short,1,,0.0
451,sort ranging,1,,0.0
450,education sort,1,,0.0
449,college education,1,,0.0
448,staff college,1,,0.0
447,80 staff,1,,0.0
446,roughly 80,1,,0.0
445,advancement roughly,1,,0.0
444,opportunity advancement,1,,0.0
443,little opportunity,1,,0.0
471,ever getting,1,,0.0
472,getting weekend,1,,0.0
473,weekend long,1,,0.0
474,long hours,1,,0.0
501,different pay,1,,0.0
500,completely different,1,,0.0
499,something completely,1,,0.0
498,tells something,1,,0.0
497,another tells,1,,0.0
496,thing another,1,,0.0
495,one thing,1,,0.0
494,tell one,1,,0.0
493,may tell,1,,0.0
492,manager may,1,,0.0
491,one manager,1,,0.0
490,management one,1,,0.0
489,middle management,1,,0.0
488,inconsistencies middle,1,,0.0
487,lot inconsistencies,1,,0.0
486,usually lot,1,,0.0
485,form usually,1,,0.0
484,team form,1,,0.0
483,hard team,1,,0.0
482,people hard,1,,0.0
481,working new,1,,0.0
480,constantly working,1,,0.0
479,high constantly,1,,0.0
478,extremely high,1,,0.0
477,rate extremely,1,,0.0
476,turnover rate,1,,0.0
475,hours turnover,1,,0.0
442,also little,1,,0.0
441,year also,1,,0.0
440,next year,1,,0.0
409,driven staff,1,,0.0
407,entirely profit,1,,0.0
406,inept entirely,1,,0.0
405,horribly inept,1,,0.0
404,management horribly,1,,0.0
403,frivolous management,1,,0.0
402,considered frivolous,1,,0.0
401,hour considered,1,,0.0
400,lunch hour,1,,0.0
399,working lunch,1,,0.0
398,desk working,1,,0.0
397,eat desk,1,,0.0
396,people eat,1,,0.0
395,upon people,1,,0.0
394,frowned upon,1,,0.0
393,lunch frowned,1,,0.0
392,taking lunch,1,,0.0
391,actually taking,1,,0.0
390,also actually,1,,0.0
389,unpleasant also,1,,0.0
388,find unpleasant,1,,0.0
387,may find,1,,0.0
386,ceo may,1,,0.0
385,smells ceo,1,,0.0
384,food smells,1,,0.0
383,avoid food,1,,0.0
382,strict avoid,1,,0.0
254,well pay,1,,0.0
408,profit driven,1,,0.0
410,staff treated,1,,0.0
439,til next,1,,0.0
411,treated expendable,1,,0.0
438,wait til,1,,0.0
437,short wait,1,,0.0
436,hours short,1,,0.0
435,say hours,1,,0.0
434,miss say,1,,0.0
433,year miss,1,,0.0
432,weeks year,1,,0.0
431,2 weeks,1,,0.0
430,sign 2,1,,0.0
429,insurance sign,1,,0.0
428,shifts insurance,1,,0.0
427,shark shifts,1,,0.0
426,enough shark,1,,0.0
425,lucky enough,1,,0.0
424,happen lucky,1,,0.0
423,insurance happen,1,,0.0
422,hours insurance,1,,0.0
421,enough hours,1,,0.0
420,get enough,1,,0.0
419,hard get,1,,0.0
418,addition hard,1,,0.0
417,hard addition,1,,0.0
416,work hard,1,,0.0
415,long work,1,,0.0
414,hours long,1,,0.0
413,resources hours,1,,0.0
412,expendable resources,1,,0.0
255,pay lot,1,,0.0
251,cheesecake brand,1,,0.0
253,tip well,1,,0.0
79,reduced amount,1,,0.0
93,reduction wage,1,,0.0
92,due reduction,1,,0.0
91,quit due,1,,0.0
90,people quit,1,,0.0
89,majority people,1,,0.0
88,satisfaction majority,1,,0.0
86,increase customer,1,,0.0
85,reason increase,1,,0.0
84,official reason,1,,0.0
83,server official,1,,0.0
82,given server,1,,0.0
81,tables given,1,,0.0
80,amount tables,1,,0.0
78,management reduced,1,,0.0
128,taxes two,1,,0.0
77,living management,1,,0.0
76,earn living,1,,0.0
75,chance earn,1,,0.0
74,given chance,1,,0.0
73,employees given,1,,0.0
72,management employees,1,,0.0
71,switch management,1,,0.0
70,since switch,1,,0.0
69,fond since,1,,0.0
68,underwork fond,1,,0.0
67,favoratism underwork,1,,0.0
66,show favoratism,1,,0.0
65,staff show,1,,0.0
94,wage new,1,,0.0
96,people hired,1,,0.0
97,hired replace,1,,0.0
98,replace everyone,1,,0.0
126,3 hr,1,,0.0
125,paid 2,1,,0.0
124,getting paid,1,,0.0
123,work getting,1,,0.0
122,side work,1,,0.0
121,server side,1,,0.0
120,also server,1,,0.0
119,wages also,1,,0.0
118,steady wages,1,,0.0
117,earn steady,1,,0.0
116,people earn,1,,0.0
115,mcdonalds people,1,,0.0
114,worse mcdonalds,1,,0.0
113,15 worse,1,,0.0
112,earning 15,1,,0.0
111,day earning,1,,0.0
110,per day,1,,0.0
109,hours per,1,,0.0
108,3 hours,1,,0.0
106,work 2,1,,0.0
105,upon work,1,,0.0
104,called upon,1,,0.0
103,one called,1,,0.0
102,system one,1,,0.0
101,current system,1,,0.0
100,pissed current,1,,0.0
99,everyone pissed,1,,0.0
64,talk staff,1,,0.0
63,childish talk,1,,0.0
62,location childish,1,,0.0
30,scheduled monthly,1,,0.0
28,consistently attend,1,,0.0
27,relegated consistently,1,,0.0
26,2am relegated,1,,0.0
25,3pm 2am,1,,0.0
24,week 3pm,1,,0.0
23,work week,1,,0.0
22,given work,1,,0.0
21,days given,1,,0.0
20,5 days,1,,0.0
19,4 5,1,,0.0
18,work 4,1,,0.0
17,typically work,1,,0.0
16,point typically,1,,0.0
