,name,count,pos,norm
29,hours,9,NOUN,1.0
73,managers,8,NOUN,0.875
49,management,6,NOUN,0.625
76,time,6,NOUN,0.625
90,pay,5,NOUN,0.5
47,break,4,NOUN,0.375
7,amount,4,NOUN,0.375
103,place,4,NOUN,0.375
130,server,3,NOUN,0.25
36,people,3,NOUN,0.25
52,employees,3,NOUN,0.25
21,customers,3,NOUN,0.25
60,fun,2,NOUN,0.125
116,week,2,NOUN,0.125
140,restaurant,2,NOUN,0.125
98,location,2,NOUN,0.125
92,stress,2,NOUN,0.125
196,cashiers,2,NOUN,0.125
204,crap,2,NOUN,0.125
233,job,2,NOUN,0.125
252,environment,2,NOUN,0.125
301,guests,2,NOUN,0.125
3,things,2,NOUN,0.125
165,plater,2,NOUN,0.125
19,tips,2,NOUN,0.125
50,care,2,NOUN,0.125
27,life,2,NOUN,0.125
38,work,2,NOUN,0.125
8,money,2,NOUN,0.125
39,doubles,2,NOUN,0.125
13,behavior,2,NOUN,0.125
200,play,1,NOUN,0.0
198,nothing,1,NOUN,0.0
251,training,1,NOUN,0.0
249,punishment,1,NOUN,0.0
248,type,1,NOUN,0.0
247,wrist,1,NOUN,0.0
241,front,1,NOUN,0.0
240,floor,1,NOUN,0.0
235,mess,1,NOUN,0.0
16,menu,1,NOUN,0.0
201,staplers,1,NOUN,0.0
227,ticket,1,NOUN,0.0
225,fingers,1,NOUN,0.0
254,workload,1,NOUN,0.0
223,meals,1,NOUN,0.0
219,shift,1,NOUN,0.0
218,hour,1,NOUN,0.0
211,breaks,1,NOUN,0.0
205,schedule,1,NOUN,0.0
14,lateness,1,NOUN,0.0
58,jokes,1,NOUN,0.0
256,failit,1,NOUN,0.0
288,team,1,NOUN,0.0
314,distribution,1,NOUN,0.0
311,bill,1,NOUN,0.0
310,requests,1,NOUN,0.0
306,workers,1,NOUN,0.0
300,years,1,NOUN,0.0
295,door,1,NOUN,0.0
292,gardens,1,NOUN,0.0
291,beach,1,NOUN,0.0
290,palm,1,NOUN,0.0
287,drinkthe,1,NOUN,0.0
268,supervisors,1,NOUN,0.0
285,reason,1,NOUN,0.0
284,trouble,1,NOUN,0.0
281,bartenders,1,NOUN,0.0
278,teamates,1,NOUN,0.0
277,paymangers,1,NOUN,0.0
276,shot,1,NOUN,0.0
274,cronyism,1,NOUN,0.0
271,promotions,1,NOUN,0.0
194,stock,1,NOUN,0.0
270,conditions,1,NOUN,0.0
190,ome,1,NOUN,0.0
192,cakes,1,NOUN,0.0
94,begin,1,NOUN,0.0
32,timeit,1,NOUN,0.0
111,comments,1,NOUN,0.0
107,kiss,1,NOUN,0.0
105,way,1,NOUN,0.0
104,favoritism,1,NOUN,0.0
34,obtain,1,NOUN,0.0
99,california,1,NOUN,0.0
97,valencia,1,NOUN,0.0
95,start,1,NOUN,0.0
91,pain,1,NOUN,0.0
30,effort,1,NOUN,0.0
42,end,1,NOUN,0.0
88,attitudes,1,NOUN,0.0
86,mood,1,NOUN,0.0
77,emergency,1,NOUN,0.0
45,day,1,NOUN,0.0
71,shifts,1,NOUN,0.0
69,stop,1,NOUN,0.0
65,lie,1,NOUN,0.0
63,eyes,1,NOUN,0.0
126,hosts,1,NOUN,0.0
132,host,1,NOUN,0.0
191,habdle,1,NOUN,0.0
168,means,1,NOUN,0.0
54,standards,1,NOUN,0.0
187,counter,1,NOUN,0.0
185,cashier,1,NOUN,0.0
183,order,1,NOUN,0.0
182,size,1,NOUN,0.0
180,minutes,1,NOUN,0.0
176,degrees,1,NOUN,0.0
174,freezer,1,NOUN,0.0
173,inventory,1,NOUN,0.0
167,morning,1,NOUN,0.0
136,position,1,NOUN,0.0
166,bakery,1,NOUN,0.0
26,quality,1,NOUN,0.0
162,weeks,1,NOUN,0.0
157,harassment,1,NOUN,0.0
155,aggressiveri,1,NOUN,0.0
154,timecoworkers,1,NOUN,0.0
148,clients,1,NOUN,0.0
142,manager,1,NOUN,0.0
139,pole,1,NOUN,0.0
315,sidework,1,NOUN,0.0
