,name,count,pos,norm
344,long hours,7,,0.9999999999999999
191,sexual harassment,5,,0.6666666666666666
509,little pay,4,,0.5
617,work environment,4,,0.5
1328,act like,3,,0.33333333333333337
636,upper management,3,,0.33333333333333337
282,bad pay,2,,0.16666666666666666
582,employees like,2,,0.16666666666666666
322,bad management,2,,0.16666666666666666
1159,store management,2,,0.16666666666666666
135,hours week,2,,0.16666666666666666
448,serving job,2,,0.16666666666666666
1500,pretty much,2,,0.16666666666666666
519,ticket times,2,,0.16666666666666666
669,hours long,2,,0.16666666666666666
830,staff enough,2,,0.16666666666666666
858,make sure,2,,0.16666666666666666
1049,management rude,2,,0.16666666666666666
74,9 hours,2,,0.16666666666666666
470,high turnover,2,,0.16666666666666666
1329,like managers,2,,0.16666666666666666
872,hostile environment,2,,0.16666666666666666
656,plays favorites,2,,0.16666666666666666
551,managers horrible,2,,0.16666666666666666
435,high stress,2,,0.16666666666666666
935,run food,2,,0.16666666666666666
347,working conditions,2,,0.16666666666666666
317,pay raises,2,,0.16666666666666666
799,care staff,2,,0.16666666666666666
508,hours little,2,,0.16666666666666666
196,hr fired,2,,0.16666666666666666
589,enough hours,2,,0.16666666666666666
1299,never also,2,,0.16666666666666666
421,job live,2,,0.16666666666666666
510,pay lot,2,,0.16666666666666666
112,can not,2,,0.16666666666666666
21,customers long,2,,0.16666666666666666
788,poor management,2,,0.16666666666666666
20,rude customers,2,,0.16666666666666666
516,kitchen horrible,2,,0.16666666666666666
685,fast paced,2,,0.16666666666666666
1060,follow care,1,,0.0
1065,scheduling managers,1,,0.0
1088,restaurant business,1,,0.0
1064,poor scheduling,1,,0.0
1063,environment poor,1,,0.0
1086,per hourthe,1,,0.0
1062,dangerous work,1,,0.0
1084,nine dollars,1,,0.0
1061,care dangerous,1,,0.0
1087,hourthe restaurant,1,,0.0
1085,dollars per,1,,0.0
1066,managers get,1,,0.0
1081,without taught,1,,0.0
1067,get told,1,,0.0
1075,without working,1,,0.0
1080,working without,1,,0.0
1079,guidelines working,1,,0.0
1078,follow guidelines,1,,0.0
1059,expecting follow,1,,0.0
1077,expect follow,1,,0.0
1076,working expect,1,,0.0
1082,taught paid,1,,0.0
1068,told may,1,,0.0
1074,time without,1,,0.0
1073,week time,1,,0.0
1083,paid nine,1,,0.0
1072,whole week,1,,0.0
1071,go whole,1,,0.0
1069,may forced,1,,0.0
1070,forced go,1,,0.0
0,write ups,1,,0.0
1058,longer expecting,1,,0.0
1022,may get,1,,0.0
1031,schedule could,1,,0.0
1030,sleep schedule,1,,0.0
1029,would sleep,1,,0.0
1028,like would,1,,0.0
1027,manager like,1,,0.0
1026,double manager,1,,0.0
1025,working double,1,,0.0
1024,break working,1,,0.0
1023,get break,1,,0.0
1021,may may,1,,0.0
1033,turn many,1,,0.0
1020,people may,1,,0.0
1019,obnoxious people,1,,0.0
1018,clientele obnoxious,1,,0.0
1017,lash clientele,1,,0.0
1016,stress lash,1,,0.0
1015,handle stress,1,,0.0
1014,not handle,1,,0.0
1013,apathetic can,1,,0.0
1012,disorganized apathetic,1,,0.0
1032,could turn,1,,0.0
1034,many food,1,,0.0
1057,much longer,1,,0.0
1046,teamwork among,1,,0.0
1056,servers much,1,,0.0
1055,bossing servers,1,,0.0
1054,around bossing,1,,0.0
1089,business attract,1,,0.0
1052,idea run,1,,0.0
1051,clientelemanagement idea,1,,0.0
1050,rude clientelemanagement,1,,0.0
1048,managershorrible management,1,,0.0
1047,among managershorrible,1,,0.0
1045,lack teamwork,1,,0.0
1035,food running,1,,0.0
1044,managers lack,1,,0.0
1043,hired managers,1,,0.0
1042,external hired,1,,0.0
1041,towards external,1,,0.0
1040,view towards,1,,0.0
1039,advancement view,1,,0.0
1038,rate advancement,1,,0.0
1037,shifts rate,1,,0.0
1036,running shifts,1,,0.0
1053,run around,1,,0.0
1096,natick worst,1,,0.0
1090,attract lowest,1,,0.0
1150,fired places,1,,0.0
1160,management management,1,,0.0
1158,relaxed store,1,,0.0
1157,management relaxed,1,,0.0
1156,locations upper,1,,0.0
1155,newton locations,1,,0.0
1154,natick newton,1,,0.0
1153,worked natick,1,,0.0
1152,guilt worked,1,,0.0
1151,places guilt,1,,0.0
1149,wanted fired,1,,0.0
1162,lead example,1,,0.0
1148,asked wanted,1,,0.0
1147,situation asked,1,,0.0
1146,handle situation,1,,0.0
1145,consulted handle,1,,0.0
1144,inappropriately consulted,1,,0.0
1143,harassment inappropriately,1,,0.0
1142,facing sexual,1,,0.0
1141,availability facing,1,,0.0
1140,hours availability,1,,0.0
1161,management lead,1,,0.0
1163,example fight,1,,0.0
1138,work outside,1,,0.0
1175,politics audio,1,,0.0
1184,issues lots,1,,0.0
1183,integrity issues,1,,0.0
1182,another integrity,1,,0.0
1181,thing another,1,,0.0
1180,one thing,1,,0.0
1179,saying one,1,,0.0
1178,matching saying,1,,0.0
1177,video matching,1,,0.0
1176,audio video,1,,0.0
1174,office politics,1,,0.0
1164,fight employees,1,,0.0
1173,abundance office,1,,0.0
1172,egos abundance,1,,0.0
1171,many egos,1,,0.0
1170,way many,1,,0.0
1169,promotions way,1,,0.0
1168,raises promotions,1,,0.0
1167,e pay,1,,0.0
1166,deserve e,1,,0.0
1165,employees deserve,1,,0.0
1139,outside hours,1,,0.0
1137,scheduled work,1,,0.0
1091,lowest forms,1,,0.0
1102,marble floors,1,,0.0
1111,set ideas,1,,0.0
1110,culture set,1,,0.0
1109,restaurant culture,1,,0.0
1108,outside restaurant,1,,0.0
1107,awful outside,1,,0.0
1106,hours awful,1,,0.0
1105,feet hours,1,,0.0
1104,murder feet,1,,0.0
1103,floors murder,1,,0.0
1101,predators marble,1,,0.0
1113,contributions mean,1,,0.0
1100,managers predators,1,,0.0
1099,unscrupulous managers,1,,0.0
1098,immoral unscrupulous,1,,0.0
1097,worst immoral,1,,0.0
1010,filed management,1,,0.0
1095,places natick,1,,0.0
1094,one places,1,,0.0
1093,life one,1,,0.0
1092,forms life,1,,0.0
1112,ideas contributions,1,,0.0
1114,mean nothing,1,,0.0
1136,frequently scheduled,1,,0.0
1126,management mediocre,1,,0.0
1135,availability frequently,1,,0.0
1134,regards availability,1,,0.0
1133,hostility regards,1,,0.0
1132,harassment hostility,1,,0.0
1131,experienced sexual,1,,0.0
1130,tipsi experienced,1,,0.0
1129,uneven tipsi,1,,0.0
1128,clientele uneven,1,,0.0
1127,mediocre clientele,1,,0.0
1125,outsideawful management,1,,0.0
1115,nothing unless,1,,0.0
1124,coming outsideawful,1,,0.0
1123,manager coming,1,,0.0
1122,environment manager,1,,0.0
1121,almost hostile,1,,0.0
1120,management almost,1,,0.0
1119,promoted management,1,,0.0
1118,got promoted,1,,0.0
1117,hourly got,1,,0.0
1116,unless hourly,1,,0.0
1011,management disorganized,1,,0.0
1000,addressed management,1,,0.0
1009,report filed,1,,0.0
885,range managers,1,,0.0
883,staff mid,1,,0.0
882,ranked staff,1,,0.0
881,lower ranked,1,,0.0
880,care lower,1,,0.0
879,company care,1,,0.0
878,well company,1,,0.0
877,interested well,1,,0.0
876,hours interested,1,,0.0
875,many hours,1,,0.0
874,quit many,1,,0.0
873,environment quit,1,,0.0
871,upset hostile,1,,0.0
870,supervisor upset,1,,0.0
869,spot supervisor,1,,0.0
868,fire spot,1,,0.0
867,would fire,1,,0.0
866,employee would,1,,0.0
865,tell employee,1,,0.0
864,supervisor tell,1,,0.0
863,overheard supervisor,1,,0.0
862,like overheard,1,,0.0
884,mid range,1,,0.0
886,managers put,1,,0.0
1008,job report,1,,0.0
887,put ringer,1,,0.0
908,feet 9,1,,0.0
907,employees feet,1,,0.0
906,areas employees,1,,0.0
905,break areas,1,,0.0
904,environment break,1,,0.0
903,harsh work,1,,0.0
902,employees harsh,1,,0.0
901,selfish employees,1,,0.0
900,greedy selfish,1,,0.0
899,managers greedy,1,,0.0
898,coworkers managers,1,,0.0
897,supportive coworkers,1,,0.0
896,non supportive,1,,0.0
895,management non,1,,0.0
894,communication upper,1,,0.0
893,stressterrible communication,1,,0.0
892,much stressterrible,1,,0.0
891,shells much,1,,0.0
890,egg shells,1,,0.0
889,walk egg,1,,0.0
888,ringer walk,1,,0.0
861,mistakes like,1,,0.0
860,make mistakes,1,,0.0
859,sure make,1,,0.0
857,supervisors make,1,,0.0
832,got rid,1,,0.0
831,enough got,1,,0.0
829,pay staff,1,,0.0
828,anything pay,1,,0.0
827,says anything,1,,0.0
826,anyone says,1,,0.0
825,job anyone,1,,0.0
824,lose job,1,,0.0
823,staff lose,1,,0.0
822,corners staff,1,,0.0
821,cuts corners,1,,0.0
820,location cuts,1,,0.0
819,every location,1,,0.0
818,basis every,1,,0.0
817,day basis,1,,0.0
816,day day,1,,0.0
815,happening day,1,,0.0
814,say happening,1,,0.0
813,managers say,1,,0.0
812,actual managers,1,,0.0
811,staff actual,1,,0.0
833,rid gratitude,1,,0.0
834,gratitude take,1,,0.0
835,take care,1,,0.0
847,coordination understaffed,1,,0.0
856,male supervisors,1,,0.0
855,couple male,1,,0.0
854,kiss couple,1,,0.0
853,workplaceyou kiss,1,,0.0
852,unprofessionalism workplaceyou,1,,0.0
851,communication unprofessionalism,1,,0.0
850,poor communication,1,,0.0
849,bussers poor,1,,0.0
848,understaffed bussers,1,,0.0
846,poor coordination,1,,0.0
836,staff financially,1,,0.0
845,management poor,1,,0.0
844,suppliespoor management,1,,0.0
843,running suppliespoor,1,,0.0
842,always running,1,,0.0
841,consistency always,1,,0.0
840,lack consistency,1,,0.0
839,conditions lack,1,,0.0
838,dirty working,1,,0.0
837,financially dirty,1,,0.0
909,hours likely,1,,0.0
910,likely short,1,,0.0
911,short break,1,,0.0
961,accolades horrible,1,,0.0
983,communication coordinators,1,,0.0
982,favoriteslack communication,1,,0.0
981,favored favoriteslack,1,,0.0
980,sections favored,1,,0.0
979,bad sections,1,,0.0
978,holidays bad,1,,0.0
977,hours holidays,1,,0.0
976,atmosphere rude,1,,0.0
975,like atmosphere,1,,0.0
974,school like,1,,0.0
973,high school,1,,0.0
972,management high,1,,0.0
971,growdisorganized poor,1,,0.0
970,room growdisorganized,1,,0.0
969,pay room,1,,0.0
968,work little,1,,0.0
967,exhausting work,1,,0.0
966,filthy exhausting,1,,0.0
965,hours filthy,1,,0.0
964,often staff,1,,0.0
963,management often,1,,0.0
984,coordinators horrible,1,,0.0
985,horrible trainers,1,,0.0
986,trainers sub,1,,0.0
998,issues never,1,,0.0
1007,injured job,1,,0.0
1006,sued injured,1,,0.0
1005,never sued,1,,0.0
1004,surprised never,1,,0.0
1003,nightmare surprised,1,,0.0
1002,hr nightmare,1,,0.0
1001,management hr,1,,0.0
1186,passing buck,1,,0.0
999,never addressed,1,,0.0
997,compliance issues,1,,0.0
987,sub par,1,,0.0
996,code compliance,1,,0.0
995,health code,1,,0.0
994,laws health,1,,0.0
993,labor laws,1,,0.0
992,multiple labor,1,,0.0
991,pay multiple,1,,0.0
990,hours pay,1,,0.0
989,horrible hours,1,,0.0
988,par managers,1,,0.0
962,horrible management,1,,0.0
960,employee accolades,1,,0.0
912,break even,1,,0.0
959,zero employee,1,,0.0
933,checking problem,1,,0.0
932,server checking,1,,0.0
931,blame server,1,,0.0
930,happened blame,1,,0.0
929,clue happened,1,,0.0
928,expediters clue,1,,0.0
927,four expediters,1,,0.0
926,one four,1,,0.0
925,bumped one,1,,0.0
924,gets bumped,1,,0.0
923,food gets,1,,0.0
922,acknowledge food,1,,0.0
921,even acknowledge,1,,0.0
920,employees even,1,,0.0
919,go employees,1,,0.0
918,levels go,1,,0.0
917,anxiety levels,1,,0.0
916,stress anxiety,1,,0.0
915,one stress,1,,0.0
914,get one,1,,0.0
913,even get,1,,0.0
934,problem run,1,,0.0
936,food maybe,1,,0.0
937,maybe hostess,1,,0.0
949,sensitivity training,1,,0.0
958,fired zero,1,,0.0
957,corporate hr,1,,0.0
956,calling corporate,1,,0.0
955,job calling,1,,0.0
954,constantly job,1,,0.0
953,harrassed constantly,1,,0.0
952,harassment harrassed,1,,0.0
951,training sexual,1,,0.0
950,training training,1,,0.0
948,need sensitivity,1,,0.0
938,hostess seat,1,,0.0
947,also need,1,,0.0
946,favorites also,1,,0.0
945,often plays,1,,0.0
944,page often,1,,0.0
943,never page,1,,0.0
942,management never,1,,0.0
941,tables management,1,,0.0
940,4 tables,1,,0.0
939,seat 4,1,,0.0
1185,lots passing,1,,0.0
1195,practically beg,1,,0.0
1187,buck accountable,1,,0.0
1462,ones still,1,,0.0
1460,especially times,1,,0.0
1459,night especially,1,,0.0
1458,percentage night,1,,0.0
1457,certain percentage,1,,0.0
1456,give certain,1,,0.0
1455,sure give,1,,0.0
1454,responsibility make,1,,0.0
1453,server responsibility,1,,0.0
1452,become server,1,,0.0
1451,tips become,1,,0.0
1450,relying tips,1,,0.0
1449,sorry relying,1,,0.0
1448,become sorry,1,,0.0
1447,location become,1,,0.0
1446,selfish location,1,,0.0
1445,disrespectful selfish,1,,0.0
1444,cheap disrespectful,1,,0.0
1443,doubles cheap,1,,0.0
1442,even doubles,1,,0.0
1441,50 even,1,,0.0
1440,30 50,1,,0.0
1461,times ones,1,,0.0
1463,still bussing,1,,0.0
1438,making walk,1,,0.0
1464,bussing tables,1,,0.0
1485,tipped position,1,,0.0
1484,common tipped,1,,0.0
1483,less common,1,,0.0
1482,chose less,1,,0.0
1481,money chose,1,,0.0
1480,tipped money,1,,0.0
1479,guests tipped,1,,0.0
1478,give guests,1,,0.0
1477,demand give,1,,0.0
1476,happen demand,1,,0.0
1475,rare happen,1,,0.0
1474,guests rare,1,,0.0
1473,whatever guests,1,,0.0
1472,flirt whatever,1,,0.0
1471,drinks flirt,1,,0.0
1470,waiting drinks,1,,0.0
1469,rare waiting,1,,0.0
1468,food rare,1,,0.0
1467,much run,1,,0.0
1466,happens much,1,,0.0
1465,tables happens,1,,0.0
1439,walk 30,1,,0.0
1437,dollars making,1,,0.0
1188,accountable superiors,1,,0.0
1412,everything fighting,1,,0.0
1410,night nearly,1,,0.0
1409,coworkers night,1,,0.0
1408,money coworkers,1,,0.0
1407,give money,1,,0.0
1406,telling give,1,,0.0
1405,horribly telling,1,,0.0
1404,disrespect horribly,1,,0.0
1403,way disrespect,1,,0.0
1402,step way,1,,0.0
1401,audacity step,1,,0.0
1400,server audacity,1,,0.0
1399,problems server,1,,0.0
1398,financial problems,1,,0.0
1397,hard financial,1,,0.0
1396,dealing hard,1,,0.0
1395,concern dealing,1,,0.0
1394,problem concern,1,,0.0
1393,conversation problem,1,,0.0
1392,butt conversation,1,,0.0
1391,manage butt,1,,0.0
1390,micro manage,1,,0.0
1411,nearly everything,1,,0.0
1413,fighting becoming,1,,0.0
1436,60 dollars,1,,0.0
1414,becoming homeless,1,,0.0
1435,40 60,1,,0.0
1434,total 40,1,,0.0
1433,tip total,1,,0.0
1432,would tip,1,,0.0
1431,times would,1,,0.0
1430,ridiculous times,1,,0.0
1429,tipshare ridiculous,1,,0.0
1428,authority tipshare,1,,0.0
1427,like authority,1,,0.0
1426,others act,1,,0.0
1425,talk others,1,,0.0
1424,try talk,1,,0.0
1423,workers try,1,,0.0
1422,call workers,1,,0.0
1421,discipline call,1,,0.0
1420,need discipline,1,,0.0
1419,managers need,1,,0.0
1418,dont act,1,,0.0
1417,manager dont,1,,0.0
1416,turn manager,1,,0.0
1415,homeless turn,1,,0.0
1486,position servers,1,,0.0
1487,servers responsibility,1,,0.0
1488,responsibility instead,1,,0.0
1562,sometimes 5pm,1,,0.0
