,name,count,pos,norm
73,managers,12,NOUN,0.9999999999999999
29,hours,10,NOUN,0.8181818181818182
76,time,10,NOUN,0.8181818181818182
49,management,8,NOUN,0.6363636363636364
90,pay,6,NOUN,0.4545454545454545
7,amount,4,NOUN,0.2727272727272727
52,employees,4,NOUN,0.2727272727272727
47,break,4,NOUN,0.2727272727272727
36,people,4,NOUN,0.2727272727272727
334,kitchen,4,NOUN,0.2727272727272727
236,job,4,NOUN,0.2727272727272727
104,place,4,NOUN,0.2727272727272727
305,guests,3,NOUN,0.1818181818181818
92,stress,3,NOUN,0.1818181818181818
118,week,3,NOUN,0.1818181818181818
132,server,3,NOUN,0.1818181818181818
256,environment,3,NOUN,0.1818181818181818
230,ticket,3,NOUN,0.1818181818181818
71,shifts,3,NOUN,0.1818181818181818
142,restaurant,3,NOUN,0.1818181818181818
99,location,3,NOUN,0.1818181818181818
3,things,3,NOUN,0.1818181818181818
8,money,3,NOUN,0.1818181818181818
21,customers,3,NOUN,0.1818181818181818
50,care,2,NOUN,0.09090909090909091
347,employee,2,NOUN,0.09090909090909091
168,plater,2,NOUN,0.09090909090909091
19,tips,2,NOUN,0.09090909090909091
322,business,2,NOUN,0.09090909090909091
26,quality,2,NOUN,0.09090909090909091
243,floor,2,NOUN,0.09090909090909091
27,life,2,NOUN,0.09090909090909091
13,behavior,2,NOUN,0.09090909090909091
94,begin,2,NOUN,0.09090909090909091
207,crap,2,NOUN,0.09090909090909091
199,cashiers,2,NOUN,0.09090909090909091
38,work,2,NOUN,0.09090909090909091
39,doubles,2,NOUN,0.09090909090909091
60,fun,2,NOUN,0.09090909090909091
254,training,2,NOUN,0.09090909090909091
373,times,2,NOUN,0.09090909090909091
374,food,2,NOUN,0.09090909090909091
292,team,2,NOUN,0.09090909090909091
221,hour,2,NOUN,0.09090909090909091
294,palm,1,NOUN,0.0
244,front,1,NOUN,0.0
252,punishment,1,NOUN,0.0
291,drinkthe,1,NOUN,0.0
289,reason,1,NOUN,0.0
288,trouble,1,NOUN,0.0
285,bartenders,1,NOUN,0.0
282,teamates,1,NOUN,0.0
281,paymangers,1,NOUN,0.0
280,shot,1,NOUN,0.0
272,supervisors,1,NOUN,0.0
278,cronyism,1,NOUN,0.0
275,promotions,1,NOUN,0.0
250,wrist,1,NOUN,0.0
258,workload,1,NOUN,0.0
395,company,1,NOUN,0.0
274,conditions,1,NOUN,0.0
260,failit,1,NOUN,0.0
251,type,1,NOUN,0.0
310,workers,1,NOUN,0.0
295,beach,1,NOUN,0.0
296,gardens,1,NOUN,0.0
369,days,1,NOUN,0.0
363,quantity,1,NOUN,0.0
359,power,1,NOUN,0.0
354,system,1,NOUN,0.0
352,ratevery,1,NOUN,0.0
351,turnover,1,NOUN,0.0
348,matter,1,NOUN,0.0
376,austin,1,NOUN,0.0
342,8hours,1,NOUN,0.0
336,clientele,1,NOUN,0.0
382,trainees,1,NOUN,0.0
388,scheduling,1,NOUN,0.0
329,members,1,NOUN,0.0
326,cheese,1,NOUN,0.0
324,love,1,NOUN,0.0
319,sidework,1,NOUN,0.0
318,distribution,1,NOUN,0.0
315,bill,1,NOUN,0.0
314,requests,1,NOUN,0.0
371,lot,1,NOUN,0.0
394,block,1,NOUN,0.0
304,years,1,NOUN,0.0
299,door,1,NOUN,0.0
327,cake,1,NOUN,0.0
194,habdle,1,NOUN,0.0
238,mess,1,NOUN,0.0
141,pole,1,NOUN,0.0
134,host,1,NOUN,0.0
128,hosts,1,NOUN,0.0
112,comments,1,NOUN,0.0
108,kiss,1,NOUN,0.0
106,way,1,NOUN,0.0
105,favoritism,1,NOUN,0.0
100,california,1,NOUN,0.0
98,valencia,1,NOUN,0.0
96,start,1,NOUN,0.0
91,pain,1,NOUN,0.0
88,attitudes,1,NOUN,0.0
86,mood,1,NOUN,0.0
77,emergency,1,NOUN,0.0
69,stop,1,NOUN,0.0
65,lie,1,NOUN,0.0
63,eyes,1,NOUN,0.0
58,jokes,1,NOUN,0.0
54,standards,1,NOUN,0.0
45,day,1,NOUN,0.0
42,end,1,NOUN,0.0
34,obtain,1,NOUN,0.0
32,timeit,1,NOUN,0.0
30,effort,1,NOUN,0.0
16,menu,1,NOUN,0.0
14,lateness,1,NOUN,0.0
138,position,1,NOUN,0.0
144,manager,1,NOUN,0.0
228,fingers,1,NOUN,0.0
150,clients,1,NOUN,0.0
226,meals,1,NOUN,0.0
222,shift,1,NOUN,0.0
214,breaks,1,NOUN,0.0
208,schedule,1,NOUN,0.0
204,staplers,1,NOUN,0.0
203,play,1,NOUN,0.0
201,nothing,1,NOUN,0.0
197,stock,1,NOUN,0.0
195,cakes,1,NOUN,0.0
193,ome,1,NOUN,0.0
190,counter,1,NOUN,0.0
188,cashier,1,NOUN,0.0
186,order,1,NOUN,0.0
185,size,1,NOUN,0.0
183,minutes,1,NOUN,0.0
179,degrees,1,NOUN,0.0
177,freezer,1,NOUN,0.0
176,inventory,1,NOUN,0.0
171,means,1,NOUN,0.0
170,morning,1,NOUN,0.0
169,bakery,1,NOUN,0.0
165,weeks,1,NOUN,0.0
159,harassment,1,NOUN,0.0
157,aggressiveri,1,NOUN,0.0
156,timecoworkers,1,NOUN,0.0
397,education,1,NOUN,0.0
