,name,count,pos,norm
3390,work life balance,6,,1.0000000000000002
3767,high turnover rate,6,,1.0000000000000002
1246,work long hours,6,,1.0000000000000002
539,fast paced environment,6,,1.0000000000000002
5308,lot hard work,6,,1.0000000000000002
8179,pay hard work,5,,0.8
1163,crew members managers,5,,0.8
1330,work little pay,4,,0.6000000000000001
24,pay amount work,4,,0.6000000000000001
6257,really fast paced,4,,0.6000000000000001
1065,food service job,4,,0.6000000000000001
3214,work low pay,4,,0.6000000000000001
1329,hard work little,4,,0.6000000000000001
3393,lot work little,4,,0.6000000000000001
8593,gets really busy,3,,0.4000000000000001
581,extremely fast paced,3,,0.4000000000000001
582,fast paced sometimes,3,,0.4000000000000001
5185,work fast paced,3,,0.4000000000000001
8047,fast paced work,3,,0.4000000000000001
5104,hours hard work,3,,0.4000000000000001
807,co workers work,3,,0.4000000000000001
4968,much work pay,3,,0.4000000000000001
6358,fast food restaurant,3,,0.4000000000000001
5356,80 hours week,2,,0.2
9916,hours consider lucky,2,,0.2
4927,low pay amount,2,,0.2
137,high expectations high,2,,0.2
2076,customer always right,2,,0.2
4096,poor management overworked,2,,0.2
1331,little pay managers,2,,0.2
5402,high paced environment,2,,0.2
11797,service job sometimes,2,,0.2
6179,long hours hard,2,,0.2
7561,work two days,2,,0.2
1344,food service jobs,2,,0.2
2061,rude customers lots,2,,0.2
163,everyone else work,2,,0.2
5416,long hours get,2,,0.2
5417,get really busy,2,,0.2
4276,fast paced high,2,,0.2
4277,paced high stress,2,,0.2
786,work environment stressful,2,,0.2
9461,full time hours,2,,0.2
2187,stressful environment times,2,,0.2
9936,crew get many,2,,0.2
9935,benefits crew get,2,,0.2
9934,receive benefits crew,2,,0.2
9925,harassed manager told,2,,0.2
9918,lucky 16 hours,2,,0.2
9919,16 hours last,2,,0.2
9920,hours last day,2,,0.2
9921,last day working,2,,0.2
9922,day working sexually,2,,0.2
118,deal rude customers,2,,0.2
9923,working sexually harassed,2,,0.2
9924,sexually harassed manager,2,,0.2
3235,crew members get,2,,0.2
9933,managers receive benefits,2,,0.2
3234,level crew members,2,,0.2
9926,manager told freaking,2,,0.2
9927,told freaking stop,2,,0.2
9928,freaking stop thought,2,,0.2
9929,stop thought okay,2,,0.2
9930,thought okay reason,2,,0.2
9931,okay reason managers,2,,0.2
9932,reason managers receive,2,,0.2
573,customersstressful work environment,2,,0.2
8715,work always busy,2,,0.2
12111,pay office politics,2,,0.2
9195,work sometimes hard,2,,0.2
10907,people work sometimes,2,,0.2
1088,rate poor training,2,,0.2
8451,people seem get,2,,0.2
1090,training much work,2,,0.2
1435,much free time,2,,0.2
3977,hard work sometimes,2,,0.2
3976,busy hard work,2,,0.2
692,way much work,2,,0.2
2260,fast pace time,2,,0.2
5902,hard work work,2,,0.2
326,hard work stand,2,,0.2
1966,always told us,2,,0.2
6908,fast paced stressful,2,,0.2
1959,job fast paced,2,,0.2
3593,one two people,2,,0.2
4375,stressful work environment,2,,0.2
4380,really high expectations,2,,0.2
5182,get fired really,2,,0.2
7712,low pay high,2,,0.2
2239,get paid much,2,,0.2
12110,low pay office,2,,0.2
743,day someone calls,2,,0.2
1572,managers rude customers,2,,0.2
1197,hard get hours,2,,0.2
3688,really hard work,2,,0.2
4298,hours get really,2,,0.2
209,new hires training,2,,0.2
2210,work extremely hard,2,,0.2
9143,get bit stressful,2,,0.2
8862,long hours late,2,,0.2
2014,long hours always,2,,0.2
6842,customers long hours,2,,0.2
1538,hard work especially,2,,0.2
3527,hard get used,2,,0.2
737,relatively low pay,2,,0.2
2762,someone calls sick,2,,0.2
6369,food restaurant customers,2,,0.2
4003,work becomes monotonous,2,,0.2
9258,like high school,2,,0.2
1072,hours hard get,2,,0.2
9917,consider lucky 16,2,,0.2
4826,hours per week,2,,0.2
9915,crappy hours consider,2,,0.2
8202,lunch dinner rush,2,,0.2
7410,hard work long,2,,0.2
960,enough pay work,2,,0.2
6668,work little much,2,,0.2
3817,times crew members,2,,0.2
528,fast pace work,2,,0.2
8674,sometimes hard get,2,,0.2
10721,40 hours week,2,,0.2
4548,people work hard,2,,0.2
9914,get crappy hours,2,,0.2
59,bad behind back,2,,0.2
58,talk bad behind,2,,0.2
8201,especially lunch dinner,2,,0.2
6619,high volume customers,2,,0.2
8178,low pay hard,2,,0.2
1753,puts much pressure,2,,0.2
4893,working food industry,2,,0.2
1730,long hours low,2,,0.2
45,lot pressure perform,2,,0.2
7069,work load get,2,,0.2
4515,much work little,2,,0.2
6638,sometimes get busy,2,,0.2
1746,schedule every week,2,,0.2
1745,different schedule every,2,,0.2
493,really bad managers,2,,0.2
5355,work 80 hours,2,,0.2
25,amount work needs,2,,0.2
6075,hours short breaks,2,,0.2
1119,poor leadership lack,2,,0.2
9902,want college degree,2,,0.2
9911,work hours part,2,,0.2
9910,location work hours,2,,0.2
9906,manager life much,2,,0.2
9909,favoritism location work,2,,0.2
9903,college degree become,2,,0.2
1636,managers play favorites,2,,0.2
9908,much favoritism location,2,,0.2
11818,lack management training,2,,0.2
826,get everything done,2,,0.2
9907,life much favoritism,2,,0.2
9912,hours part get,2,,0.2
9065,almost every shift,2,,0.2
9904,degree become manager,2,,0.2
9913,part get crappy,2,,0.2
9905,become manager life,2,,0.2
8762,arriving store struggling,1,,0.0
8987,really busy extremely,1,,0.0
8664,food best place,1,,0.0
8764,struggling seemed like,1,,0.0
8763,store struggling seemed,1,,0.0
8765,seemed like managers,1,,0.0
8766,like managers sending,1,,0.0
8663,produce food best,1,,0.0
8767,managers sending us,1,,0.0
8761,months arriving store,1,,0.0
8992,also demandinghigh expectations,1,,0.0
8760,within months arriving,1,,0.0
8759,fired within months,1,,0.0
8746,outrageous types people,1,,0.0
8666,place uexpect move,1,,0.0
8747,types people really,1,,0.0
8665,best place uexpect,1,,0.0
8748,people really cons,1,,0.0
8749,really cons found,1,,0.0
8750,cons found working,1,,0.0
8751,found working chipotlein,1,,0.0
8752,working chipotlein store,1,,0.0
8690,c company looks,1,,0.0
8753,chipotlein store lot,1,,0.0
8754,store lot managers,1,,0.0
8988,busy extremely slow,1,,0.0
8755,lot managers sent,1,,0.0
8756,managers sent us,1,,0.0
8757,sent us fired,1,,0.0
8758,us fired within,1,,0.0
8768,sending us expect,1,,0.0
8772,way company could,1,,0.0
8769,us expect fail,1,,0.0
8656,mistake management gets,1,,0.0
8783,bosses seem care,1,,0.0
8784,seem care alot,1,,0.0
8785,care alot work,1,,0.0
8655,make mistake management,1,,0.0
8786,alot work 9,1,,0.0
8787,work 9 diversity,1,,0.0
8654,overwhelming make mistake,1,,0.0
8653,completely overwhelming make,1,,0.0
8652,insane completely overwhelming,1,,0.0
8788,9 diversity alot,1,,0.0
8789,diversity alot pressure,1,,0.0
8790,alot pressure finish,1,,0.0
8986,usually really busy,1,,0.0
8791,pressure finish fast,1,,0.0
8792,finish fast idea,1,,0.0
8782,corporate bosses seem,1,,0.0
8657,management gets totally,1,,0.0
8770,expect fail way,1,,0.0
8781,schedule corporate bosses,1,,0.0
8771,fail way company,1,,0.0
8745,demanded outrageous types,1,,0.0
8773,company could fire,1,,0.0
8774,could fire managers,1,,0.0
8662,like produce food,1,,0.0
8775,fire managers good,1,,0.0
8661,u like produce,1,,0.0
8660,upset u like,1,,0.0
8776,managers good grasp,1,,0.0
8777,good grasp creating,1,,0.0
8659,totally upset u,1,,0.0
8658,gets totally upset,1,,0.0
8778,grasp creating good,1,,0.0
8779,creating good schedule,1,,0.0
8780,good schedule corporate,1,,0.0
8667,uexpect move fast,1,,0.0
8742,chipotle life demanding,1,,0.0
8744,demanding demanded outrageous,1,,0.0
8716,always busy day,1,,0.0
8706,hours crazyhectic gets,1,,0.0
8793,fast idea everything,1,,0.0
8707,crazyhectic gets really,1,,0.0
8995,low pay expectations,1,,0.0
8994,expectations low pay,1,,0.0
8708,gets really frustrating,1,,0.0
8709,really frustrating especially,1,,0.0
8710,frustrating especially working,1,,0.0
8678,hard work customers,1,,0.0
8677,breaks lot hard,1,,0.0
8711,especially working line,1,,0.0
8712,working line hard,1,,0.0
8691,company looks specific,1,,0.0
8684,get break lots,1,,0.0
8676,get breaks lot,1,,0.0
8675,hard get breaks,1,,0.0
8713,line hard work,1,,0.0
8705,peak hours crazyhectic,1,,0.0
8679,work customers really,1,,0.0
8704,walking peak hours,1,,0.0
8699,rude managers suck,1,,0.0
8693,specific people running,1,,0.0
8694,people running food,1,,0.0
8682,rudesometimes hard get,1,,0.0
8695,running food high,1,,0.0
8696,food high demandcustomers,1,,0.0
8697,high demandcustomers rude,1,,0.0
8698,demandcustomers rude managers,1,,0.0
8700,managers suck constant,1,,0.0
8680,customers really rudesometimes,1,,0.0
8701,suck constant standing,1,,0.0
8681,really rudesometimes hard,1,,0.0
8991,usually also demandinghigh,1,,0.0
8692,looks specific people,1,,0.0
8683,hard get break,1,,0.0
8702,constant standing walking,1,,0.0
8703,standing walking peak,1,,0.0
8714,hard work always,1,,0.0
8717,busy day day,1,,0.0
8743,life demanding demanded,1,,0.0
8673,pace sometimes hard,1,,0.0
8732,amazing job payed,1,,0.0
8670,company sometimes fast,1,,0.0
8686,lots employee turnover,1,,0.0
8734,payed decently believe,1,,0.0
8687,employee turnover b,1,,0.0
8735,decently believe pay,1,,0.0
8736,believe pay fair,1,,0.0
8688,turnover b c,1,,0.0
8689,b c company,1,,0.0
8737,pay fair felt,1,,0.0
8738,fair felt like,1,,0.0
8739,felt like make,1,,0.0
8740,like make chipotle,1,,0.0
8741,make chipotle life,1,,0.0
8669,fast company sometimes,1,,0.0
8668,move fast company,1,,0.0
8993,demandinghigh expectations low,1,,0.0
8731,pay amazing job,1,,0.0
8730,rewarding pay amazing,1,,0.0
8729,work rewarding pay,1,,0.0
8722,30 minutes use,1,,0.0
8672,fast pace sometimes,1,,0.0
8718,day day outbreaks,1,,0.0
8719,day outbreaks never,1,,0.0
8990,slow usually also,1,,0.0
8989,extremely slow usually,1,,0.0
8720,outbreaks never 30,1,,0.0
8721,never 30 minutes,1,,0.0
8671,sometimes fast pace,1,,0.0
8728,stressfulhard work rewarding,1,,0.0
8723,minutes use restroom,1,,0.0
8685,break lots employee,1,,0.0
8996,pay expectations standards,1,,0.0
8724,use restroom peak,1,,0.0
8725,restroom peak hours,1,,0.0
8726,peak hours stressfulhard,1,,0.0
8727,hours stressfulhard work,1,,0.0
8733,job payed decently,1,,0.0
8978,night sucks staffers,1,,0.0
8794,idea everything high,1,,0.0
8981,meanmoving difficultvery fast,1,,0.0
8912,get tired eating,1,,0.0
8913,tired eating chipotlebreaks,1,,0.0
8914,eating chipotlebreaks handled,1,,0.0
