,name,count,pos,norm
23,work,410,NOUN,1.0
60,hours,194,NOUN,0.4718826405867971
77,get,178,NOUN,0.43276283618581907
107,management,164,NOUN,0.39853300733496333
212,hard,147,NOUN,0.3569682151589242
36,pay,141,NOUN,0.3422982885085574
162,customers,135,NOUN,0.3276283618581907
190,time,127,NOUN,0.3080684596577017
30,managers,115,NOUN,0.2787286063569682
67,lot,109,NOUN,0.26405867970660146
322,people,105,NOUN,0.254278728606357
357,job,95,NOUN,0.2298288508557457
11,fast,90,NOUN,0.21760391198044007
196,employees,86,NOUN,0.20782396088019559
18,working,82,NOUN,0.1980440097799511
269,times,75,NOUN,0.18092909535452323
182,chipotle,69,NOUN,0.16625916870415647
114,rude,67,NOUN,0.16136919315403422
281,low,66,NOUN,0.1589242053789731
865,crew,63,NOUN,0.1515892420537897
438,manager,59,NOUN,0.14180929095354522
256,food,57,NOUN,0.13691931540342298
152,store,53,NOUN,0.12713936430317846
272,day,51,NOUN,0.12224938875305624
572,one,50,NOUN,0.1198044009779951
419,company,47,NOUN,0.11246943765281174
3,good,45,NOUN,0.10757946210268948
241,training,44,NOUN,0.10513447432762836
317,things,42,NOUN,0.10024449877750612
301,environment,40,NOUN,0.09535452322738387
328,schedule,38,NOUN,0.09046454767726161
50,lack,38,NOUN,0.09046454767726161
29,everything,38,NOUN,0.09046454767726161
206,everyone,37,NOUN,0.08801955990220049
578,shift,35,NOUN,0.08312958435207825
237,week,35,NOUN,0.08312958435207825
39,amount,34,NOUN,0.08068459657701711
179,life,34,NOUN,0.08068459657701711
43,stress,34,NOUN,0.08068459657701711
144,poor,33,NOUN,0.07823960880195599
458,make,33,NOUN,0.07823960880195599
347,way,33,NOUN,0.07823960880195599
403,days,32,NOUN,0.07579462102689487
1313,restaurant,31,NOUN,0.07334963325183375
775,take,31,NOUN,0.07334963325183375
146,workers,31,NOUN,0.07334963325183375
263,location,30,NOUN,0.07090464547677262
70,pressure,30,NOUN,0.07090464547677262
199,team,30,NOUN,0.07090464547677262
99,lots,30,NOUN,0.07090464547677262
28,expect,29,NOUN,0.06845965770171149
193,breaks,29,NOUN,0.06845965770171149
201,know,27,NOUN,0.06356968215158924
414,move,26,NOUN,0.06112469437652812
116,demanding,25,NOUN,0.05867970660146699
204,want,25,NOUN,0.05867970660146699
142,expectations,25,NOUN,0.05867970660146699
170,turnover,24,NOUN,0.05623471882640587
677,put,24,NOUN,0.05623471882640587
878,hour,24,NOUN,0.05623471882640587
155,level,24,NOUN,0.05623471882640587
809,service,23,NOUN,0.05378973105134475
363,shifts,23,NOUN,0.05378973105134475
264,line,23,NOUN,0.05378973105134475
173,feel,23,NOUN,0.05378973105134475
751,break,23,NOUN,0.05378973105134475
769,standards,22,NOUN,0.05134474327628362
603,members,22,NOUN,0.05134474327628362
306,place,22,NOUN,0.05134474327628362
988,right,22,NOUN,0.05134474327628362
545,scheduling,21,NOUN,0.0488997555012225
311,care,21,NOUN,0.0488997555012225
978,school,20,NOUN,0.046454767726161375
1192,end,20,NOUN,0.046454767726161375
460,staff,20,NOUN,0.046454767726161375
251,closing,19,NOUN,0.044009779951100246
687,need,19,NOUN,0.044009779951100246
332,changes,19,NOUN,0.044009779951100246
463,rate,19,NOUN,0.044009779951100246
1226,keep,19,NOUN,0.044009779951100246
929,grill,19,NOUN,0.044009779951100246
98,back,19,NOUN,0.044009779951100246
379,customer,18,NOUN,0.041564792176039124
1093,position,18,NOUN,0.041564792176039124
528,feet,18,NOUN,0.041564792176039124
927,prep,17,NOUN,0.039119804400977995
167,coworkers,17,NOUN,0.039119804400977995
642,kitchen,17,NOUN,0.039119804400977995
75,wage,17,NOUN,0.039119804400977995
49,favoritism,16,NOUN,0.03667481662591687
799,say,16,NOUN,0.03667481662591687
780,leave,16,NOUN,0.03667481662591687
86,gm,16,NOUN,0.03667481662591687
1038,help,16,NOUN,0.03667481662591687
12,pace,16,NOUN,0.03667481662591687
648,bit,16,NOUN,0.03667481662591687
46,experience,16,NOUN,0.03667481662591687
244,others,16,NOUN,0.03667481662591687
128,communication,16,NOUN,0.03667481662591687
807,cons,16,NOUN,0.03667481662591687
394,give,15,NOUN,0.03422982885085575
249,part,15,NOUN,0.03422982885085575
764,start,15,NOUN,0.03422982885085575
610,culture,15,NOUN,0.03422982885085575
436,someone,15,NOUN,0.03422982885085575
233,cut,15,NOUN,0.03422982885085575
1224,thing,15,NOUN,0.03422982885085575
784,stay,14,NOUN,0.03178484107579462
58,employee,14,NOUN,0.03178484107579462
658,home,14,NOUN,0.03178484107579462
63,change,14,NOUN,0.03178484107579462
991,college,13,NOUN,0.029339853300733496
448,lunch,13,NOUN,0.029339853300733496
180,balance,13,NOUN,0.029339853300733496
278,peak,13,NOUN,0.029339853300733496
541,show,13,NOUN,0.029339853300733496
449,rush,13,NOUN,0.029339853300733496
1158,reason,13,NOUN,0.029339853300733496
423,something,13,NOUN,0.029339853300733496
65,clock,13,NOUN,0.029339853300733496
921,jobs,12,NOUN,0.02689486552567237
135,benefits,12,NOUN,0.02689486552567237
1048,fire,12,NOUN,0.02689486552567237
634,problems,12,NOUN,0.02689486552567237
670,co,12,NOUN,0.02689486552567237
189,weeks,12,NOUN,0.02689486552567237
1232,positions,12,NOUN,0.02689486552567237
583,still,12,NOUN,0.02689486552567237
569,makes,12,NOUN,0.02689486552567237
217,months,12,NOUN,0.02689486552567237
837,business,11,NOUN,0.024449877750611245
834,leadership,11,NOUN,0.024449877750611245
1595,cleaning,11,NOUN,0.024449877750611245
397,idea,11,NOUN,0.024449877750611245
722,night,11,NOUN,0.024449877750611245
549,favorites,11,NOUN,0.024449877750611245
334,stores,11,NOUN,0.024449877750611245
456,minimum,11,NOUN,0.024449877750611245
1116,labor,11,NOUN,0.024449877750611245
220,anything,11,NOUN,0.024449877750611245
181,restaurants,11,NOUN,0.024449877750611245
408,tiring,11,NOUN,0.024449877750611245
852,kind,10,NOUN,0.022004889975550123
41,needs,10,NOUN,0.022004889975550123
506,drama,10,NOUN,0.022004889975550123
623,year,10,NOUN,0.022004889975550123
958,salary,10,NOUN,0.022004889975550123
478,requires,10,NOUN,0.022004889975550123
475,suck,9,NOUN,0.019559902200488997
421,pick,9,NOUN,0.019559902200488997
410,worth,9,NOUN,0.019559902200488997
1257,alot,9,NOUN,0.019559902200488997
1728,promotion,9,NOUN,0.019559902200488997
882,standing,9,NOUN,0.019559902200488997
633,general,9,NOUN,0.019559902200488997
254,tasks,9,NOUN,0.019559902200488997
1242,hiring,9,NOUN,0.019559902200488997
314,top,9,NOUN,0.019559902200488997
498,easy,9,NOUN,0.019559902200488997
2193,person,9,NOUN,0.019559902200488997
366,call,9,NOUN,0.019559902200488997
1343,face,9,NOUN,0.019559902200488997
399,run,9,NOUN,0.019559902200488997
559,problem,8,NOUN,0.017114914425427872
748,minute,8,NOUN,0.017114914425427872
757,unless,8,NOUN,0.017114914425427872
723,pain,8,NOUN,0.017114914425427872
673,overtime,8,NOUN,0.017114914425427872
647,point,8,NOUN,0.017114914425427872
563,student,8,NOUN,0.017114914425427872
412,room,8,NOUN,0.017114914425427872
289,dishes,8,NOUN,0.017114914425427872
120,compensation,8,NOUN,0.017114914425427872
355,nights,8,NOUN,0.017114914425427872
161,deal,8,NOUN,0.017114914425427872
157,workload,8,NOUN,0.017114914425427872
1908,workplace,8,NOUN,0.017114914425427872
6,use,8,NOUN,0.017114914425427872
230,hires,8,NOUN,0.017114914425427872
1080,find,8,NOUN,0.017114914425427872
1001,average,7,NOUN,0.014669926650366746
861,front,7,NOUN,0.014669926650366746
1528,apprentice,7,NOUN,0.014669926650366746
33,family,7,NOUN,0.014669926650366746
594,quality,7,NOUN,0.014669926650366746
1357,sense,7,NOUN,0.014669926650366746
55,money,7,NOUN,0.014669926650366746
855,try,7,NOUN,0.014669926650366746
1278,fact,7,NOUN,0.014669926650366746
324,train,7,NOUN,0.014669926650366746
1368,politics,7,NOUN,0.014669926650366746
15,none,7,NOUN,0.014669926650366746
816,promotions,7,NOUN,0.014669926650366746
2093,lines,7,NOUN,0.014669926650366746
1810,stop,7,NOUN,0.014669926650366746
1211,downsides,6,NOUN,0.012224938875305624
935,effort,6,NOUN,0.012224938875305624
581,body,6,NOUN,0.012224938875305624
1687,ethic,6,NOUN,0.012224938875305624
1050,follow,6,NOUN,0.012224938875305624
997,area,6,NOUN,0.012224938875305624
953,look,6,NOUN,0.012224938875305624
1675,process,6,NOUN,0.012224938875305624
1384,meet,6,NOUN,0.012224938875305624
141,intense,6,NOUN,0.012224938875305624
188,miss,6,NOUN,0.012224938875305624
901,dinner,6,NOUN,0.012224938875305624
889,morning,6,NOUN,0.012224938875305624
1770,anyone,6,NOUN,0.012224938875305624
1148,slack,6,NOUN,0.012224938875305624
813,structure,6,NOUN,0.012224938875305624
1136,lead,6,NOUN,0.012224938875305624
822,u,6,NOUN,0.012224938875305624
391,minutes,6,NOUN,0.012224938875305624
1605,development,6,NOUN,0.012224938875305624
1619,hire,6,NOUN,0.012224938875305624
1325,quit,6,NOUN,0.012224938875305624
1269,issues,6,NOUN,0.012224938875305624
2191,raise,6,NOUN,0.012224938875305624
31,nothing,6,NOUN,0.012224938875305624
381,opportunities,6,NOUN,0.012224938875305624
732,tips,6,NOUN,0.012224938875305624
1765,advancement,6,NOUN,0.012224938875305624
544,rules,6,NOUN,0.012224938875305624
73,perform,6,NOUN,0.012224938875305624
1094,industry,5,NOUN,0.009779951100244499
1110,fault,5,NOUN,0.009779951100244499
1838,chain,5,NOUN,0.009779951100244499
2652,understand,5,NOUN,0.009779951100244499
1877,load,5,NOUN,0.009779951100244499
1217,complaints,5,NOUN,0.009779951100244499
1108,puts,5,NOUN,0.009779951100244499
655,gossip,5,NOUN,0.009779951100244499
696,policies,5,NOUN,0.009779951100244499
1735,reach,5,NOUN,0.009779951100244499
