,name,count,pos,norm
18,work,51,NOUN,1.0
49,hours,26,NOUN,0.5
78,management,26,NOUN,0.5
123,customers,25,NOUN,0.48
30,pay,19,NOUN,0.36
113,store,18,NOUN,0.33999999999999997
149,time,15,NOUN,0.27999999999999997
59,get,15,NOUN,0.27999999999999997
53,lot,13,NOUN,0.24000000000000002
24,managers,13,NOUN,0.24000000000000002
288,job,12,NOUN,0.22
72,lots,11,NOUN,0.2
340,company,11,NOUN,0.2
217,times,10,NOUN,0.18000000000000002
154,employees,10,NOUN,0.18000000000000002
23,everything,9,NOUN,0.16
40,lack,9,NOUN,0.16
192,training,8,NOUN,0.14
257,people,8,NOUN,0.14
266,changes,8,NOUN,0.14
14,working,8,NOUN,0.14
142,chipotle,7,NOUN,0.12000000000000001
206,food,7,NOUN,0.12000000000000001
212,location,7,NOUN,0.12000000000000001
220,day,7,NOUN,0.12000000000000001
242,environment,7,NOUN,0.12000000000000001
659,service,6,NOUN,0.09999999999999999
84,demanding,6,NOUN,0.09999999999999999
57,wage,6,NOUN,0.09999999999999999
35,stress,6,NOUN,0.09999999999999999
375,staff,5,NOUN,0.08
201,closing,5,NOUN,0.08
109,workers,5,NOUN,0.08
263,schedule,5,NOUN,0.08
268,stores,5,NOUN,0.08
106,expectations,5,NOUN,0.08
127,coworkers,5,NOUN,0.08
32,amount,5,NOUN,0.08
54,pressure,5,NOUN,0.08
293,shifts,4,NOUN,0.06
22,expect,4,NOUN,0.06
356,manager,4,NOUN,0.06
657,cons,4,NOUN,0.06
373,make,4,NOUN,0.06
195,others,4,NOUN,0.06
188,week,4,NOUN,0.06
152,breaks,4,NOUN,0.06
752,jobs,4,NOUN,0.06
139,life,4,NOUN,0.06
8,pace,4,NOUN,0.06
133,feel,4,NOUN,0.06
130,turnover,4,NOUN,0.06
148,weeks,4,NOUN,0.06
342,something,4,NOUN,0.06
278,way,4,NOUN,0.06
307,customer,4,NOUN,0.06
248,care,3,NOUN,0.039999999999999994
703,crew,3,NOUN,0.039999999999999994
531,bit,3,NOUN,0.039999999999999994
471,shift,3,NOUN,0.039999999999999994
683,business,3,NOUN,0.039999999999999994
204,tasks,3,NOUN,0.039999999999999994
245,place,3,NOUN,0.039999999999999994
87,compensation,3,NOUN,0.039999999999999994
366,lunch,3,NOUN,0.039999999999999994
39,favoritism,3,NOUN,0.039999999999999994
213,line,3,NOUN,0.039999999999999994
37,experience,3,NOUN,0.039999999999999994
93,communication,3,NOUN,0.039999999999999994
295,call,3,NOUN,0.039999999999999994
27,family,3,NOUN,0.039999999999999994
185,cut,3,NOUN,0.039999999999999994
250,top,3,NOUN,0.039999999999999994
511,year,3,NOUN,0.039999999999999994
499,culture,3,NOUN,0.039999999999999994
259,train,3,NOUN,0.039999999999999994
161,everyone,3,NOUN,0.039999999999999994
157,team,3,NOUN,0.039999999999999994
714,tortilla,3,NOUN,0.039999999999999994
332,worth,3,NOUN,0.039999999999999994
492,members,3,NOUN,0.039999999999999994
762,cash,3,NOUN,0.039999999999999994
427,feet,3,NOUN,0.039999999999999994
116,level,3,NOUN,0.039999999999999994
593,night,2,NOUN,0.02
316,couple,2,NOUN,0.02
637,leave,2,NOUN,0.02
