,name,count,pos,norm
167,hard work,8,,1.0
96,long hours,5,,0.5714285714285714
119,rude customers,4,,0.42857142857142855
719,low pay,4,,0.42857142857142855
272,work environment,4,,0.42857142857142855
25,amount work,4,,0.42857142857142855
5,fast pace,4,,0.42857142857142855
530,fast paced,3,,0.2857142857142857
465,minimum wage,3,,0.2857142857142857
1229,customer service,3,,0.2857142857142857
596,management unprofessional,3,,0.2857142857142857
1034,food service,3,,0.2857142857142857
1126,crew members,2,,0.14285714285714285
486,really bad,2,,0.14285714285714285
487,bad managers,2,,0.14285714285714285
917,disrespectful customers,2,,0.14285714285714285
1060,work high,2,,0.14285714285714285
521,work hard,2,,0.14285714285714285
1058,poor training,2,,0.14285714285714285
520,pace work,2,,0.14285714285714285
492,demanding job,2,,0.14285714285714285
201,3 hours,2,,0.14285714285714285
162,everyone else,2,,0.14285714285714285
495,constantly moving,2,,0.14285714285714285
300,changes lot,2,,0.14285714285714285
73,lot stress,2,,0.14285714285714285
943,stressful busy,2,,0.14285714285714285
930,proper training,2,,0.14285714285714285
690,learning curve,2,,0.14285714285714285
933,enough pay,2,,0.14285714285714285
794,hours overtime,2,,0.14285714285714285
835,company changes,2,,0.14285714285714285
709,people culture,2,,0.14285714285714285
1041,hours hard,2,,0.14285714285714285
1525,help close,2,,0.14285714285714285
168,work management,2,,0.14285714285714285
1204,work long,2,,0.14285714285714285
1225,often quite,2,,0.14285714285714285
1042,hard get,2,,0.14285714285714285
193,new hires,2,,0.14285714285714285
368,visit stores,2,,0.14285714285714285
1294,service jobs,2,,0.14285714285714285
441,lots work,2,,0.14285714285714285
318,way much,2,,0.14285714285714285
458,store understaffed,2,,0.14285714285714285
457,busy store,2,,0.14285714285714285
141,life balance,2,,0.14285714285714285
129,high stress,2,,0.14285714285714285
1411,sometimes rude,2,,0.14285714285714285
628,hard sometimes,2,,0.14285714285714285
259,angry customers,2,,0.14285714285714285
460,management bad,2,,0.14285714285714285
442,work pay,2,,0.14285714285714285
1114,customers get,2,,0.14285714285714285
723,busy day,2,,0.14285714285714285
1090,business model,2,,0.14285714285714285
675,work company,2,,0.14285714285714285
1003,time management,2,,0.14285714285714285
548,pay lots,2,,0.14285714285714285
674,much work,2,,0.14285714285714285
1166,peak hour,1,,0.0
1146,two weeks,1,,0.0
1144,must call,1,,0.0
1145,call two,1,,0.0
1167,hour extreme,1,,0.0
1143,customers must,1,,0.0
1168,extreme pressure,1,,0.0
1165,pace peak,1,,0.0
1142,even disrespectful,1,,0.0
1152,one ever,1,,0.0
1164,super fast,1,,0.0
1158,enough hours,1,,0.0
1153,ever wants,1,,0.0
1154,wants cover,1,,0.0
1155,cover even,1,,0.0
1156,even themnot,1,,0.0
1157,themnot enough,1,,0.0
1149,sometimes wont,1,,0.0
1148,early sometimes,1,,0.0
1163,employees super,1,,0.0
1159,get hours,1,,0.0
1160,hours due,1,,0.0
1147,weeks early,1,,0.0
1161,due amount,1,,0.0
1162,amount employees,1,,0.0
1151,let one,1,,0.0
1150,wont let,1,,0.0
1130,excellence closing,1,,0.0
1141,rude even,1,,0.0
1105,hot button,1,,0.0
1115,get yelled,1,,0.0
1113,rush customers,1,,0.0
1112,insane rush,1,,0.0
1111,fly insane,1,,0.0
1110,learn fly,1,,0.0
1109,try learn,1,,0.0
1108,kind try,1,,0.0
1107,issue kind,1,,0.0
1106,button issue,1,,0.0
1104,portions hot,1,,0.0
1140,never rude,1,,0.0
1103,measuring portions,1,,0.0
1102,processes measuring,1,,0.0
1101,model processes,1,,0.0
1100,made business,1,,0.0
1099,need made,1,,0.0
1098,changes need,1,,0.0
1097,see changes,1,,0.0
1096,listen see,1,,0.0
1095,unwilling listen,1,,0.0
1116,yelled front,1,,0.0
1117,front said,1,,0.0
1118,said customers,1,,0.0
1119,customers measure,1,,0.0
1139,expected never,1,,0.0
1138,rude expected,1,,0.0
1137,come rude,1,,0.0
1136,people come,1,,0.0
1135,fast people,1,,0.0
1134,done fast,1,,0.0
1133,spotless done,1,,0.0
1132,everything spotless,1,,0.0
1131,closing everything,1,,0.0
1170,tortilla need,1,,0.0
1129,expect excellence,1,,0.0
1128,managers expect,1,,0.0
1127,members managers,1,,0.0
1125,pay crew,1,,0.0
1124,worth pay,1,,0.0
1123,work worth,1,,0.0
1122,portionthe amount,1,,0.0
1121,much portionthe,1,,0.0
1120,measure much,1,,0.0
1169,pressure tortilla,1,,0.0
0,stressful good,1,,0.0
1171,need constantly,1,,0.0
1172,constantly something,1,,0.0
1249,attributes interviewvery,1,,0.0
1248,innate attributes,1,,0.0
1247,specific innate,1,,0.0
1246,searches specific,1,,0.0
1245,rushes searches,1,,0.0
1244,dinner rushes,1,,0.0
1243,lunch dinner,1,,0.0
1242,stressful lunch,1,,0.0
1241,minors stressful,1,,0.0
1240,management minors,1,,0.0
1239,curve time,1,,0.0
1238,steep learning,1,,0.0
1237,pressure steep,1,,0.0
1236,intensehigh pressure,1,,0.0
1235,tiring intensehigh,1,,0.0
1234,long tiring,1,,0.0
1233,rushes long,1,,0.0
1232,lunch rushes,1,,0.0
1231,difficult lunch,1,,0.0
1230,service difficult,1,,0.0
1228,make customer,1,,0.0
1227,rude make,1,,0.0
1226,quite rude,1,,0.0
1250,interviewvery picky,1,,0.0
1251,picky pushy,1,,0.0
1252,pushy opinion,1,,0.0
1265,lot management,1,,0.0
1275,rudest people,1,,0.0
1274,literally rudest,1,,0.0
1273,customers literally,1,,0.0
1272,train customers,1,,0.0
1271,staff train,1,,0.0
1270,allow staff,1,,0.0
1269,staff allow,1,,0.0
1268,train staff,1,,0.0
1267,would train,1,,0.0
1266,management would,1,,0.0
1264,staff lot,1,,0.0
1253,opinion everything,1,,0.0
1263,disrespected staff,1,,0.0
1262,management disrespected,1,,0.0
1261,members management,1,,0.0
1260,great crew,1,,0.0
1259,really great,1,,0.0
1258,nothing really,1,,0.0
1257,theres nothing,1,,0.0
1256,restaurateur theres,1,,0.0
1255,surrounds restaurateur,1,,0.0
1254,everything surrounds,1,,0.0
1224,atcustomers often,1,,0.0
1223,location atcustomers,1,,0.0
1222,sucked location,1,,0.0
1184,fast enoughfast,1,,0.0
1193,annoying customers,1,,0.0
1192,extremely annoying,1,,0.0
1191,lifting extremely,1,,0.0
1190,heavy lifting,1,,0.0
1189,coworkers heavy,1,,0.0
1188,gossipy coworkers,1,,0.0
1187,stressful gossipy,1,,0.0
1186,paced stressful,1,,0.0
1185,enoughfast paced,1,,0.0
1093,changes leadership,1,,0.0
1183,mad fast,1,,0.0
1195,constant company,1,,0.0
1182,get mad,1,,0.0
1181,coworkers get,1,,0.0
1180,tortilla coworkers,1,,0.0
1179,working tortilla,1,,0.0
1178,new working,1,,0.0
1177,place new,1,,0.0
1176,one place,1,,0.0
1175,standing one,1,,0.0
1174,never standing,1,,0.0
1173,something never,1,,0.0
1194,customers constant,1,,0.0
1196,changes new,1,,0.0
1221,kindof sucked,1,,0.0
1210,perform high,1,,0.0
1220,management kindof,1,,0.0
1219,likethe management,1,,0.0
1218,job likethe,1,,0.0
1217,doboring job,1,,0.0
1216,pay doboring,1,,0.0
1215,strict low,1,,0.0
1214,stressful strict,1,,0.0
1213,work stressful,1,,0.0
1212,quality work,1,,0.0
1211,high quality,1,,0.0
1209,lot perform,1,,0.0
1197,new regulations,1,,0.0
1208,expected lot,1,,0.0
1207,job expected,1,,0.0
1206,hotvery demanding,1,,0.0
1205,hours hotvery,1,,0.0
1203,flexiblehard work,1,,0.0
1202,morning flexiblehard,1,,0.0
1201,early morning,1,,0.0
1200,night early,1,,0.0
1199,hours night,1,,0.0
1198,regulations long,1,,0.0
1094,leadership unwilling,1,,0.0
1076,customers entitled,1,,0.0
1092,evolved changes,1,,0.0
942,offvery stressful,1,,0.0
953,corners allowing,1,,0.0
952,cut corners,1,,0.0
951,make cut,1,,0.0
950,start make,1,,0.0
949,ask start,1,,0.0
948,times ask,1,,0.0
947,achieve times,1,,0.0
946,trying achieve,1,,0.0
945,times trying,1,,0.0
944,busy times,1,,0.0
941,50 offvery,1,,0.0
955,hold standards,1,,0.0
940,benefit 50,1,,0.0
939,hours benefit,1,,0.0
938,work hours,1,,0.0
937,unless work,1,,0.0
936,done unless,1,,0.0
935,work done,1,,0.0
934,pay work,1,,0.0
932,5 enough,1,,0.0
931,training 5,1,,0.0
929,lack proper,1,,0.0
954,allowing hold,1,,0.0
956,standards discount,1,,0.0
927,break 4,1,,0.0
969,smelling like,1,,0.0
979,finished management,1,,0.0
978,stay finished,1,,0.0
977,would stay,1,,0.0
976,closed would,1,,0.0
975,leave closed,1,,0.0
974,time leave,1,,0.0
973,set time,1,,0.0
972,never set,1,,0.0
971,foodthere never,1,,0.0
970,like foodthere,1,,0.0
968,food smelling,1,,0.0
957,discount valid,1,,0.0
967,home food,1,,0.0
966,coming home,1,,0.0
965,late coming,1,,0.0
964,closing late,1,,0.0
963,store closing,1,,0.0
962,meal store,1,,0.0
961,free meal,1,,0.0
960,take free,1,,0.0
959,store take,1,,0.0
958,valid store,1,,0.0
928,4 lack,1,,0.0
926,unpaid break,1,,0.0
981,work difficult,1,,0.0
887,timesbut tips,1,,0.0
897,managers needed,1,,0.0
896,ability really,1,,0.0
895,tipping ability,1,,0.0
894,card tipping,1,,0.0
893,credit card,1,,0.0
892,since credit,1,,0.0
891,tip since,1,,0.0
890,customers tip,1,,0.0
889,horrible customers,1,,0.0
888,tips horrible,1,,0.0
886,demanding timesbut,1,,0.0
899,retrained general,1,,0.0
885,communicationcan demanding,1,,0.0
884,rude communicationcan,1,,0.0
883,paced rude,1,,0.0
882,morningvery fast,1,,0.0
881,next morningvery,1,,0.0
880,opened next,1,,0.0
879,pain opened,1,,0.0
878,night pain,1,,0.0
877,late night,1,,0.0
876,occurred late,1,,0.0
898,needed retrained,1,,0.0
900,general manager,1,,0.0
925,minute unpaid,1,,0.0
913,wage amount,1,,0.0
924,30 minute,1,,0.0
923,3 30,1,,0.0
922,day 3,1,,0.0
921,hurt busy,1,,0.0
920,back hurt,1,,0.0
919,2 back,1,,0.0
918,customers 2,1,,0.0
916,in1 disrespectful,1,,0.0
915,put in1,1,,0.0
914,work put,1,,0.0
912,managerslow wage,1,,0.0
901,manager knew,1,,0.0
911,mean managerslow,1,,0.0
910,overly mean,1,,0.0
909,jokes overly,1,,0.0
908,hurtful jokes,1,,0.0
907,lots hurtful,1,,0.0
906,insulting lots,1,,0.0
905,culture insulting,1,,0.0
904,company culture,1,,0.0
903,improved company,1,,0.0
902,knew improved,1,,0.0
980,unprofessional work,1,,0.0
982,difficult low,1,,0.0
1091,model evolved,1,,0.0
1051,employee sunfair,1,,0.0
1063,u lucky,1,,0.0
1062,preassure u,1,,0.0
1061,high preassure,1,,0.0
1059,training much,1,,0.0
1057,rate poor,1,,0.0
1056,payment rate,1,,0.0
1055,diversitylow payment,1,,0.0
1054,lack diversitylow,1,,0.0
1053,promotions lack,1,,0.0
1052,sunfair promotions,1,,0.0
1050,50 employee,1,,0.0
1065,u get,1,,0.0
1049,like 50,1,,0.0
1048,due like,1,,0.0
1047,schedules due,1,,0.0
1046,structure schedules,1,,0.0
1045,bad structure,1,,0.0
1044,20 bad,1,,0.0
1043,get 20,1,,0.0
1040,best hours,1,,0.0
1039,work best,1,,0.0
1038,dayslot work,1,,0.0
1064,lucky u,1,,0.0
1066,get 32,1,,0.0
1036,job frustrating,1,,0.0
1079,pay pay,1,,0.0
1089,structure business,1,,0.0
1088,badbonus structure,1,,0.0
1087,support badbonus,1,,0.0
1086,lack support,1,,0.0
1085,leadership lack,1,,0.0
1084,poor leadership,1,,0.0
1083,training poor,1,,0.0
1082,dollars poor,1,,0.0
1081,9 dollars,1,,0.0
1080,pay 9,1,,0.0
1078,impatient low,1,,0.0
1067,32 hours,1,,0.0
1077,entitled impatient,1,,0.0
1277,planet never,1,,0.0
1075,customers customers,1,,0.0
1074,lots customers,1,,0.0
1073,busy lots,1,,0.0
1072,unorganized stressful,1,,0.0
1071,time unorganized,1,,0.0
1070,full time,1,,0.0
1069,maximum full,1,,0.0
1068,hours maximum,1,,0.0
1037,frustrating dayslot,1,,0.0
1035,service job,1,,0.0
983,work mean,1,,0.0
995,discriminated lot,1,,0.0
1006,us ssr,1,,0.0
1005,top us,1,,0.0
1004,management top,1,,0.0
1002,us time,1,,0.0
1001,care us,1,,0.0
1000,literally care,1,,0.0
999,messed literally,1,,0.0
998,always messed,1,,0.0
997,schedule always,1,,0.0
996,lot schedule,1,,0.0
994,personal discriminated,1,,0.0
1008,came would,1,,0.0
993,childish personal,1,,0.0
992,manager childish,1,,0.0
991,rude manager,1,,0.0
990,sooooooooo rude,1,,0.0
989,customers sooooooooo,1,,0.0
988,stressfulthe customers,1,,0.0
987,turnoversometimes stressfulthe,1,,0.0
986,lots turnoversometimes,1,,0.0
985,management lots,1,,0.0
984,mean management,1,,0.0
1007,ssr came,1,,0.0
1009,would barely,1,,0.0
1033,wage food,1,,0.0
1022,required salaried,1,,0.0
1032,low wage,1,,0.0
1031,typical low,1,,0.0
1030,cons typical,1,,0.0
1029,major cons,1,,0.0
1028,hours major,1,,0.0
1027,extra hours,1,,0.0
1026,lot extra,1,,0.0
1025,working lot,1,,0.0
1024,compensation working,1,,0.0
1023,salaried compensation,1,,0.0
1021,hours required,1,,0.0
1010,barely store,1,,0.0
1020,working hours,1,,0.0
1019,fake working,1,,0.0
1018,alone fake,1,,0.0
1017,company alone,1,,0.0
1016,say company,1,,0.0
1015,crush say,1,,0.0
1014,candy crush,1,,0.0
1013,playing candy,1,,0.0
1012,office playing,1,,0.0
1011,store office,1,,0.0
1276,people planet,1,,0.0
1287,underqualified workers,1,,0.0
1278,never disrespected,1,,0.0
