,name,count,pos,norm
23,work,319,NOUN,1.0
58,hours,151,NOUN,0.4716981132075472
71,get,137,NOUN,0.4276729559748428
100,management,135,NOUN,0.42138364779874216
205,hard,122,NOUN,0.3805031446540881
36,pay,114,NOUN,0.35534591194968557
155,customers,111,NOUN,0.3459119496855346
183,time,95,NOUN,0.29559748427672955
30,managers,91,NOUN,0.2830188679245283
63,lot,89,NOUN,0.27672955974842767
314,people,84,NOUN,0.2610062893081761
349,job,73,NOUN,0.22641509433962265
189,employees,69,NOUN,0.2138364779874214
11,fast,68,NOUN,0.21069182389937108
18,working,65,NOUN,0.20125786163522014
261,times,63,NOUN,0.1949685534591195
175,chipotle,56,NOUN,0.1729559748427673
107,rude,56,NOUN,0.1729559748427673
273,low,51,NOUN,0.15723270440251574
839,crew,45,NOUN,0.13836477987421383
248,food,43,NOUN,0.1320754716981132
428,manager,41,NOUN,0.12578616352201258
145,store,41,NOUN,0.12578616352201258
410,company,38,NOUN,0.11635220125786164
264,day,37,NOUN,0.11320754716981132
557,one,37,NOUN,0.11320754716981132
293,environment,35,NOUN,0.1069182389937107
3,good,35,NOUN,0.1069182389937107
320,schedule,31,NOUN,0.09433962264150944
199,everyone,30,NOUN,0.09119496855345913
309,things,30,NOUN,0.09119496855345913
394,days,30,NOUN,0.09119496855345913
233,training,28,NOUN,0.0849056603773585
29,everything,28,NOUN,0.0849056603773585
447,make,28,NOUN,0.0849056603773585
172,life,28,NOUN,0.0849056603773585
92,lots,28,NOUN,0.0849056603773585
49,lack,28,NOUN,0.0849056603773585
255,location,27,NOUN,0.08176100628930819
39,amount,26,NOUN,0.07861635220125787
43,stress,25,NOUN,0.07547169811320756
139,workers,25,NOUN,0.07547169811320756
192,team,25,NOUN,0.07547169811320756
563,shift,25,NOUN,0.07547169811320756
229,week,24,NOUN,0.07232704402515724
137,poor,24,NOUN,0.07232704402515724
186,breaks,24,NOUN,0.07232704402515724
1274,restaurant,24,NOUN,0.07232704402515724
339,way,23,NOUN,0.06918238993710692
753,take,23,NOUN,0.06918238993710692
163,turnover,23,NOUN,0.06918238993710692
135,expectations,22,NOUN,0.0660377358490566
109,demanding,21,NOUN,0.06289308176100629
28,expect,20,NOUN,0.059748427672955975
194,know,20,NOUN,0.059748427672955975
303,care,19,NOUN,0.05660377358490566
197,want,19,NOUN,0.05660377358490566
148,level,19,NOUN,0.05660377358490566
852,hour,19,NOUN,0.05660377358490566
324,changes,18,NOUN,0.05345911949685535
355,shifts,18,NOUN,0.05345911949685535
950,school,18,NOUN,0.05345911949685535
657,put,17,NOUN,0.050314465408805034
449,staff,17,NOUN,0.050314465408805034
452,rate,17,NOUN,0.050314465408805034
298,place,17,NOUN,0.050314465408805034
784,service,16,NOUN,0.04716981132075472
531,scheduling,16,NOUN,0.04716981132075472
405,move,16,NOUN,0.04716981132075472
1063,position,16,NOUN,0.04716981132075472
1191,keep,16,NOUN,0.04716981132075472
66,pressure,15,NOUN,0.04402515723270441
166,feel,15,NOUN,0.04402515723270441
256,line,15,NOUN,0.04402515723270441
586,members,15,NOUN,0.04402515723270441
747,standards,15,NOUN,0.04402515723270441
91,back,14,NOUN,0.04088050314465409
