,name,count,pos,norm
1246,work long hours,2,,1.0
1072,hours hard get,2,,1.0
1329,hard work little,2,,1.0
1538,hard work especially,2,,1.0
1163,crew members managers,2,,1.0
581,extremely fast paced,2,,1.0
582,fast paced sometimes,2,,1.0
1330,work little pay,2,,1.0
1572,managers rude customers,2,,1.0
826,get everything done,2,,1.0
528,fast pace work,2,,1.0
1344,food service jobs,2,,1.0
1090,training much work,2,,1.0
493,really bad managers,2,,1.0
2495,position management great,1,,0.0
2494,employees position management,1,,0.0
2493,compensation employees position,1,,0.0
2496,management great scheduling,1,,0.0
2497,great scheduling schedule,1,,0.0
2498,scheduling schedule posted,1,,0.0
2499,schedule posted 1,1,,0.0
2492,consistent compensation employees,1,,0.0
0,stressful good pressureif,1,,0.0
2500,posted 1 2,1,,0.0
2501,1 2 days,1,,0.0
2502,2 days start,1,,0.0
2490,politics lack consistent,1,,0.0
2503,days start week,1,,0.0
2504,start week good,1,,0.0
2505,week good honoring,1,,0.0
2506,good honoring requested,1,,0.0
2507,honoring requested days,1,,0.0
2508,requested days less,1,,0.0
2509,days less 75,1,,0.0
2491,lack consistent compensation,1,,0.0
2486,come day begins,1,,0.0
2489,company politics lack,1,,0.0
2488,begins company politics,1,,0.0
2464,much would like,1,,0.0
2465,would like broke,1,,0.0
2466,like broke college,1,,0.0
2467,broke college student,1,,0.0
2468,college student associate,1,,0.0
2469,student associate degree,1,,0.0
2470,associate degree 5,1,,0.0
2471,degree 5 years,1,,0.0
2472,5 years food,1,,0.0
2473,years food service,1,,0.0
2474,food service experience,1,,0.0
2475,service experience hours,1,,0.0
2476,experience hours best,1,,0.0
2477,hours best someone,1,,0.0
2478,best someone lives,1,,0.0
2479,someone lives 30,1,,0.0
2480,lives 30 minutes,1,,0.0
2481,30 minutes away,1,,0.0
2482,minutes away sometimes,1,,0.0
2483,away sometimes schedule,1,,0.0
2484,sometimes schedule come,1,,0.0
2485,schedule come day,1,,0.0
2487,day begins company,1,,0.0
2510,less 75 granted,1,,0.0
2512,granted initially signed,1,,0.0
2511,75 granted initially,1,,0.0
2555,get job done,1,,0.0
2543,fulfill mostly arbitrary,1,,0.0
2544,mostly arbitrary duties,1,,0.0
2545,arbitrary duties time,1,,0.0
2546,duties time consuming,1,,0.0
2547,time consuming tool,1,,0.0
2548,consuming tool everything,1,,0.0
2549,tool everything change,1,,0.0
2550,everything change constantly,1,,0.0
2551,change constantly everyone,1,,0.0
2552,constantly everyone knows,1,,0.0
2553,everyone knows get,1,,0.0
2554,knows get job,1,,0.0
2556,job done well,1,,0.0
2541,increasing expectations fulfill,1,,0.0
2557,done well better,1,,0.0
2558,well better without,1,,0.0
2559,better without tools,1,,0.0
2560,without tools get,1,,0.0
2561,tools get trouble,1,,0.0
2562,get trouble using,1,,0.0
2563,trouble using required,1,,0.0
2564,using required deployed,1,,0.0
2565,required deployed working,1,,0.0
2566,deployed working position,1,,0.0
2567,working position even,1,,0.0
2568,position even gm,1,,0.0
2542,expectations fulfill mostly,1,,0.0
2540,ever increasing expectations,1,,0.0
2462,direction pay much,1,,0.0
2525,trained cashiers making,1,,0.0
2513,initially signed work,1,,0.0
2514,signed work part,1,,0.0
2515,work part time,1,,0.0
2516,part time usually,1,,0.0
2517,time usually given,1,,0.0
2518,usually given 35,1,,0.0
2519,given 35 hours,1,,0.0
2520,35 hours week,1,,0.0
2521,hours week enough,1,,0.0
2522,week enough people,1,,0.0
2523,enough people trained,1,,0.0
2524,people trained cashiers,1,,0.0
2526,cashiers making harder,1,,0.0
2539,company ever increasing,1,,0.0
2527,making harder schedulingboss,1,,0.0
2528,harder schedulingboss mean,1,,0.0
2529,schedulingboss mean rudenot,1,,0.0
2530,mean rudenot possible,1,,0.0
2531,rudenot possible ever,1,,0.0
2532,possible ever feel,1,,0.0
2533,ever feel sense,1,,0.0
2534,feel sense accomplishment,1,,0.0
2535,sense accomplishment possible,1,,0.0
2536,accomplishment possible meet,1,,0.0
2537,possible meet company,1,,0.0
2538,meet company ever,1,,0.0
2463,pay much would,1,,0.0
2457,thing also fail,1,,0.0
2461,sense direction pay,1,,0.0
2376,team directors people,1,,0.0
2378,people get fired,1,,0.0
2379,get fired quit,1,,0.0
2380,fired quit like,1,,0.0
2381,quit like crazy,1,,0.0
2382,like crazy get,1,,0.0
2383,crazy get transferred,1,,0.0
2384,get transferred whether,1,,0.0
2385,transferred whether want,1,,0.0
2386,whether want go,1,,0.0
2387,want go use,1,,0.0
2388,go use 50,1,,0.0
2389,use 50 store,1,,0.0
2390,50 store work,1,,0.0
2391,store work managers,1,,0.0
2392,work managers sometimes,1,,0.0
2393,managers sometimes unprofessional,1,,0.0
2394,sometimes unprofessional talk,1,,0.0
2395,unprofessional talk employees,1,,0.0
2396,talk employees identify,1,,0.0
2397,employees identify correct,1,,0.0
2398,identify correct issues,1,,0.0
2399,correct issues long,1,,0.0
2400,issues long hours,1,,0.0
2401,long hours prep,1,,0.0
2402,hours prep amount,1,,0.0
2377,directors people get,1,,0.0
2375,managers team directors,1,,0.0
2460,provide sense direction,1,,0.0
2374,area managers team,1,,0.0
2349,tasks would leave,1,,0.0
2350,would leave constantly,1,,0.0
2351,leave constantly feet,1,,0.0
2352,constantly feet usually,1,,0.0
2353,feet usually never,1,,0.0
2354,usually never time,1,,0.0
2355,never time without,1,,0.0
2356,time without serving,1,,0.0
2357,without serving customer,1,,0.0
2358,serving customer expected,1,,0.0
2359,customer expected become,1,,0.0
2360,expected become master,1,,0.0
2361,become master quickly,1,,0.0
2362,master quickly amp,1,,0.0
2363,quickly amp treated,1,,0.0
2364,amp treated badly,1,,0.0
2365,treated badly workers,1,,0.0
2366,badly workers amp,1,,0.0
2367,workers amp managers,1,,0.0
2368,amp managers can,1,,0.0
2369,managers can not,1,,0.0
2370,can not keep,1,,0.0
2371,not keep horrible,1,,0.0
2372,keep horrible area,1,,0.0
2373,horrible area managers,1,,0.0
2403,prep amount lot,1,,0.0
