,name,count,pos,norm
2,food,568,NOUN,1.0
7,work,335,NOUN,0.5890652557319225
1,good,324,NOUN,0.5696649029982364
20,people,203,NOUN,0.3562610229276896
22,get,161,NOUN,0.2821869488536155
45,pay,154,NOUN,0.2698412698412698
122,meal,141,NOUN,0.24691358024691357
156,company,140,NOUN,0.24514991181657847
53,working,132,NOUN,0.2310405643738977
127,benefits,111,NOUN,0.19400352733686066
142,shift,107,NOUN,0.18694885361552027
189,job,103,NOUN,0.17989417989417988
182,hours,102,NOUN,0.1781305114638448
41,time,101,NOUN,0.1763668430335097
12,fun,98,NOUN,0.1710758377425044
37,meals,94,NOUN,0.164021164021164
191,environment,92,NOUN,0.16049382716049382
322,chipotle,91,NOUN,0.15873015873015872
188,nice,88,NOUN,0.15343915343915343
130,workers,74,NOUN,0.12874779541446207
18,like,69,NOUN,0.11992945326278659
148,easy,65,NOUN,0.1128747795414462
80,lot,65,NOUN,0.1128747795414462
106,experience,64,NOUN,0.1111111111111111
51,coworkers,64,NOUN,0.1111111111111111
274,employee,63,NOUN,0.10934744268077601
456,co,61,NOUN,0.10582010582010581
203,employees,61,NOUN,0.10582010582010581
397,management,60,NOUN,0.10405643738977072
29,customers,60,NOUN,0.10405643738977072
293,move,59,NOUN,0.10229276895943562
121,breaks,58,NOUN,0.10052910052910052
730,crew,58,NOUN,0.10052910052910052
246,team,55,NOUN,0.09523809523809523
65,make,54,NOUN,0.09347442680776014
56,opportunities,53,NOUN,0.09171075837742504
346,break,51,NOUN,0.08818342151675485
240,one,51,NOUN,0.08818342151675485
185,day,50,NOUN,0.08641975308641975
287,want,45,NOUN,0.07760141093474426
355,opportunity,45,NOUN,0.07760141093474426
75,place,44,NOUN,0.07583774250440917
5,high,44,NOUN,0.07583774250440917
141,lunch,43,NOUN,0.07407407407407407
404,atmosphere,41,NOUN,0.07054673721340388
218,well,41,NOUN,0.07054673721340388
73,part,40,NOUN,0.06878306878306878
510,manager,39,NOUN,0.06701940035273368
650,culture,38,NOUN,0.06525573192239859
252,managers,38,NOUN,0.06525573192239859
320,schedule,38,NOUN,0.06525573192239859
331,everyone,36,NOUN,0.06172839506172839
101,store,33,NOUN,0.0564373897707231
39,discount,33,NOUN,0.0564373897707231
400,lots,32,NOUN,0.054673721340388004
209,training,31,NOUN,0.05291005291005291
673,wage,31,NOUN,0.05291005291005291
672,minimum,31,NOUN,0.05291005291005291
23,tips,31,NOUN,0.05291005291005291
54,advancement,31,NOUN,0.05291005291005291
318,starting,30,NOUN,0.05114638447971781
230,family,30,NOUN,0.05114638447971781
450,days,30,NOUN,0.05114638447971781
44,go,29,NOUN,0.04938271604938271
87,skills,28,NOUN,0.047619047619047616
392,growth,28,NOUN,0.047619047619047616
259,customer,26,NOUN,0.04409171075837742
308,quality,26,NOUN,0.04409171075837742
361,staff,26,NOUN,0.04409171075837742
412,eat,26,NOUN,0.04409171075837742
135,vision,25,NOUN,0.042328042328042326
11,service,24,NOUN,0.04056437389770723
431,room,24,NOUN,0.04056437389770723
447,members,23,NOUN,0.03880070546737213
426,care,22,NOUN,0.037037037037037035
486,standards,22,NOUN,0.037037037037037035
174,restaurant,22,NOUN,0.037037037037037035
180,hour,21,NOUN,0.03527336860670194
301,discounts,21,NOUN,0.03527336860670194
282,learning,21,NOUN,0.03527336860670194
1243,something,21,NOUN,0.03527336860670194
105,months,21,NOUN,0.03527336860670194
518,values,20,NOUN,0.03350970017636684
126,health,20,NOUN,0.03350970017636684
493,career,19,NOUN,0.031746031746031744
868,friends,19,NOUN,0.031746031746031744
1217,integrity,19,NOUN,0.031746031746031744
352,tuition,19,NOUN,0.031746031746031744
256,shifts,19,NOUN,0.031746031746031744
421,love,18,NOUN,0.029982363315696647
503,way,18,NOUN,0.029982363315696647
575,help,18,NOUN,0.029982363315696647
436,advance,17,NOUN,0.02821869488536155
48,school,17,NOUN,0.02821869488536155
206,college,17,NOUN,0.02821869488536155
509,kitchen,16,NOUN,0.026455026455026454
416,take,16,NOUN,0.026455026455026454
348,things,16,NOUN,0.026455026455026454
138,need,16,NOUN,0.026455026455026454
250,level,15,NOUN,0.024691358024691357
464,location,15,NOUN,0.024691358024691357
1007,become,15,NOUN,0.024691358024691357
512,position,15,NOUN,0.024691358024691357
692,hire,15,NOUN,0.024691358024691357
850,back,14,NOUN,0.02292768959435626
753,half,14,NOUN,0.02292768959435626
220,scheduling,14,NOUN,0.02292768959435626
379,plenty,14,NOUN,0.02292768959435626
588,pros,14,NOUN,0.02292768959435626
761,line,14,NOUN,0.02292768959435626
832,gm,13,NOUN,0.021164021164021163
61,thing,13,NOUN,0.021164021164021163
289,industry,13,NOUN,0.021164021164021163
465,business,13,NOUN,0.021164021164021163
335,everything,13,NOUN,0.021164021164021163
435,ability,13,NOUN,0.021164021164021163
184,times,12,NOUN,0.019400352733686066
341,promote,12,NOUN,0.019400352733686066
334,top,12,NOUN,0.019400352733686066
110,start,12,NOUN,0.019400352733686066
610,uniform,12,NOUN,0.019400352733686066
170,amp,12,NOUN,0.019400352733686066
443,reimbursement,12,NOUN,0.019400352733686066
1090,clock,12,NOUN,0.019400352733686066
1225,life,11,NOUN,0.01763668430335097
624,pro,11,NOUN,0.01763668430335097
585,pace,11,NOUN,0.01763668430335097
134,dental,11,NOUN,0.01763668430335097
748,chance,11,NOUN,0.01763668430335097
497,potential,11,NOUN,0.01763668430335097
237,mission,11,NOUN,0.01763668430335097
877,build,10,NOUN,0.015873015873015872
711,gain,10,NOUN,0.015873015873015872
245,teamwork,10,NOUN,0.015873015873015872
72,promotion,10,NOUN,0.015873015873015872
350,entry,9,NOUN,0.014109347442680775
1012,year,9,NOUN,0.014109347442680775
124,offer,9,NOUN,0.014109347442680775
1280,positions,9,NOUN,0.014109347442680775
1292,burritos,9,NOUN,0.014109347442680775
628,nothing,9,NOUN,0.014109347442680775
827,process,9,NOUN,0.014109347442680775
1060,development,9,NOUN,0.014109347442680775
1152,etc,9,NOUN,0.014109347442680775
6,energy,9,NOUN,0.014109347442680775
364,perks,9,NOUN,0.014109347442680775
207,students,9,NOUN,0.014109347442680775
880,use,9,NOUN,0.014109347442680775
461,minute,9,NOUN,0.014109347442680775
71,raise,9,NOUN,0.014109347442680775
776,dress,8,NOUN,0.012345679012345678
441,insurance,8,NOUN,0.012345679012345678
656,amount,8,NOUN,0.012345679012345678
1139,teaches,8,NOUN,0.012345679012345678
713,knife,8,NOUN,0.012345679012345678
277,home,8,NOUN,0.012345679012345678
1097,guess,8,NOUN,0.012345679012345678
343,uniforms,8,NOUN,0.012345679012345678
1995,everyday,8,NOUN,0.012345679012345678
270,cook,8,NOUN,0.012345679012345678
367,shirts,8,NOUN,0.012345679012345678
793,worker,7,NOUN,0.010582010582010581
1019,week,7,NOUN,0.010582010582010581
33,stay,7,NOUN,0.010582010582010581
466,workplace,7,NOUN,0.010582010582010581
522,menu,7,NOUN,0.010582010582010581
766,money,7,NOUN,0.010582010582010581
802,places,7,NOUN,0.010582010582010581
1756,salary,7,NOUN,0.010582010582010581
1632,drinks,7,NOUN,0.010582010582010581
498,hr,7,NOUN,0.010582010582010581
1235,someone,7,NOUN,0.010582010582010581
1537,salsa,7,NOUN,0.010582010582010581
781,minutes,7,NOUN,0.010582010582010581
657,overtime,7,NOUN,0.010582010582010581
276,environmentfree,7,NOUN,0.010582010582010581
966,chips,7,NOUN,0.010582010582010581
703,ingredients,7,NOUN,0.010582010582010581
244,sense,7,NOUN,0.010582010582010581
1332,years,7,NOUN,0.010582010582010581
1294,mobility,7,NOUN,0.010582010582010581
571,restaurants,7,NOUN,0.010582010582010581
562,super,7,NOUN,0.010582010582010581
1524,train,7,NOUN,0.010582010582010581
553,anything,7,NOUN,0.010582010582010581
1531,burrito,7,NOUN,0.010582010582010581
1248,office,6,NOUN,0.008818342151675485
1278,guac,6,NOUN,0.008818342151675485
1491,order,6,NOUN,0.008818342151675485
749,flexibility,6,NOUN,0.008818342151675485
659,respect,6,NOUN,0.008818342151675485
1382,gt,6,NOUN,0.008818342151675485
1787,grill,6,NOUN,0.008818342151675485
996,ok,6,NOUN,0.008818342151675485
462,tasks,6,NOUN,0.008818342151675485
1085,jobs,6,NOUN,0.008818342151675485
1033,percent,6,NOUN,0.008818342151675485
883,promotions,6,NOUN,0.008818342151675485
260,others,6,NOUN,0.008818342151675485
790,look,6,NOUN,0.008818342151675485
