,name,count,pos,norm
2,food,540,NOUN,0.9999999999999999
7,work,318,NOUN,0.5881261595547309
1,good,304,NOUN,0.562152133580705
20,people,193,NOUN,0.35621521335807055
22,get,158,NOUN,0.2912801484230056
45,pay,152,NOUN,0.2801484230055659
121,meal,138,NOUN,0.25417439703153993
155,company,133,NOUN,0.24489795918367346
53,working,129,NOUN,0.23747680890538034
126,benefits,109,NOUN,0.20037105751391465
141,shift,105,NOUN,0.19294990723562153
188,job,101,NOUN,0.18552875695732837
181,hours,100,NOUN,0.1836734693877551
41,time,96,NOUN,0.17625231910946196
37,meals,92,NOUN,0.16883116883116883
12,fun,92,NOUN,0.16883116883116883
187,nice,84,NOUN,0.15398886827458255
190,environment,84,NOUN,0.15398886827458255
320,chipotle,83,NOUN,0.15213358070500926
129,workers,71,NOUN,0.12987012987012986
18,like,67,NOUN,0.12244897959183673
80,lot,65,NOUN,0.11873840445269017
51,coworkers,64,NOUN,0.11688311688311688
147,easy,64,NOUN,0.11688311688311688
105,experience,63,NOUN,0.11502782931354359
272,employee,62,NOUN,0.11317254174397032
453,co,58,NOUN,0.10575139146567718
202,employees,58,NOUN,0.10575139146567718
291,move,58,NOUN,0.10575139146567718
394,management,57,NOUN,0.10389610389610389
29,customers,57,NOUN,0.10389610389610389
726,crew,56,NOUN,0.10204081632653061
244,team,54,NOUN,0.09833024118738404
120,breaks,52,NOUN,0.09461966604823747
65,make,51,NOUN,0.09276437847866419
56,opportunities,50,NOUN,0.09090909090909091
238,one,48,NOUN,0.08719851576994433
344,break,48,NOUN,0.08719851576994433
184,day,48,NOUN,0.08719851576994433
353,opportunity,44,NOUN,0.07977736549165121
5,high,43,NOUN,0.07792207792207792
285,want,43,NOUN,0.07792207792207792
75,place,42,NOUN,0.07606679035250463
401,atmosphere,41,NOUN,0.07421150278293136
140,lunch,41,NOUN,0.07421150278293136
216,well,40,NOUN,0.07235621521335807
73,part,39,NOUN,0.07050092764378478
507,manager,38,NOUN,0.0686456400742115
318,schedule,38,NOUN,0.0686456400742115
250,managers,37,NOUN,0.06679035250463822
646,culture,35,NOUN,0.06307977736549165
329,everyone,34,NOUN,0.06122448979591837
100,store,32,NOUN,0.0575139146567718
668,minimum,31,NOUN,0.05565862708719852
397,lots,31,NOUN,0.05565862708719852
39,discount,31,NOUN,0.05565862708719852
23,tips,31,NOUN,0.05565862708719852
207,training,30,NOUN,0.05380333951762523
669,wage,30,NOUN,0.05380333951762523
54,advancement,29,NOUN,0.05194805194805195
447,days,29,NOUN,0.05194805194805195
228,family,29,NOUN,0.05194805194805195
44,go,28,NOUN,0.05009276437847867
86,skills,28,NOUN,0.05009276437847867
316,starting,27,NOUN,0.04823747680890538
390,growth,26,NOUN,0.0463821892393321
257,customer,26,NOUN,0.0463821892393321
306,quality,25,NOUN,0.04452690166975882
134,vision,25,NOUN,0.04452690166975882
409,eat,24,NOUN,0.04267161410018553
359,staff,24,NOUN,0.04267161410018553
11,service,24,NOUN,0.04267161410018553
