,name,count,pos,norm
38,free food,9,,1.0
24,free meal,7,,0.75
87,fast paced,6,,0.625
60,great food,5,,0.5
49,people work,5,,0.5
41,good people,5,,0.5
284,paid breaks,4,,0.375
143,co workers,4,,0.375
238,food free,4,,0.375
81,work environment,3,,0.25
23,one free,3,,0.25
233,starting pay,3,,0.25
237,good food,3,,0.25
118,flexible hours,3,,0.25
397,get free,2,,0.125
163,break free,2,,0.125
36,free drinks,2,,0.125
164,free employee,2,,0.125
173,every shift,2,,0.125
285,breaks every,2,,0.125
40,tips good,2,,0.125
587,make great,2,,0.125
413,people good,2,,0.125
247,working shifts,2,,0.125
296,50 meals,2,,0.125
487,food great,2,,0.125
145,1 free,2,,0.125
445,clock 50,2,,0.125
80,fun work,2,,0.125
407,breaks free,2,,0.125
252,fast food,2,,0.125
175,room advancement,2,,0.125
93,crew members,2,,0.125
193,food integrity,2,,0.125
287,lunch break,2,,0.125
339,meal work,2,,0.125
165,employee meal,2,,0.125
395,food good,2,,0.125
349,food 50,2,,0.125
294,shift worked,2,,0.125
498,great environment,2,,0.125
232,decent starting,2,,0.125
211,care customers,2,,0.125
106,free lunch,2,,0.125
643,many opportunities,2,,0.125
9,minimum wage,2,,0.125
25,meal per,2,,0.125
66,great benefits,2,,0.125
530,upper management,2,,0.125
431,work fast,2,,0.125
85,high standards,2,,0.125
534,decent good,1,,0.0
532,seem make,1,,0.0
535,good money,1,,0.0
531,management seem,1,,0.0
533,make decent,1,,0.0
0,1 pay,1,,0.0
529,promoted upper,1,,0.0
528,get promoted,1,,0.0
512,advice giving,1,,0.0
513,giving something,1,,0.0
514,something would,1,,0.0
515,would tell,1,,0.0
516,tell people,1,,0.0
517,people concerned,1,,0.0
518,concerned want,1,,0.0
519,want ok,1,,0.0
520,ok better,1,,0.0
521,better income,1,,0.0
522,income department,1,,0.0
523,department one,1,,0.0
524,one option,1,,0.0
537,look website,1,,0.0
525,option stay,1,,0.0
526,stay time,1,,0.0
527,time get,1,,0.0
536,money look,1,,0.0
548,clean safe,1,,0.0
538,website salaries,1,,0.0
561,notchi love,1,,0.0
563,crew fast,1,,0.0
564,paced environment,1,,0.0
565,environment dealing,1,,0.0
566,dealing customers,1,,0.0
567,customers simple,1,,0.0
568,simple menu,1,,0.0
569,menu great,1,,0.0
570,food pros,1,,0.0
571,pros working,1,,0.0
572,working chipotle,1,,0.0
573,chipotle including,1,,0.0
574,including paid,1,,0.0
575,breaks one,1,,0.0
576,meal clock,1,,0.0
577,50 employee,1,,0.0
578,employee discount,1,,0.0
579,discount clock,1,,0.0
580,clock almost,1,,0.0
581,almost co,1,,0.0
562,love crew,1,,0.0
560,top notchi,1,,0.0
539,salaries upper,1,,0.0
559,food top,1,,0.0
540,management staff,1,,0.0
541,staff friendly,1,,0.0
542,friendly advances,1,,0.0
543,advances work,1,,0.0
544,work possible,1,,0.0
545,possible work,1,,0.0
546,work area,1,,0.0
547,area clean,1,,0.0
510,bash chipotle,1,,0.0
549,safe environment,1,,0.0
550,environment team,1,,0.0
551,team work,1,,0.0
552,work good,1,,0.0
553,good organization,1,,0.0
554,organization food,1,,0.0
555,good quality,1,,0.0
556,quality well,1,,0.0
557,well control,1,,0.0
558,control food,1,,0.0
511,chipotle advice,1,,0.0
496,obviously overall,1,,0.0
509,really bash,1,,0.0
447,clock starting,1,,0.0
437,breaks discount,1,,0.0
438,discount food,1,,0.0
439,food days,1,,0.0
440,days great,1,,0.0
441,food starting,1,,0.0
442,pay greatpaid,1,,0.0
443,greatpaid breaks,1,,0.0
444,food clock,1,,0.0
446,50 clock,1,,0.0
448,pay usually,1,,0.0
435,pro get,1,,0.0
449,usually 8,1,,0.0
450,8 50,1,,0.0
451,50 great,1,,0.0
452,great break,1,,0.0
453,break benefits,1,,0.0
454,benefits much,1,,0.0
455,much food,1,,0.0
456,food want,1,,0.0
457,want free,1,,0.0
436,food breaks,1,,0.0
434,work pro,1,,0.0
459,payed breaks,1,,0.0
421,liked idea,1,,0.0
411,advancement generally,1,,0.0
412,generally good,1,,0.0
414,good experience,1,,0.0
415,experience situation,1,,0.0
416,situation right,1,,0.0
417,right decent,1,,0.0
418,decent payeasy,1,,0.0
