,name,count,pos,norm
2,food,78,NOUN,0.9625000000000001
5,work,55,NOUN,0.675
1,good,47,NOUN,0.5750000000000001
37,pay,37,NOUN,0.45
45,working,30,NOUN,0.3625
102,benefits,26,NOUN,0.3125
15,people,26,NOUN,0.3125
97,meal,24,NOUN,0.28750000000000003
129,company,22,NOUN,0.2625
17,get,21,NOUN,0.25
30,meals,19,NOUN,0.225
116,shift,18,NOUN,0.2125
149,job,17,NOUN,0.2
43,coworkers,16,NOUN,0.1875
144,hours,15,NOUN,0.175
9,fun,14,NOUN,0.1625
122,easy,13,NOUN,0.15
105,workers,12,NOUN,0.1375
195,team,12,NOUN,0.1375
23,customers,12,NOUN,0.1375
34,time,12,NOUN,0.1375
47,opportunities,11,NOUN,0.125
65,lot,10,NOUN,0.1125
218,employee,8,NOUN,0.08750000000000001
86,experience,8,NOUN,0.08750000000000001
256,chipotle,8,NOUN,0.08750000000000001
81,store,8,NOUN,0.08750000000000001
32,discount,8,NOUN,0.08750000000000001
361,co,8,NOUN,0.08750000000000001
69,skills,7,NOUN,0.07500000000000001
46,advancement,7,NOUN,0.07500000000000001
281,opportunity,7,NOUN,0.07500000000000001
273,break,7,NOUN,0.07500000000000001
115,lunch,7,NOUN,0.07500000000000001
312,growth,7,NOUN,0.07500000000000001
18,tips,7,NOUN,0.07500000000000001
181,family,7,NOUN,0.07500000000000001
96,breaks,7,NOUN,0.07500000000000001
63,place,7,NOUN,0.07500000000000001
101,health,6,NOUN,0.06250000000000001
234,move,6,NOUN,0.06250000000000001
318,lots,6,NOUN,0.06250000000000001
315,management,6,NOUN,0.06250000000000001
278,tuition,6,NOUN,0.06250000000000001
160,college,5,NOUN,0.05
246,quality,5,NOUN,0.05
151,environment,5,NOUN,0.05
200,managers,5,NOUN,0.05
204,shifts,5,NOUN,0.05
142,hour,5,NOUN,0.05
99,offer,5,NOUN,0.05
286,staff,5,NOUN,0.05
333,love,5,NOUN,0.05
8,service,5,NOUN,0.05
587,crew,5,NOUN,0.05
353,members,5,NOUN,0.05
356,days,4,NOUN,0.037500000000000006
194,teamwork,4,NOUN,0.037500000000000006
538,minimum,4,NOUN,0.037500000000000006
539,wage,4,NOUN,0.037500000000000006
389,standards,4,NOUN,0.037500000000000006
207,customer,4,NOUN,0.037500000000000006
300,plenty,4,NOUN,0.037500000000000006
345,advance,4,NOUN,0.037500000000000006
342,room,4,NOUN,0.037500000000000006
240,discounts,4,NOUN,0.037500000000000006
321,atmosphere,4,NOUN,0.037500000000000006
254,schedule,4,NOUN,0.037500000000000006
700,bowls,4,NOUN,0.037500000000000006
262,everyone,4,NOUN,0.037500000000000006
