,name,count,pos,norm
39,free food,65,,1.0
122,free meal,26,,0.390625
25,free meals,19,,0.28125
447,meal every,14,,0.203125
149,fast paced,13,,0.1875
557,every shift,13,,0.1875
591,co workers,13,,0.1875
223,food good,11,,0.15625
181,people work,11,,0.15625
179,food great,11,,0.15625
0,good food,10,,0.140625
356,food free,9,,0.125
27,50 discount,9,,0.125
119,pay good,9,,0.125
501,flexible hours,8,,0.109375
140,good benefits,8,,0.109375
32,good pay,7,,0.09375
558,shift 50,7,,0.09375
313,great food,7,,0.09375
67,learn lot,7,,0.09375
209,great benefits,7,,0.09375
446,get free,6,,0.078125
29,every time,6,,0.078125
12,good people,6,,0.078125
42,50 working,6,,0.078125
180,great people,5,,0.0625
7,fun work,5,,0.0625
827,team work,5,,0.0625
571,great team,5,,0.0625
199,food every,5,,0.0625
463,decent pay,5,,0.0625
282,food work,5,,0.0625
337,high quality,5,,0.0625
564,tuition reimbursement,5,,0.0625
817,fast food,5,,0.0625
100,food paid,5,,0.0625
395,pay free,5,,0.0625
1009,great company,4,,0.046875
1496,hours good,4,,0.046875
915,nice people,4,,0.046875
1187,crew members,4,,0.046875
572,team members,4,,0.046875
65,place work,4,,0.046875
1,food high,4,,0.046875
123,working free,4,,0.046875
1272,per shift,4,,0.046875
44,advancement opportunities,4,,0.046875
111,part time,4,,0.046875
2,high energy,4,,0.046875
1956,food 50,4,,0.046875
677,meal shift,4,,0.046875
14,get tips,4,,0.046875
2050,people free,4,,0.046875
255,people good,4,,0.046875
109,full time,4,,0.046875
396,free employee,4,,0.046875
390,benefits free,4,,0.046875
291,employee meal,4,,0.046875
407,job free,4,,0.046875
711,meal per,4,,0.046875
628,pay okay,4,,0.046875
1270,free lunch,4,,0.046875
267,customer service,4,,0.046875
1021,minimum wage,4,,0.046875
135,easy work,3,,0.03125
143,workers free,3,,0.03125
2468,every day,3,,0.03125
1507,hours free,3,,0.03125
107,health benefits,3,,0.03125
104,meal working,3,,0.03125
103,discount meal,3,,0.03125
102,breaks 50,3,,0.03125
1677,time worked,3,,0.03125
753,best part,3,,0.03125
1466,good team,3,,0.03125
169,nice coworkers,3,,0.03125
361,lot hours,3,,0.03125
643,one free,3,,0.03125
669,flexible schedule,3,,0.03125
1812,foodfree food,3,,0.03125
385,great place,3,,0.03125
314,food nice,3,,0.03125
397,employee meals,3,,0.03125
696,food quality,3,,0.03125
1098,people great,3,,0.03125
292,meal 50,3,,0.03125
405,entry level,3,,0.03125
715,breaks good,3,,0.03125
264,first job,3,,0.03125
728,great customers,3,,0.03125
1867,always busy,3,,0.03125
1752,discounted meals,3,,0.03125
756,great coworkers,3,,0.03125
991,people culture,3,,0.03125
205,get hours,3,,0.03125
