,name,count,pos,norm
3,work,541,NOUN,0.8940397350993378
7,food,453,NOUN,0.7483443708609272
17,good,373,NOUN,0.6158940397350994
44,people,310,NOUN,0.5115894039735099
5,environment,235,NOUN,0.38741721854304634
81,company,207,NOUN,0.3410596026490066
18,pay,190,NOUN,0.3129139072847682
26,working,178,NOUN,0.29304635761589404
133,fun,168,NOUN,0.27649006622516553
58,get,160,NOUN,0.2632450331125828
22,benefits,146,NOUN,0.24006622516556292
165,team,141,NOUN,0.23178807947019867
42,job,135,NOUN,0.22185430463576158
51,hours,133,NOUN,0.21854304635761587
136,chipotle,126,NOUN,0.20695364238410596
88,crew,124,NOUN,0.20364238410596025
64,management,122,NOUN,0.20033112582781457
111,time,117,NOUN,0.1920529801324503
30,meal,107,NOUN,0.17549668874172183
204,managers,106,NOUN,0.173841059602649
205,employees,94,NOUN,0.15397350993377482
270,shift,93,NOUN,0.152317880794702
127,opportunities,92,NOUN,0.15066225165562913
313,culture,89,NOUN,0.1456953642384106
49,place,87,NOUN,0.14238410596026488
248,move,86,NOUN,0.14072847682119205
62,coworkers,85,NOUN,0.1390728476821192
303,everyone,85,NOUN,0.1390728476821192
225,well,81,NOUN,0.1324503311258278
347,opportunity,79,NOUN,0.1291390728476821
38,easy,78,NOUN,0.12748344370860926
185,meals,75,NOUN,0.12251655629139073
274,learn,74,NOUN,0.12086092715231789
180,atmosphere,73,NOUN,0.11920529801324505
70,lot,72,NOUN,0.11754966887417219
249,workers,71,NOUN,0.11589403973509935
162,make,70,NOUN,0.11423841059602649
12,high,62,NOUN,0.10099337748344371
351,day,62,NOUN,0.10099337748344371
250,experience,62,NOUN,0.10099337748344371
230,family,62,NOUN,0.10099337748344371
28,one,57,NOUN,0.09271523178807947
243,schedule,55,NOUN,0.08940397350993377
245,training,53,NOUN,0.08609271523178809
201,co,52,NOUN,0.08443708609271523
305,love,52,NOUN,0.08443708609271523
294,part,51,NOUN,0.08278145695364239
309,breaks,51,NOUN,0.08278145695364239
348,growth,51,NOUN,0.08278145695364239
79,customers,47,NOUN,0.076158940397351
522,store,45,NOUN,0.07284768211920531
311,decent,45,NOUN,0.07284768211920531
372,advancement,44,NOUN,0.07119205298013245
770,care,43,NOUN,0.06953642384105961
219,skills,42,NOUN,0.06788079470198675
334,staff,42,NOUN,0.06788079470198675
261,manager,42,NOUN,0.06788079470198675
108,days,41,NOUN,0.06622516556291391
155,lots,38,NOUN,0.061258278145695365
118,grow,38,NOUN,0.061258278145695365
331,employee,38,NOUN,0.061258278145695365
153,service,37,NOUN,0.059602649006622516
341,tuition,36,NOUN,0.057947019867549666
233,help,36,NOUN,0.057947019867549666
569,want,36,NOUN,0.057947019867549666
398,members,36,NOUN,0.057947019867549666
152,customer,35,NOUN,0.05629139072847682
332,standards,34,NOUN,0.054635761589403975
553,lunch,33,NOUN,0.052980132450331126
368,break,33,NOUN,0.052980132450331126
114,room,32,NOUN,0.05132450331125828
267,wage,32,NOUN,0.05132450331125828
228,restaurant,32,NOUN,0.05132450331125828
266,minimum,28,NOUN,0.04470198675496689
486,reimbursement,28,NOUN,0.04470198675496689
783,feel,28,NOUN,0.04470198675496689
144,things,27,NOUN,0.04304635761589404
85,school,26,NOUN,0.04139072847682119
409,cool,26,NOUN,0.04139072847682119
772,person,26,NOUN,0.04139072847682119
390,go,26,NOUN,0.04139072847682119
718,values,24,NOUN,0.0380794701986755
573,health,24,NOUN,0.0380794701986755
401,tips,24,NOUN,0.0380794701986755
158,friends,24,NOUN,0.0380794701986755
892,makes,23,NOUN,0.03642384105960265
