,name,count,pos,norm
137,free food,5,,1.0
114,minimum wage,4,,0.75
140,good location,2,,0.25
62,fast paced,2,,0.25
320,great people,2,,0.25
48,pay good,2,,0.25
49,good manager,2,,0.25
252,management great,2,,0.25
29,upward mobility,2,,0.25
523,place work,2,,0.25
186,chance move,2,,0.25
304,free meal,2,,0.25
96,easy move,2,,0.25
319,food great,2,,0.25
364,flexible schedule,1,,0.0
373,caliber comp,1,,0.0
353,months food,1,,0.0
378,days plus,1,,0.0
377,50 days,1,,0.0
376,working 50,1,,0.0
375,lunch working,1,,0.0
354,food good,1,,0.0
355,good quality,1,,0.0
356,quality ingredients,1,,0.0
374,comp lunch,1,,0.0
357,ingredients something,1,,0.0
358,something person,1,,0.0
359,person proud,1,,0.0
363,worked flexible,1,,0.0
360,proud serving,1,,0.0
372,highest caliber,1,,0.0
361,serving store,1,,0.0
371,good highest,1,,0.0
370,generally good,1,,0.0
362,store worked,1,,0.0
379,plus quality,1,,0.0
368,time employees,1,,0.0
367,student time,1,,0.0
366,university student,1,,0.0
365,schedule university,1,,0.0
369,employees generally,1,,0.0
382,made eat,1,,0.0
380,quality food,1,,0.0
405,helps wonderful,1,,0.0
399,crew member,1,,0.0
400,member person,1,,0.0
401,person travels,1,,0.0
402,travels around,1,,0.0
403,around stores,1,,0.0
404,stores helps,1,,0.0
406,wonderful atmosphere,1,,0.0
381,food made,1,,0.0
407,atmosphere awesome,1,,0.0
408,awesome culture,1,,0.0
409,culture reviewed,1,,0.0
410,reviewed frequently,1,,0.0
411,frequently learning,1,,0.0
412,learning good,1,,0.0
398,started crew,1,,0.0
397,someone started,1,,0.0
396,know someone,1,,0.0
395,unlimited know,1,,0.0
394,advancements unlimited,1,,0.0
393,job advancements,1,,0.0
392,possible job,1,,0.0
391,friendly possible,1,,0.0
390,staff friendly,1,,0.0
389,chipotlethe staff,1,,0.0
388,learn chipotlethe,1,,0.0
387,get learn,1,,0.0
386,people get,1,,0.0
385,often free,1,,0.0
384,much often,1,,0.0
383,eat much,1,,0.0
351,little 3,1,,0.0
352,3 months,1,,0.0
346,payed lunch,1,,0.0
350,manager little,1,,0.0
297,great business,1,,0.0
312,pros family,1,,0.0
311,store pros,1,,0.0
310,buy store,1,,0.0
309,50 buy,1,,0.0
308,get 50,1,,0.0
307,work get,1,,0.0
306,days work,1,,0.0
305,meal days,1,,0.0
303,get free,1,,0.0
302,hide get,1,,0.0
301,nothing hide,1,,0.0
300,clean nothing,1,,0.0
299,culture clean,1,,0.0
298,business culture,1,,0.0
296,become management,1,,0.0
314,atmosphere created,1,,0.0
295,enough become,1,,0.0
294,hard enough,1,,0.0
293,tries hard,1,,0.0
292,anyone tries,1,,0.0
291,real anyone,1,,0.0
290,boast real,1,,0.0
289,opportunities boast,1,,0.0
288,go opportunities,1,,0.0
287,let go,1,,0.0
286,weight let,1,,0.0
285,pull weight,1,,0.0
284,make pull,1,,0.0
283,workers make,1,,0.0
282,hard workers,1,,0.0
313,family atmosphere,1,,0.0
315,created leaders,1,,0.0
349,train manager,1,,0.0
334,well similar,1,,0.0
348,meal train,1,,0.0
347,lunch free,1,,0.0
414,need work,1,,0.0
345,get payed,1,,0.0
344,great get,1,,0.0
343,work great,1,,0.0
342,people work,1,,0.0
341,systemthe people,1,,0.0
340,training systemthe,1,,0.0
339,structured training,1,,0.0
338,leg structured,1,,0.0
337,giving leg,1,,0.0
336,jobs giving,1,,0.0
335,similar jobs,1,,0.0
333,transfer well,1,,0.0
316,leaders good,1,,0.0
332,skills transfer,1,,0.0
331,job skills,1,,0.0
330,learn job,1,,0.0
329,opportunity learn,1,,0.0
328,great opportunity,1,,0.0
327,managers great,1,,0.0
326,crew managers,1,,0.0
325,excelgreat crew,1,,0.0
324,move excelgreat,1,,0.0
323,atmosphere chance,1,,0.0
322,good atmosphere,1,,0.0
321,people good,1,,0.0
318,benefitsfree food,1,,0.0
317,good benefitsfree,1,,0.0
413,good need,1,,0.0
0,good food,1,,0.0
415,work possible,1,,0.0
499,healthy food,1,,0.0
513,flexible hours,1,,0.0
512,forward flexible,1,,0.0
511,straight forward,1,,0.0
510,benefitseasy straight,1,,0.0
509,whole benefitseasy,1,,0.0
508,business whole,1,,0.0
507,care business,1,,0.0
506,really care,1,,0.0
505,seems really,1,,0.0
504,management seems,1,,0.0
503,upper management,1,,0.0
502,customers upper,1,,0.0
501,happy customers,1,,0.0
500,food happy,1,,0.0
498,around healthy,1,,0.0
515,fun staff,1,,0.0
497,working around,1,,0.0
496,grow working,1,,0.0
495,company grow,1,,0.0
494,part company,1,,0.0
493,well part,1,,0.0
492,company well,1,,0.0
491,within company,1,,0.0
490,goals within,1,,0.0
489,reach goals,1,,0.0
488,people reach,1,,0.0
487,help people,1,,0.0
486,rewarding help,1,,0.0
485,ground rewarding,1,,0.0
484,succeed ground,1,,0.0
514,hours fun,1,,0.0
516,staff cool,1,,0.0
482,ways help,1,,0.0
534,day joy,1,,0.0
548,chipotle best,1,,0.0
547,free chipotle,1,,0.0
546,food free,1,,0.0
545,great food,1,,0.0
544,eat great,1,,0.0
543,get eat,1,,0.0
542,job get,1,,0.0
541,simple job,1,,0.0
540,career simple,1,,0.0
539,make career,1,,0.0
538,opportunity make,1,,0.0
537,work opportunity,1,,0.0
536,fun place,1,,0.0
535,joy fun,1,,0.0
533,every day,1,,0.0
517,cool learn,1,,0.0
532,work every,1,,0.0
531,coming work,1,,0.0
