,name,count,pos,norm
2,work,86,NOUN,0.9883720930232558
5,food,65,NOUN,0.7441860465116279
12,good,48,NOUN,0.5465116279069767
32,people,46,NOUN,0.5232558139534883
4,environment,36,NOUN,0.40697674418604646
13,pay,36,NOUN,0.40697674418604646
60,company,29,NOUN,0.3255813953488372
123,team,24,NOUN,0.26744186046511625
16,benefits,23,NOUN,0.25581395348837205
19,working,22,NOUN,0.24418604651162792
98,fun,22,NOUN,0.24418604651162792
41,get,22,NOUN,0.24418604651162792
36,hours,21,NOUN,0.23255813953488372
31,job,19,NOUN,0.20930232558139536
100,chipotle,17,NOUN,0.18604651162790697
82,time,17,NOUN,0.18604651162790697
22,meal,16,NOUN,0.1744186046511628
45,management,16,NOUN,0.1744186046511628
50,lot,16,NOUN,0.1744186046511628
222,part,15,NOUN,0.16279069767441862
66,crew,14,NOUN,0.15116279069767444
140,meals,14,NOUN,0.15116279069767444
191,experience,13,NOUN,0.13953488372093023
93,opportunities,12,NOUN,0.12790697674418605
206,shift,12,NOUN,0.12790697674418605
44,coworkers,12,NOUN,0.12790697674418605
189,move,11,NOUN,0.11627906976744187
35,place,11,NOUN,0.11627906976744187
265,opportunity,10,NOUN,0.10465116279069767
259,tuition,10,NOUN,0.10465116279069767
112,customer,10,NOUN,0.10465116279069767
154,managers,10,NOUN,0.10465116279069767
190,workers,10,NOUN,0.10465116279069767
267,day,10,NOUN,0.10465116279069767
266,growth,9,NOUN,0.09302325581395349
79,days,9,NOUN,0.09302325581395349
185,schedule,9,NOUN,0.09302325581395349
120,make,9,NOUN,0.09302325581395349
155,employees,9,NOUN,0.09302325581395349
402,store,9,NOUN,0.09302325581395349
113,service,8,NOUN,0.08139534883720931
153,co,8,NOUN,0.08139534883720931
235,breaks,8,NOUN,0.08139534883720931
63,school,8,NOUN,0.08139534883720931
229,everyone,7,NOUN,0.06976744186046513
238,culture,7,NOUN,0.06976744186046513
85,room,7,NOUN,0.06976744186046513
369,reimbursement,7,NOUN,0.06976744186046513
231,love,6,NOUN,0.05813953488372093
250,employee,6,NOUN,0.05813953488372093
174,family,6,NOUN,0.05813953488372093
168,skills,6,NOUN,0.05813953488372093
301,tips,6,NOUN,0.05813953488372093
253,staff,6,NOUN,0.05813953488372093
299,members,6,NOUN,0.05813953488372093
283,advancement,5,NOUN,0.046511627906976744
176,help,5,NOUN,0.046511627906976744
279,location,5,NOUN,0.046511627906976744
268,discount,5,NOUN,0.046511627906976744
115,lots,5,NOUN,0.046511627906976744
117,friends,5,NOUN,0.046511627906976744
334,stores,5,NOUN,0.046511627906976744
186,training,5,NOUN,0.046511627906976744
346,business,5,NOUN,0.046511627906976744
251,standards,5,NOUN,0.046511627906976744
137,atmosphere,5,NOUN,0.046511627906976744
202,minimum,5,NOUN,0.046511627906976744
58,customers,4,NOUN,0.03488372093023256
348,promotions,4,NOUN,0.03488372093023256
203,wage,4,NOUN,0.03488372093023256
75,top,4,NOUN,0.03488372093023256
257,offer,4,NOUN,0.03488372093023256
430,lunch,4,NOUN,0.03488372093023256
272,year,4,NOUN,0.03488372093023256
276,something,4,NOUN,0.03488372093023256
72,pride,3,NOUN,0.023255813953488372
271,college,3,NOUN,0.023255813953488372
505,end,3,NOUN,0.023255813953488372
280,break,3,NOUN,0.023255813953488372
307,tasks,3,NOUN,0.023255813953488372
106,things,3,NOUN,0.023255813953488372
469,chill,3,NOUN,0.023255813953488372
358,salary,3,NOUN,0.023255813953488372
367,ethic,3,NOUN,0.023255813953488372
446,health,3,NOUN,0.023255813953488372
400,hour,3,NOUN,0.023255813953488372
240,way,3,NOUN,0.023255813953488372
7,safety,3,NOUN,0.023255813953488372
172,restaurant,3,NOUN,0.023255813953488372
178,issues,3,NOUN,0.023255813953488372
130,pro,3,NOUN,0.023255813953488372
136,scheduling,3,NOUN,0.023255813953488372
610,feel,3,NOUN,0.023255813953488372
125,effort,3,NOUN,0.023255813953488372
196,cook,2,NOUN,0.011627906976744186
666,money,2,NOUN,0.011627906976744186
304,shifts,2,NOUN,0.011627906976744186
799,teamwork,2,NOUN,0.011627906976744186
699,entree,2,NOUN,0.011627906976744186
451,month,2,NOUN,0.011627906976744186
703,interview,2,NOUN,0.011627906976744186
509,empowerment,2,NOUN,0.011627906976744186
39,ability,2,NOUN,0.011627906976744186
193,energy,2,NOUN,0.011627906976744186
226,industry,2,NOUN,0.011627906976744186
502,education,2,NOUN,0.011627906976744186
701,life,2,NOUN,0.011627906976744186
698,minute,2,NOUN,0.011627906976744186
377,burritos,2,NOUN,0.011627906976744186
339,jobs,2,NOUN,0.011627906976744186
464,sense,2,NOUN,0.011627906976744186
341,cashier,2,NOUN,0.011627906976744186
463,ish,2,NOUN,0.011627906976744186
344,insurance,2,NOUN,0.011627906976744186
753,pace,2,NOUN,0.011627906976744186
599,person,2,NOUN,0.011627906976744186
350,environmentfree,2,NOUN,0.011627906976744186
763,understanding,2,NOUN,0.011627906976744186
840,desire,2,NOUN,0.011627906976744186
486,goals,2,NOUN,0.011627906976744186
392,others,2,NOUN,0.011627906976744186
353,workgood,2,NOUN,0.011627906976744186
658,advance,2,NOUN,0.011627906976744186
616,half,2,NOUN,0.011627906976744186
714,promotion,2,NOUN,0.011627906976744186
716,body,2,NOUN,0.011627906976744186
225,times,2,NOUN,0.011627906976744186
638,benefit,2,NOUN,0.011627906976744186
566,reason,2,NOUN,0.011627906976744186
249,quality,2,NOUN,0.011627906976744186
425,integrity,2,NOUN,0.011627906976744186
218,shiftfree,2,NOUN,0.011627906976744186
648,improvement,2,NOUN,0.011627906976744186
264,community,2,NOUN,0.011627906976744186
582,positions,2,NOUN,0.011627906976744186
211,everything,2,NOUN,0.011627906976744186
586,grill,2,NOUN,0.011627906976744186
198,manager,2,NOUN,0.011627906976744186
538,start,2,NOUN,0.011627906976744186
287,thing,2,NOUN,0.011627906976744186
421,train,2,NOUN,0.011627906976744186
197,chain,2,NOUN,0.011627906976744186
738,changes,2,NOUN,0.011627906976744186
836,advantage,2,NOUN,0.011627906976744186
547,upbeat,2,NOUN,0.011627906976744186
552,career,2,NOUN,0.011627906976744186
588,difference,2,NOUN,0.011627906976744186
709,credit,1,NOUN,0.0
710,hoursfree,1,NOUN,0.0
707,students,1,NOUN,0.0
711,commitment,1,NOUN,0.0
704,environmentwage,1,NOUN,0.0
604,projects,1,NOUN,0.0
706,choice,1,NOUN,0.0
630,leaders,1,NOUN,0.0
696,area,1,NOUN,0.0
660,development,1,NOUN,0.0
631,intricacies,1,NOUN,0.0
635,workforce,1,NOUN,0.0
641,knowledge,1,NOUN,0.0
624,dollars,1,NOUN,0.0
642,success,1,NOUN,0.0
620,con,1,NOUN,0.0
643,professionalism,1,NOUN,0.0
647,discounts,1,NOUN,0.0
652,hourscool,1,NOUN,0.0
657,workerwork,1,NOUN,0.0
664,skillspretty,1,NOUN,0.0
695,process,1,NOUN,0.0
665,likeopportunities,1,NOUN,0.0
669,cleanliness,1,NOUN,0.0
670,standardsthe,1,NOUN,0.0
671,growgreat,1,NOUN,0.0
613,attitude,1,NOUN,0.0
676,jeans,1,NOUN,0.0
685,scratch,1,NOUN,0.0
686,cuts,1,NOUN,0.0
688,veggies,1,NOUN,0.0
692,usgood,1,NOUN,0.0
675,wear,1,NOUN,0.0
842,anything,1,NOUN,0.0
712,payworks,1,NOUN,0.0
801,night,1,NOUN,0.0
602,design,1,NOUN,0.0
804,responsibility,1,NOUN,0.0
805,kindness,1,NOUN,0.0
809,categories,1,NOUN,0.0
813,couple,1,NOUN,0.0
814,weeks,1,NOUN,0.0
816,foods,1,NOUN,0.0
817,stiffteam,1,NOUN,0.0
880,world,1,NOUN,0.0
819,objectives,1,NOUN,0.0
821,beliefs,1,NOUN,0.0
824,offi,1,NOUN,0.0
879,restaurateur,1,NOUN,0.0
874,reimbursementwhen,1,NOUN,0.0
825,ton,1,NOUN,0.0
827,payfree,1,NOUN,0.0
866,feedback,1,NOUN,0.0
862,reviews,1,NOUN,0.0
861,reading,1,NOUN,0.0
828,discounthigh,1,NOUN,0.0
855,growthwhat,1,NOUN,0.0
830,enviroment,1,NOUN,0.0
832,bond,1,NOUN,0.0
834,course,1,NOUN,0.0
853,workgreat,1,NOUN,0.0
851,experiencegreat,1,NOUN,0.0
848,fact,1,NOUN,0.0
847,performer,1,NOUN,0.0
838,hate,1,NOUN,0.0
802,familythe,1,NOUN,0.0
798,someone,1,NOUN,0.0
713,possibility,1,NOUN,0.0
797,workspaceexcellent,1,NOUN,0.0
719,gain,1,NOUN,0.0
721,expierence,1,NOUN,0.0
728,groweasy,1,NOUN,0.0
884,teammatesone,1,NOUN,0.0
732,performers,1,NOUN,0.0
736,mile,1,NOUN,0.0
739,lives,1,NOUN,0.0
742,scholarship,1,NOUN,0.0
746,past,1,NOUN,0.0
747,nature,1,NOUN,0.0
748,stafffree,1,NOUN,0.0
749,drinks,1,NOUN,0.0
751,assistance,1,NOUN,0.0
752,hoursgreat,1,NOUN,0.0
882,friendships,1,NOUN,0.0
754,rembursmentgood,1,NOUN,0.0
759,placesnice,1,NOUN,0.0
760,trainingchipotle,1,NOUN,0.0
762,chance,1,NOUN,0.0
766,emergencies,1,NOUN,0.0
771,locations,1,NOUN,0.0
772,california,1,NOUN,0.0
773,texas,1,NOUN,0.0
776,levels,1,NOUN,0.0
779,bonds,1,NOUN,0.0
781,relationship,1,NOUN,0.0
782,pros,1,NOUN,0.0
789,options,1,NOUN,0.0
790,consumers,1,NOUN,0.0
603,brand,1,NOUN,0.0
423,menu,1,NOUN,0.0
601,leader,1,NOUN,0.0
328,hood,1,NOUN,0.0
290,guests,1,NOUN,0.0
292,companyfree,1,NOUN,0.0
297,goodclose,1,NOUN,0.0
298,knit,1,NOUN,0.0
309,shiftgreat,1,NOUN,0.0
311,student,1,NOUN,0.0
316,employer,1,NOUN,0.0
319,hands,1,NOUN,0.0
320,cash,1,NOUN,0.0
321,front,1,NOUN,0.0
324,house,1,NOUN,0.0
327,fort,1,NOUN,0.0
335,journey,1,NOUN,0.0
385,foodsyou,1,NOUN,0.0
337,access,1,NOUN,0.0
340,dishwasher,1,NOUN,0.0
343,diff,1,NOUN,0.0
345,optionsgreat,1,NOUN,0.0
347,mottoovertime,1,NOUN,0.0
351,jobyou,1,NOUN,0.0
355,foodfree,1,NOUN,0.0
356,culturethe,1,NOUN,0.0
364,foodbuild,1,NOUN,0.0
365,strooooooong,1,NOUN,0.0
368,restaurantgreat,1,NOUN,0.0
372,questions,1,NOUN,0.0
277,programgreat,1,NOUN,0.0
274,personalities,1,NOUN,0.0
273,daysgreat,1,NOUN,0.0
263,drinkfast,1,NOUN,0.0
9,expectationfree,1,NOUN,0.0
38,benefitsfree,1,NOUN,0.0
51,mission,1,NOUN,0.0
77,priority,1,NOUN,0.0
80,vacation,1,NOUN,0.0
88,companyclean,1,NOUN,0.0
104,employeeseveryone,1,NOUN,0.0
107,nobody,1,NOUN,0.0
110,vibes,1,NOUN,0.0
111,attitudes,1,NOUN,0.0
118,regulars,1,NOUN,0.0
121,customerswell,1,NOUN,0.0
129,servicea,1,NOUN,0.0
139,wellgood,1,NOUN,0.0
143,mindset,1,NOUN,0.0
167,cooking,1,NOUN,0.0
199,raisescoworkers,1,NOUN,0.0
209,skillsgood,1,NOUN,0.0
210,rate,1,NOUN,0.0
217,hours3,1,NOUN,0.0
224,bit,1,NOUN,0.0
243,coolgood,1,NOUN,0.0
248,hoursthe,1,NOUN,0.0
260,reimbursementfree,1,NOUN,0.0
261,wellfree,1,NOUN,0.0
379,philosophy,1,NOUN,0.0
387,crazy,1,NOUN,0.0
600,field,1,NOUN,0.0
554,practices,1,NOUN,0.0
498,benefitsbetter,1,NOUN,0.0
503,post,1,NOUN,0.0
510,encouragement,1,NOUN,0.0
512,mobilitygreat,1,NOUN,0.0
514,benefitsthere,1,NOUN,0.0
516,schedules,1,NOUN,0.0
519,system,1,NOUN,0.0
520,colleagues,1,NOUN,0.0
523,criticism,1,NOUN,0.0
524,aroundgreat,1,NOUN,0.0
546,joy,1,NOUN,0.0
553,member,1,NOUN,0.0
555,contact,1,NOUN,0.0
388,strengths,1,NOUN,0.0
557,emphasis,1,NOUN,0.0
558,engagement,1,NOUN,0.0
562,values,1,NOUN,0.0
567,morning,1,NOUN,0.0
570,evaa,1,NOUN,0.0
572,coworkersfun,1,NOUN,0.0
573,workplace,1,NOUN,0.0
576,everyday,1,NOUN,0.0
581,kitchen,1,NOUN,0.0
584,line,1,NOUN,0.0
590,expectations,1,NOUN,0.0
596,agentgreat,1,NOUN,0.0
497,rates,1,NOUN,0.0
495,technology,1,NOUN,0.0
493,deals,1,NOUN,0.0
492,chipotleperks,1,NOUN,0.0
389,weaknesses,1,NOUN,0.0
391,stations,1,NOUN,0.0
393,duty,1,NOUN,0.0
394,freakin,1,NOUN,0.0
395,environmenti,1,NOUN,0.0
398,mind,1,NOUN,0.0
405,wagegood,1,NOUN,0.0
406,forfun,1,NOUN,0.0
408,organization,1,NOUN,0.0
409,pressure,1,NOUN,0.0
411,deadlines,1,NOUN,0.0
413,constraints,1,NOUN,0.0
417,anyone,1,NOUN,0.0
424,items,1,NOUN,0.0
427,boost,1,NOUN,0.0
428,communication,1,NOUN,0.0
435,locationit,1,NOUN,0.0
445,overtime,1,NOUN,0.0
449,vision,1,NOUN,0.0
452,spouse,1,NOUN,0.0
456,aid,1,NOUN,0.0
457,loans,1,NOUN,0.0
458,401k,1,NOUN,0.0
465,accomplishment,1,NOUN,0.0
490,shirts,1,NOUN,0.0
885,reasons,1,NOUN,0.0
