,name,count,pos,norm
276,free meal every,20,,1.0
2277,great place work,14,,0.6842105263157894
1150,fast paced environment,13,,0.631578947368421
0,great work environment,12,,0.5789473684210527
277,meal every shift,11,,0.5263157894736843
645,get free food,11,,0.5263157894736843
3089,great co workers,9,,0.42105263157894735
2123,get free meal,9,,0.42105263157894735
77,great people work,9,,0.42105263157894735
1094,free food great,8,,0.3684210526315789
240,free food good,8,,0.3684210526315789
23,great people great,8,,0.3684210526315789
1173,food every shift,8,,0.3684210526315789
1888,free food working,7,,0.3157894736842105
680,free meal work,7,,0.3157894736842105
846,free food shift,7,,0.3157894736842105
664,part time job,7,,0.3157894736842105
402,free food work,7,,0.3157894736842105
1093,work free food,6,,0.2631578947368421
3844,free meal shift,6,,0.2631578947368421
354,food paid breaks,6,,0.2631578947368421
353,free food paid,6,,0.2631578947368421
348,fast paced work,6,,0.2631578947368421
292,work fast paced,6,,0.2631578947368421
3631,fun fast paced,6,,0.2631578947368421
172,fun place work,6,,0.2631578947368421
12,one free meal,6,,0.2631578947368421
4105,free meal per,5,,0.21052631578947367
2375,reasons work chipotle,5,,0.21052631578947367
2009,fast paced fun,5,,0.21052631578947367
69,great company work,5,,0.21052631578947367
4887,good people work,5,,0.21052631578947367
1760,great food great,5,,0.21052631578947367
1172,free food every,5,,0.21052631578947367
2552,great team environment,5,,0.21052631578947367
754,paid breaks free,5,,0.21052631578947367
907,days work 50,5,,0.21052631578947367
208,great customer service,5,,0.21052631578947367
226,paced work environment,5,,0.21052631578947367
429,every day work,4,,0.15789473684210525
428,meal every day,4,,0.15789473684210525
168,free meals great,4,,0.15789473684210525
2270,work around schedule,4,,0.15789473684210525
227,work environment great,4,,0.15789473684210525
1906,pay fast food,4,,0.15789473684210525
250,great starting pay,4,,0.15789473684210525
1871,environment good pay,4,,0.15789473684210525
6152,great environment work,4,,0.15789473684210525
1297,environment free food,4,,0.15789473684210525
1203,time goes fast,4,,0.15789473684210525
371,place work great,4,,0.15789473684210525
1092,people work free,4,,0.15789473684210525
395,free meals good,4,,0.15789473684210525
829,fast food restaurant,4,,0.15789473684210525
2427,food working 50,4,,0.15789473684210525
1813,team top performers,4,,0.15789473684210525
2407,company free meal,4,,0.15789473684210525
3179,free food breaks,4,,0.15789473684210525
10397,free food free,4,,0.15789473684210525
3754,work environment free,4,,0.15789473684210525
2814,food free meal,4,,0.15789473684210525
2760,every 6 months,4,,0.15789473684210525
2743,food days work,4,,0.15789473684210525
2742,free food days,4,,0.15789473684210525
4190,tuition reimbursement great,4,,0.15789473684210525
4239,food free food,4,,0.15789473684210525
7699,pay entry level,3,,0.10526315789473684
7648,crew members management,3,,0.10526315789473684
494,great work culture,3,,0.10526315789473684
5905,great opportunity growth,3,,0.10526315789473684
492,growth opportunities great,3,,0.10526315789473684
3503,great atmosphere good,3,,0.10526315789473684
475,1 free meal,3,,0.10526315789473684
817,benefits competitive pay,3,,0.10526315789473684
3333,people work withthe,3,,0.10526315789473684
3835,easy get along,3,,0.10526315789473684
641,good part time,3,,0.10526315789473684
7610,benefits free food,3,,0.10526315789473684
9781,free meals 50,3,,0.10526315789473684
3910,great first job,3,,0.10526315789473684
6258,pay good hours,3,,0.10526315789473684
7238,love working chipotle,3,,0.10526315789473684
6662,lots room grow,3,,0.10526315789473684
6883,also get free,3,,0.10526315789473684
263,food good people,3,,0.10526315789473684
3923,good work ethic,3,,0.10526315789473684
6899,free food 50,3,,0.10526315789473684
228,environment great company,3,,0.10526315789473684
4066,best reasons work,3,,0.10526315789473684
4092,meal shift 50,3,,0.10526315789473684
9579,free meal lunch,3,,0.10526315789473684
7881,fun work environment,3,,0.10526315789473684
2667,free meal break,3,,0.10526315789473684
1025,free employee meals,3,,0.10526315789473684
3223,every time work,3,,0.10526315789473684
2530,good hours fun,3,,0.10526315789473684
2468,learn new things,3,,0.10526315789473684
2683,people free food,3,,0.10526315789473684
2736,great paid breaks,3,,0.10526315789473684
2405,opportunities move company,3,,0.10526315789473684
2737,paid breaks paid,3,,0.10526315789473684
4543,fun working environment,3,,0.10526315789473684
2176,meet great people,3,,0.10526315789473684
4670,meal every time,3,,0.10526315789473684
2000,friendly work environment,3,,0.10526315789473684
2815,free meal day,3,,0.10526315789473684
2876,make feel good,3,,0.10526315789473684
4101,hours fast paced,3,,0.10526315789473684
2991,great team work,3,,0.10526315789473684
1653,pay minimum wage,3,,0.10526315789473684
5424,meal per shift,3,,0.10526315789473684
1594,every shift work,3,,0.10526315789473684
1495,great benefits great,3,,0.10526315789473684
1420,pay free food,3,,0.10526315789473684
1333,skills free food,3,,0.10526315789473684
1331,customer service skills,3,,0.10526315789473684
4458,friendly team members,3,,0.10526315789473684
8190,place work good,3,,0.10526315789473684
3189,great environment great,3,,0.10526315789473684
5657,shift free food,3,,0.10526315789473684
5795,free meals working,3,,0.10526315789473684
2540,food great company,3,,0.10526315789473684
5842,50 one meal,3,,0.10526315789473684
10200,feels like family,3,,0.10526315789473684
101,work great people,3,,0.10526315789473684
7095,co workers managers,2,,0.05263157894736842
6622,never get sick,2,,0.05263157894736842
2981,make feel like,2,,0.05263157894736842
4022,co workers great,2,,0.05263157894736842
4023,workers great management,2,,0.05263157894736842
5796,meals working 50,2,,0.05263157894736842
411,benefits tuition reimbursementfree,2,,0.05263157894736842
1395,meet new people,2,,0.05263157894736842
819,pay good food,2,,0.05263157894736842
954,best people ever,2,,0.05263157894736842
407,pay first job,2,,0.05263157894736842
955,people ever worked,2,,0.05263157894736842
4020,paced environment great,2,,0.05263157894736842
3347,good training people,2,,0.05263157894736842
5544,free meals shift,2,,0.05263157894736842
4310,shift 50 clock,2,,0.05263157894736842
4311,50 clock paid,2,,0.05263157894736842
4312,clock paid breaks,2,,0.05263157894736842
5803,raises every 6,2,,0.05263157894736842
4680,benefits fun work,2,,0.05263157894736842
3358,work full time,2,,0.05263157894736842
2852,management positions free,2,,0.05263157894736842
1712,working environment good,2,,0.05263157894736842
7955,started working chipotle,2,,0.05263157894736842
4681,fun work crew,2,,0.05263157894736842
2874,hard work make,2,,0.05263157894736842
6438,team people really,2,,0.05263157894736842
2543,get play music,2,,0.05263157894736842
444,co workers fun,2,,0.05263157894736842
10323,chipotle hires people,2,,0.05263157894736842
4603,like second family,2,,0.05263157894736842
4932,paid vacation time,2,,0.05263157894736842
1306,fun environment lots,2,,0.05263157894736842
1566,culture free food,2,,0.05263157894736842
11032,enjoy coming work,2,,0.05263157894736842
2550,nice customers great,2,,0.05263157894736842
9391,really great people,2,,0.05263157894736842
4939,really care development,2,,0.05263157894736842
6433,fast paced free,2,,0.05263157894736842
431,work 50 discount,2,,0.05263157894736842
430,day work 50,2,,0.05263157894736842
5536,really fast paced,2,,0.05263157894736842
4017,work great food,2,,0.05263157894736842
427,people free meal,2,,0.05263157894736842
426,great people free,2,,0.05263157894736842
5786,put hard work,2,,0.05263157894736842
3866,well fast paced,2,,0.05263157894736842
3839,awesome free meal,2,,0.05263157894736842
2329,flexible hours decent,2,,0.05263157894736842
6440,really hire based,2,,0.05263157894736842
1762,great working experience,2,,0.05263157894736842
2826,free food discounted,2,,0.05263157894736842
3003,paced fun people,2,,0.05263157894736842
352,definitely free food,2,,0.05263157894736842
9622,people good food,2,,0.05263157894736842
7685,schedule free food,2,,0.05263157894736842
653,food breaks great,2,,0.05263157894736842
10618,environment fast paced,2,,0.05263157894736842
1002,promote managers within,2,,0.05263157894736842
9863,good food great,2,,0.05263157894736842
3132,time benefits free,2,,0.05263157894736842
6061,cares people company,2,,0.05263157894736842
6688,worked around school,2,,0.05263157894736842
6689,around school schedule,2,,0.05263157894736842
3009,free employee meal,2,,0.05263157894736842
6059,work management cares,2,,0.05263157894736842
8400,minimum wage 7,2,,0.05263157894736842
8401,wage 7 25,2,,0.05263157894736842
3413,pay hours great,2,,0.05263157894736842
1528,fast paced always,2,,0.05263157894736842
1786,every time worked,2,,0.05263157894736842
7698,good pay entry,2,,0.05263157894736842
1538,great people opportunity,2,,0.05263157894736842
4565,get lot free,2,,0.05263157894736842
7938,great company values,2,,0.05263157894736842
9347,working really hard,2,,0.05263157894736842
10761,food free meals,2,,0.05263157894736842
385,free meals every,2,,0.05263157894736842
7937,people great company,2,,0.05263157894736842
6094,plenty opportunities move,2,,0.05263157894736842
7936,place great people,2,,0.05263157894736842
